id_code	id_label	ethnic_code	CI5_volume	sex	peak_age_band	peak_rate	tot_cases	early_peak	bimodal
384007499	USA, West Virginia	99	12	2	2	2.76014352746343	60	TRUE	TRUE
538002099	Italy, North East Cancer Surveillance Network	99	9	2	2	2.18354914077341	50	TRUE	TRUE
178800299	Tunisia, North	99	10	2	3	1.57529930686831	53	TRUE	TRUE
384000210	USA, California, San Francisco Bay Area: White	10	5	2	3	3.27538422776518	70	TRUE	TRUE
384000350	USA, California, Los Angeles County: Hispanic White	50	9	2	3	1.51738818474851	72	TRUE	TRUE
384000360	USA, California, Los Angeles County: Non-Hispanic White	60	12	2	3	3.20382750592708	80	TRUE	TRUE
384000410	USA, Connecticut: White	10	8	2	3	2.03039730363238	63	TRUE	TRUE
384000410	USA, Connecticut: White	10	12	2	3	2.54684457533682	69	TRUE	TRUE
384000499	USA, Connecticut	99	12	2	3	2.72091567882311	88	TRUE	TRUE
384000599	USA, Georgia, Atlanta	99	12	2	3	1.90061976042688	94	TRUE	TRUE
384001630	USA, New York State: Black	30	11	2	3	2.00837337205889	69	TRUE	TRUE
384004010	USA, Arkansas: White	10	11	2	3	2.43747207063252	56	TRUE	TRUE
384004099	USA, Arkansas	99	11	2	3	1.86368973293326	64	TRUE	TRUE
384004210	USA, Maryland: White	10	11	2	3	2.05401307472686	87	TRUE	TRUE
384004299	USA, Maryland	99	11	2	3	1.5044704264099	123	TRUE	TRUE
384005299	USA, Arizona	99	11	2	3	2.3662435337845	156	TRUE	TRUE
384005610	USA, Georgia: White	10	11	2	3	1.91280816346255	143	TRUE	TRUE
384005910	USA, Indiana: White	10	10	2	3	1.82266733426325	104	TRUE	TRUE
384005999	USA, Indiana	99	10	2	3	1.7528888068824	115	TRUE	TRUE
384006010	USA, Massachusetts: White	10	11	2	3	1.95415312499618	150	TRUE	TRUE
384007010	USA, South Carolina: White	10	9	2	3	2.57596762711229	66	TRUE	TRUE
384007099	USA, South Carolina	99	9	2	3	2.10481117738928	87	TRUE	TRUE
384007710	USA, Virginia: White	10	11	2	3	1.62443144899285	119	TRUE	TRUE
384007910	USA, Tennessee: White	10	12	1	3	2.90355128518439	168	TRUE	TRUE
437600090	Israel: Jews	90	2	2	3	2.38005985850544	80	TRUE	TRUE
437600094	Israel: Arabs	94	12	2	3	2.2352726016541	50	TRUE	TRUE
437600099	Israel	99	2	2	3	2.36928147590441	86	TRUE	TRUE
439200499	Japan, Osaka Prefecture	99	12	2	3	1.71232876712329	77	TRUE	TRUE
441000499	Republic of Korea, Daegu	99	9	2	3	2.03130236951421	52	TRUE	TRUE
470200020	Singapore: Chinese	20	12	2	3	2.57686206916298	50	TRUE	TRUE
470200099	Singapore	99	12	2	3	2.46961424625474	68	TRUE	TRUE
479200199	Turkey, Izmir	99	9	2	3	1.62923619925855	57	TRUE	TRUE
479200199	Turkey, Izmir	99	11	2	3	2.08603400235424	84	TRUE	TRUE
479200199	Turkey, Izmir	99	12	2	3	1.43676784705127	85	TRUE	TRUE
504000099	Austria	99	9	2	3	1.6490808110353	159	TRUE	TRUE
520800099	Denmark	99	10	2	3	1.78154250701037	104	TRUE	TRUE
520800099	Denmark	99	11	2	3	1.55131264916468	123	TRUE	TRUE
527600199	Germany, Eastern States	99	5	2	3	1.62853999727469	364	TRUE	TRUE
538000199	Italy, Tuscany	99	12	2	3	3.78820164597362	70	TRUE	TRUE
552800099	The Netherlands	99	11	2	3	1.93568262053537	388	TRUE	TRUE
562000499	Portugal, Porto	99	9	2	3	2.49323709438149	78	TRUE	TRUE
575200099	Sweden	99	6	2	3	1.27400850288263	150	TRUE	TRUE
582600299	UK, England, West Midlands	99	7	2	3	4.57951759870451	218	TRUE	TRUE
582601099	UK, England, Yorkshire	99	8	1	3	2.78743816396367	70	TRUE	TRUE
582601199	UK, England, East	99	11	2	3	1.53414776911312	104	TRUE	TRUE
582601634	UK, England and Wales: Rural	34	5	2	3	1.57083414783993	112	TRUE	TRUE
582602099	UK, Scotland	99	10	2	3	1.82999598708023	96	TRUE	TRUE
603600299	Australia, NSW/ACT	99	9	2	3	1.74228328976097	144	TRUE	TRUE
603600299	Australia, NSW/ACT	99	12	2	3	2.43402488616587	217	TRUE	TRUE
655400099	New Zealand	99	11	2	3	1.94439043359907	102	TRUE	TRUE
178800299	Tunisia, North	99	10	1	4	1.88399946171444	79	TRUE	TRUE
