id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
684009910	USA, Hawaii: White	10	2	12	1	2.18	12	33.26	2.18	1	36.9	10	1425.6880733945	inverted-U	1425.6880733945
572400799	Spain, Zaragoza	99	2	7	3	0.31	9	4.21	0.31	3	4.21	9	1258.06451612903	rising	1258.06451612903
684009999	USA, Hawaii	99	2	7	1	0.82	12	11.11	0.82	1	11.11	12	1254.87804878049	erratic	1254.87804878049
437600096	Israel: Jews born in Africa or Asia	96	2	7	2	0.32	8	4.09	0.32	2	4.09	8	1178.125	rising	1178.125
575600299	Switzerland, Geneva	99	2	10	3	2.02	12	17.53	2.02	3	20.41	10	767.821782178218	inverted-U	767.821782178218
570500099	Slovenia	99	2	12	1	1.79	12	14.88	1.79	1	14.88	12	731.284916201117	erratic	731.284916201117
557800099	Norway	99	2	12	1	3.08	12	25.1	3.08	1	25.1	12	714.935064935065	erratic	714.935064935065
547000099	Malta	99	2	7	3	1.05	12	8.47	1.05	3	9.4	11	706.666666666667	inverted-U	706.666666666667
520800099	Denmark	99	2	12	1	3.76	12	29.02	3.76	1	29.02	12	671.808510638298	rising	671.808510638298
312400599	Canada, New Brunswick	99	2	10	1	1.96	12	13.73	1.96	1	13.73	12	600.510204081633	erratic	600.510204081633
582600799	UK, England, East Midlands	99	2	9	2	1.82	11	12.31	1.8	3	12.31	11	576.373626373626	U	576.373626373626
575200099	Sweden	99	2	11	1	3.3	12	22.01	3.3	1	22.01	12	566.969696969697	rising	566.969696969697
524600099	Finland	99	2	11	1	2.52	12	16.24	2.5	2	16.24	12	544.444444444444	U	544.444444444444
582602099	UK, Scotland	99	2	10	2	2.14	12	13.3	2.14	2	14.33	11	521.495327102804	inverted-U	521.495327102804
582600299	UK, England, West Midlands	99	2	11	1	1.81	11	11.23	1.81	1	11.23	11	520.441988950276	rising	520.441988950276
582600699	UK, England, South West	99	2	7	1	2.76	11	16.65	2.76	1	16.65	11	503.260869565217	rising	503.260869565217
525000599	France, Isère	99	2	8	5	3.09	12	18.52	3.09	5	18.52	12	499.352750809062	rising	499.352750809062
575600399	Switzerland, Neuchâtel	99	2	8	4	2.39	11	14.31	2.39	4	20.4	10	498.744769874477	inverted-U	498.744769874477
312401199	Canada, Quebec	99	2	9	2	1.76	12	10.18	1.76	2	10.18	12	478.409090909091	erratic	478.409090909091
538000399	Italy, Latina	99	2	4	6	2.2	11	12.53	2.2	6	12.53	11	469.545454545454	rising	469.545454545454
384000699	USA, Iowa	99	2	10	3	3.23	12	18.37	3.23	3	18.37	12	468.730650154799	rising	468.730650154799
437600097	Israel: Jews born in Europe or America	97	2	6	2	2.55	8	13.76	2.55	2	13.76	8	439.607843137255	rising	439.607843137255
437600090	Israel: Jews	90	2	11	2	2.01	12	10.77	2.01	2	11.29	8	435.820895522388	inverted-U	435.820895522388
527600299	Germany, Hamburg	99	2	7	3	2.17	12	11.43	1.83	4	11.43	12	426.728110599078	U	426.728110599078
582600899	UK, England, Merseyside and Cheshire	99	2	9	1	1.83	9	9.4	1.83	1	9.4	9	413.661202185792	rising	413.661202185792
535200099	Iceland	99	2	10	1	2.09	12	10.63	2.09	1	19	9	408.612440191388	inverted-U	408.612440191388
582600399	UK, England, North West	99	2	8	4	2.94	11	14.51	2.9	5	14.51	11	393.537414965986	U	393.537414965986
538000599	Italy, Parma	99	2	7	5	2.81	11	13.85	2.81	5	13.91	10	392.88256227758	inverted-U	392.88256227758
312401299	Canada, Saskatchewan	99	2	12	1	2.39	12	11.19	2.39	1	11.19	12	368.200836820084	erratic	368.200836820084
527603099	Germany, Saarland	99	2	10	3	2.86	12	13.33	2.86	3	13.33	12	366.083916083916	rising	366.083916083916
312400799	Canada, Prince Edward Island	99	2	8	5	4.57	12	21.05	4.57	5	21.05	12	360.612691466083	erratic	360.612691466083
561600599	Poland, Warsaw City	99	2	8	2	1.01	9	4.59	1.01	2	4.59	9	354.455445544554	erratic	354.455445544554
437600091	Israel: Jews born in Israel	91	2	7	2	3.24	8	14.64	3.24	2	29.73	7	351.851851851852	inverted-U	351.851851851852
572400399	Spain, Murcia	99	2	7	6	1.96	12	8.56	1.96	6	8.59	11	336.734693877551	inverted-U	336.734693877551
437600094	Israel: Arabs	94	2	11	2	0.18	12	0.77	0.18	2	1.47	10	327.777777777778	inverted-U	327.777777777778
582600499	UK, England, Oxford Region	99	2	9	2	3.04	10	12.97	3.04	2	12.97	10	326.644736842105	rising	326.644736842105
384000810	USA, Michigan, Detroit: White	10	2	10	3	3.55	12	14.61	3.55	3	14.61	12	311.549295774648	erratic	311.549295774648
415600299	China, Qidong City	99	2	6	6	0.14	12	0.56	0.14	6	0.56	12	300	erratic	300
525000199	France, Bas-Rhin	99	2	9	4	4.24	12	16.63	4.24	4	16.63	12	292.216981132075	erratic	292.216981132075
572400199	Spain, Tarragona	99	2	8	5	1.75	12	6.85	1.75	5	8.73	9	291.428571428571	inverted-U	291.428571428571
