id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
684009945	USA, Hawaii: Hawaiian	45	1	12	1	0.36	12	3.62	0.29	2	6.36	4	905.555555555556	U	905.555555555556
582600399	UK, England, North West	99	1	8	4	1.71	11	12.16	1.48	5	12.16	11	611.111111111111	U	611.111111111111
312400599	Canada, New Brunswick	99	1	10	1	2.37	12	12.95	1.88	2	12.95	12	446.413502109705	U	446.413502109705
312400899	Canada, Newfoundland and Labrador	99	1	12	1	2.44	12	11.72	1.55	2	11.72	12	380.327868852459	U	380.327868852459
525000199	France, Bas-Rhin	99	1	9	4	3.29	12	15.76	3.13	5	16.34	11	379.0273556231	U	379.0273556231
527603099	Germany, Saarland	99	1	10	3	2.74	12	12.94	2.52	4	12.94	12	372.262773722628	U	372.262773722628
437600099	Israel	99	1	11	1	2.71	12	12.16	1.49	2	12.16	10	348.708487084871	U	348.708487084871
312400199	Canada, Alberta	99	1	12	1	2.82	12	11.07	2.77	3	11.23	11	292.553191489362	U	292.553191489362
437600094	Israel: Arabs	94	1	11	2	0.44	12	1.58	0.28	5	1.86	11	259.090909090909	U	259.090909090909
572400499	Spain, Navarra	99	1	9	4	2.57	12	8.3	2.15	5	8.3	12	222.95719844358	U	222.95719844358
504000799	Austria, Tyrol	99	1	6	7	12.37	12	34.2	11.23	8	34.2	12	176.475343573161	U	176.475343573161
575600599	Switzerland, Vaud	99	1	9	4	7.74	12	20.44	5.97	5	23.5	11	164.082687338501	U	164.082687338501
263000099	USA, Puerto Rico	99	1	11	1	1.13	12	2.86	0.97	3	2.86	12	153.097345132743	U	153.097345132743
384000321	USA, California, Los Angeles County: Japanese	21	1	7	4	0.57	10	1.43	0.23	5	1.43	10	150.877192982456	U	150.877192982456
542800099	Latvia	99	1	7	6	2.19	12	5.13	2.07	7	5.13	12	134.246575342466	U	134.246575342466
415600299	China, Qidong City	99	1	6	6	0.24	12	0.54	0.11	8	0.54	12	125	U	125
101200199	Algeria, Sétif	99	1	5	6	0.14	11	0.31	0.08	7	0.31	11	121.428571428571	U	121.428571428571
538006699	Italy, Ragusa	99	1	6	5	3.43	10	7.36	2.33	6	7.36	10	114.577259475219	U	114.577259475219
603600299	Australia, NSW/ACT	99	1	9	4	20.03	12	42.08	17.11	5	42.08	12	110.084872690964	U	110.084872690964
439200299	Japan, Miyagi Prefecture	99	1	12	1	0.33	12	0.69	0.31	8	0.69	12	109.090909090909	U	109.090909090909
603600499	Australia, South Australia	99	1	9	4	15.13	12	31.25	13.75	5	31.5	8	106.543291473893	U	106.543291473893
582606999	UK, Scotland, West	99	1	4	4	2.95	7	6.07	2.72	5	6.07	7	105.762711864407	U	105.762711864407
384000799	USA, Louisiana, New Orleans	99	1	5	7	5.26	12	10.81	5.01	8	10.81	12	105.513307984791	U	105.513307984791
384000710	USA, Louisiana, New Orleans: White	10	1	9	4	8.56	12	17.13	4.79	5	17.13	12	100.116822429907	U	100.116822429907
415600799	China, Jiashan County	99	1	5	8	0.36	12	0.72	0.13	9	0.8	11	100	U	100
435600899	India, Trivandrum	99	1	6	7	58.99	12	0.5	0.19	9	58.99	7	-99.1523987116461	U	99.1523987116461
534800399	Hungary, County Vas	99	1	5	2	2.43	6	4.73	2.28	3	4.73	6	94.6502057613169	U	94.6502057613169
538001599	Italy, Sassari	99	1	5	8	3.42	12	6.64	3.36	9	6.64	12	94.1520467836257	U	94.1520467836257
384000942	USA, New Mexico: American Indian	42	1	7	3	1.4	12	2.54	0.34	8	2.54	12	81.4285714285714	U	81.4285714285714
207600899	Brazil, Sao Paulo	99	1	5	3	3.23	10	5.77	3.05	4	6.48	9	78.6377708978328	U	78.6377708978328
561600299	Poland, Lower Silesia	99	1	5	6	2.84	11	4.82	2.82	8	4.82	11	69.718309859155	U	69.718309859155
415600399	China, Shanghai City	99	1	9	4	1.16	12	0.42	0.31	8	1.16	4	-63.7931034482759	U	63.7931034482759
582603099	UK, Northern Ireland	99	1	5	8	7.55	12	12.07	7.53	9	12.07	12	59.8675496688742	U	59.8675496688742
