country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	12	1	44.21	0.16	276.3125	10	29	12
840	9	1	41.09	0.15	273.933333333333	10	21	11
840	7	2	12.52	0.06	208.666666666667	60	30	10
840	9	2	26.34	0.15	175.6	10	30	11
840	12	2	33.26	0.22	151.181818181818	10	30	12
840	10	2	36.9	0.25	147.6	10	29	12
840	11	1	47.6	0.38	125.263157894737	10	23	12
36	12	2	29.08	0.42	69.2380952380952	63	62	2
840	6	2	14.94	0.29	51.5172413793104	10	23	9
376	7	1	31.31	0.66	47.4393939393939	91	94	4
376	7	2	29.73	0.66	45.0454545454546	91	94	4
376	5	2	14.48	0.43	33.6744186046512	91	94	5
376	5	1	8.95	0.28	31.9642857142857	91	94	5
376	3	2	8.12	0.27	30.0740740740741	91	94	5
376	6	2	11.89	0.45	26.4222222222222	91	94	5
36	12	1	45.45	1.87	24.3048128342246	63	62	2
840	2	1	5.71	0.29	19.6896551724138	10	45	8
376	8	1	17.55	0.97	18.0927835051546	91	94	5
376	2	2	3.24	0.18	18	91	94	5
554	5	2	21.45	1.3	16.5	36	28	3
376	8	2	14.64	0.91	16.0879120879121	91	94	5
376	12	2	10.77	0.77	13.987012987013	90	94	2
376	9	2	10.52	0.84	12.5238095238095	90	94	2
36	10	2	23.08	1.88	12.2765957446809	63	62	2
554	4	2	21.8	1.82	11.978021978022	36	28	2
376	6	1	10.59	0.97	10.9175257731959	91	94	5
36	10	1	28.6	2.67	10.7116104868914	63	62	2
376	4	1	10.38	0.97	10.7010309278351	91	94	5
554	5	1	15.58	1.46	10.6712328767123	36	29	3
376	4	2	11.5	1.11	10.3603603603604	91	94	5
840	1	1	3.59	0.36	9.97222222222222	10	45	3
554	6	1	18.58	1.96	9.47959183673469	36	28	2
376	10	1	13.65	1.46	9.34931506849315	90	94	2
376	12	1	13.82	1.58	8.74683544303798	90	94	2
554	7	2	29.79	3.43	8.68513119533528	36	28	2
376	9	1	12.17	1.42	8.57042253521127	90	94	2
376	11	2	10.74	1.4	7.67142857142857	90	94	2
376	10	2	11.15	1.47	7.58503401360544	90	94	2
554	2	1	7.46	1.02	7.31372549019608	36	28	2
376	11	1	13.17	1.86	7.08064516129032	90	94	2
376	3	1	5.49	0.78	7.03846153846154	91	94	5
554	3	2	13.51	1.92	7.03645833333333	36	28	2
414	7	2	1.78	0.26	6.84615384615385	26	25	2
376	2	1	2.69	0.44	6.11363636363636	91	94	5
554	6	2	23.03	3.86	5.96632124352332	36	28	2
554	3	1	8.75	1.61	5.43478260869565	36	28	2
554	7	1	24.97	5.09	4.9056974459725	36	28	2
702	10	2	0.53	0.11	4.81818181818182	20	40	3
414	11	2	0.43	0.1	4.3	26	25	2
702	12	2	0.43	0.1	4.3	20	40	3
554	4	1	14.84	3.73	3.97855227882038	36	28	2
414	8	1	0.19	0.05	3.8	25	26	2
414	8	2	0.79	0.22	3.59090909090909	26	25	2
702	10	1	0.48	0.14	3.42857142857143	20	27	3
414	6	1	0.47	0.14	3.35714285714286	26	25	2
554	12	2	7.69	2.37	3.24472573839662	28	29	2
554	12	1	6.89	2.61	2.63984674329502	28	29	2
414	10	2	0.5	0.19	2.63157894736842	26	25	2
554	2	2	10.69	4.17	2.56354916067146	36	28	2
414	9	1	0.55	0.24	2.29166666666667	26	25	2
702	3	1	0.8	0.35	2.28571428571429	20	27	3
414	7	1	0.97	0.44	2.20454545454545	26	25	2
702	12	1	0.49	0.23	2.1304347826087	20	27	3
702	6	2	0.55	0.26	2.11538461538462	40	20	3
702	5	2	0.4	0.19	2.10526315789474	20	27	3
702	5	1	1.52	0.75	2.02666666666667	27	20	3
414	10	1	0.28	0.14	2	26	25	2
702	9	1	0.7	0.35	2	27	40	3
