CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	684009999	USA, Hawaii	2.07	0.82	2.52439024390244	0.889589905362776	male_heavy
2	238800199	Jamaica, Kingston and St Andrew	2.59	0.84	3.08333333333333	0.801475708837672	male_heavy
2	217000199	Colombia, Cali	4.66	1.76	2.64772727272727	0.801475708837672	male_heavy
2	534800199	Hungary,  Miskolc	1.1	2.86	0.384615384615385	0.801475708837672	female_heavy
2	435600399	India, Mumbai	0.24	0.72	0.333333333333333	0.801475708837672	female_heavy
3	439200299	Japan, Miyagi Prefecture	0.47	0.2	2.35	0.853102655771195	male_heavy
3	575600299	Switzerland, Geneva	4.38	2.02	2.16831683168317	0.853102655771195	male_heavy
3	439200499	Japan, Osaka Prefecture	0.48	0.24	2	0.853102655771195	male_heavy
3	156600199	Nigeria,  Ibadan	1.14	2.69	0.423791821561338	0.853102655771195	female_heavy
3	561601699	Poland,  Cieszyn And Nowy Sacz	0.66	2.63	0.250950570342205	0.853102655771195	female_heavy
4	415600399	China, Shanghai City	1.16	0.46	2.52173913043478	0.91025641025641	male_heavy
4	572400799	Spain, Zaragoza	1.33	0.69	1.92753623188406	0.91025641025641	male_heavy
4	582606799	United Kingdom, Scotland, N-E	2.09	4.62	0.452380952380952	0.91025641025641	female_heavy
4	435600699	India, Poona	0.58	1.96	0.295918367346939	0.91025641025641	female_heavy
5	252809999	Netherlands, Antilles	1.69	0.5	3.38	0.859004721194335	male_heavy
5	460800399	Philippines, Rizal	0.53	0.24	2.20833333333333	0.859004721194335	male_heavy
5	439200299	Japan, Miyagi Prefecture	0.59	0.3	1.96666666666667	0.859004721194335	male_heavy
5	538006699	Italy, Ragusa	3.43	1.77	1.93785310734463	0.859004721194335	male_heavy
5	439200399	Japan, Nagasaki Prefecture	0.41	0.22	1.86363636363636	0.859004721194335	male_heavy
5	415600499	China, Tianjin	0.26	0.14	1.85714285714286	0.859004721194335	male_heavy
5	582606699	United Kingdom, Scotland, North	2.22	5.89	0.376910016977929	0.859004721194335	female_heavy
6	439200699	Japan, Yamagata Prefecture	0.56	0.18	3.11111111111111	0.908485856905158	male_heavy
6	476400199	Thailand, Chiang Mai	1.02	0.44	2.31818181818182	0.908485856905158	male_heavy
6	460800399	Philippines, Rizal	0.6	0.29	2.06896551724138	0.908485856905158	male_heavy
6	101200199	Algeria, Sétif	0.14	0.07	2	0.908485856905158	male_heavy
6	537200199	Ireland, Southern	3.78	8.83	0.428086070215176	0.908485856905158	female_heavy
6	562000199	Portugal, Vila Nova de Gaia	1.25	3.03	0.412541254125413	0.908485856905158	female_heavy
6	525000699	France, Somme	0.96	3.58	0.268156424581006	0.908485856905158	female_heavy
6	476400299	Thailand, Khon Kaen	0.12	0.74	0.162162162162162	0.908485856905158	female_heavy
7	439200299	Japan, Miyagi Prefecture	0.56	0.25	2.24	0.990990990990991	male_heavy
7	384000799	USA, Louisiana, New Orleans	5.26	2.61	2.01532567049808	0.990990990990991	male_heavy
7	146600199	Mali, Bamako	0.42	1.22	0.344262295081967	0.990990990990991	female_heavy
8	435600999	India, Karunagappally	0.63	0.08	7.875	1.01983306071394	male_heavy
8	435600899	India, Trivandrum	0.68	0.11	6.18181818181818	1.01983306071394	male_heavy
8	435600199	India, Ahmedabad	0.21	0.06	3.5	1.01983306071394	male_heavy
8	125009099	France, La Réunion	1.92	0.59	3.25423728813559	1.01983306071394	male_heavy
8	219200199	Cuba, Villa Clara	1.3	0.44	2.95454545454545	1.01983306071394	male_heavy
8	415600199	China, Beijing City	0.34	0.16	2.125	1.01983306071394	male_heavy
8	470400299	Viet Nam, Ho Chi Minh City	0.25	0.12	2.08333333333333	1.01983306071394	male_heavy
8	127000099	The Gambia	0.27	0.13	2.07692307692308	1.01983306071394	male_heavy
8	312400499	Canada, Northwest Territories	1.64	3.57	0.459383753501401	1.01983306071394	female_heavy
8	538001799	Italy, Biella	4.23	9.63	0.439252336448598	1.01983306071394	female_heavy
8	505600199	Belgium, Limburg	3.22	8.04	0.400497512437811	1.01983306071394	female_heavy
8	203200299	Argentina, Concordia	2	6.19	0.323101777059774	1.01983306071394	female_heavy
8	458600199	Pakistan, South Karachi	0.27	0.88	0.306818181818182	1.01983306071394	female_heavy
8	441400099	Kuwait	0.12	0.42	0.285714285714286	1.01983306071394	female_heavy
9	435600999	India, Karunagappally	0.46	0.09	5.11111111111111	1.07857911733046	male_heavy
9	435600599	India, Nagpur	0.35	0.08	4.375	1.07857911733046	male_heavy
9	476400599	Thailand, Lampang	0.84	0.27	3.11111111111111	1.07857911733046	male_heavy
9	445800199	Malaysia, Sarawak	1.16	0.48	2.41666666666667	1.07857911733046	male_heavy
9	101200199	Algeria, Sétif	0.23	0.44	0.522727272727273	1.07857911733046	female_heavy
9	215200199	Chile, Valdivia	1.82	3.49	0.521489971346705	1.07857911733046	female_heavy
9	535200099	Iceland	9.29	19	0.488947368421053	1.07857911733046	female_heavy
9	415600799	China, Jiashan County	0.13	0.27	0.481481481481482	1.07857911733046	female_heavy
9	441000599	Republic of Korea, Daejeon	0.33	0.78	0.423076923076923	1.07857911733046	female_heavy
9	415601599	China, Nangang District, Harbin City	0.07	0.21	0.333333333333333	1.07857911733046	female_heavy
10	435601499	India, Bhopal	0.43	0.11	3.90909090909091	1.09280792420327	male_heavy
10	415601899	China, Yanting County	0.27	0.07	3.85714285714286	1.09280792420327	male_heavy
