id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
470200020	Singapore: Chinese	20	2	10	1	7.94	12	70.24	7.94	1	70.24	12	784.63476070529	rising	784.63476070529
101200199	Algeria, Sétif	99	2	5	6	5.12	11	44.66	5.12	6	44.66	11	772.265625	rising	772.265625
437600094	Israel: Arabs	94	2	11	2	9.56	12	62.85	9.56	2	62.85	12	557.426778242678	rising	557.426778242678
684009921	USA, Hawaii: Japanese	21	2	12	1	23.15	12	118.7	23.15	1	118.7	12	412.742980561555	erratic	412.742980561555
439200299	Japan, Miyagi Prefecture	99	2	12	1	15.33	12	74.57	12.84	2	74.57	12	386.431833007175	U	386.431833007175
439200499	Japan, Osaka Prefecture	99	2	10	3	14.62	12	66.8	14.62	3	66.8	12	356.908344733242	rising	356.908344733242
441400025	Kuwait: Kuwaitis	25	2	8	5	15.85	12	64.03	15.85	5	64.03	12	303.97476340694	rising	303.97476340694
415600799	China, Jiashan County	99	2	5	8	9.14	12	36.83	9.14	8	36.83	12	302.954048140044	rising	302.954048140044
384000322	USA, California, Los Angeles County: Korean	22	2	8	5	14.11	12	50.58	14.11	5	53.13	10	258.46917080085	inverted-U	258.46917080085
684009923	USA, Hawaii: Filipino	23	2	11	2	25.01	12	85.92	24.7	3	85.92	12	243.542582966813	U	243.542582966813
263000099	USA, Puerto Rico	99	2	11	1	19.9	12	66.07	19.9	1	66.07	12	232.010050251256	rising	232.010050251256
439200699	Japan, Yamagata Prefecture	99	2	5	6	17.62	11	56.25	17.62	6	56.25	11	219.239500567537	rising	219.239500567537
470200027	Singapore: Malay	27	2	9	3	20.93	12	64.76	17.38	4	64.76	12	209.412326803631	U	209.412326803631
561600199	Poland, Cracow	99	2	9	2	20.21	10	60.34	20.21	2	60.34	10	198.565066798615	erratic	198.565066798615
524600099	Finland	99	2	11	1	31.94	12	91.01	31.94	1	91.01	12	184.940513462743	erratic	184.940513462743
180000299	Uganda, Kyadondo County	99	2	7	1	11.39	12	32	11.39	1	32.93	10	180.948200175593	inverted-U	180.948200175593
441000399	Republic of Korea, Seoul	99	2	5	8	20.85	12	57.53	20.85	8	57.53	12	175.923261390887	rising	175.923261390887
415600299	China, Qidong City	99	2	6	6	9.51	12	26.07	9.51	6	26.07	12	174.132492113565	erratic	174.132492113565
570500099	Slovenia	99	2	12	1	25.74	12	70.19	25.74	1	70.19	12	172.688422688423	erratic	172.688422688423
441000299	Republic of Korea, Busan	99	2	5	8	18.61	12	50.52	18.61	8	50.52	12	171.46695325094	rising	171.46695325094
476400499	Thailand, Songkhla	99	2	5	8	11.66	12	31.33	11.66	8	31.33	12	168.696397941681	rising	168.696397941681
476400299	Thailand, Khon Kaen	99	2	6	6	9.88	12	25.83	8.35	7	25.83	12	161.437246963563	U	161.437246963563
476400199	Thailand, Chiang Mai	99	2	7	6	13.69	12	35.6	13.69	6	35.6	12	160.043827611395	rising	160.043827611395
439200199	Japan, Hiroshima Prefecture	99	2	8	5	27.98	12	72.32	25.17	6	72.32	12	158.470335954253	U	158.470335954253
441400099	Kuwait	99	2	6	5	20.71	12	53.04	20.71	5	53.04	12	156.108160309029	erratic	156.108160309029
441000499	Republic of Korea, Daegu	99	2	5	8	20.01	12	50.79	20.01	8	50.79	12	153.823088455772	rising	153.823088455772
441000999	Republic of Korea, Jeju	99	2	4	9	16.59	12	42.04	16.59	9	42.04	12	153.405666063894	rising	153.405666063894
437600096	Israel: Jews born in Africa or Asia	96	2	7	2	25.84	8	65.07	25.84	2	65.07	8	151.818885448916	rising	151.818885448916
441000899	Republic of Korea, Ulsan	99	2	4	9	21.27	12	50.08	21.27	9	50.08	12	135.448989186648	rising	135.448989186648
384000323	USA, California, Los Angeles County: Filipino	23	2	8	5	35.73	12	83.22	35.73	5	100.03	10	132.913518052057	inverted-U	132.913518052057
561600599	Poland, Warsaw City	99	2	8	2	23.05	9	53.48	23.05	2	53.74	8	132.017353579176	inverted-U	132.017353579176
384000223	USA, California, San Francisco Bay Area: Filipino	23	2	4	5	37.2	11	84.88	37.2	5	84.88	11	128.172043010753	rising	128.172043010753
435600299	India, Bangalore	99	2	7	5	19.9	12	45.14	18.21	6	45.14	12	126.834170854271	U	126.834170854271
684009999	USA, Hawaii	99	2	7	1	43.98	12	97.05	43.98	1	97.05	12	120.668485675307	rising	120.668485675307
441000099	Republic of Korea	99	2	4	9	23.31	12	51.21	23.31	9	51.21	12	119.69111969112	rising	119.69111969112
441001099	Republic of Korea, Gwangju	99	2	4	9	21.25	12	46.68	21.25	9	46.68	12	119.670588235294	rising	119.670588235294
439200399	Japan, Nagasaki Prefecture	99	2	8	4	26.34	11	56.44	20.25	5	56.44	11	114.274867122248	U	114.274867122248
225009199	France, Martinique	99	2	7	5	31.12	12	66.57	28.24	6	66.57	12	113.913881748072	U	113.913881748072
435600499	India, Chennai	99	2	8	5	20.81	12	44.13	19.88	6	44.13	12	112.061508889957	U	112.061508889957
538000399	Italy, Latina	99	2	4	6	35.54	11	74.85	35.54	6	74.85	11	110.60776589758	rising	110.60776589758
