country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
376	7	2	180.95	21.3	8.49530516431925	91	94	4
376	2	2	66.85	9.56	6.99267782426778	97	94	5
840	5	2	93.9	14.11	6.65485471296953	45	22	10
376	7	1	3.84	0.6	6.4	91	94	4
840	6	2	104.2	16.92	6.15839243498818	10	22	9
376	4	2	75.17	12.58	5.97535771065183	97	94	5
376	3	2	70.75	13.08	5.40902140672783	97	94	5
376	5	2	70.22	14.05	4.99786476868327	91	94	5
840	4	2	111.75	22.47	4.97329773030708	45	42	9
840	7	2	103.69	21.45	4.83403263403263	60	22	10
376	6	2	76.75	17	4.51470588235294	91	94	5
840	10	2	106.43	25.82	4.12199845081332	45	42	12
840	11	2	116.84	29.09	4.01650051564111	45	42	12
702	7	1	0.44	0.11	4	27	20	3
36	11	1	0.72	0.18	4	62	63	2
840	3	2	97.63	24.7	3.95263157894737	10	23	9
840	8	2	109.55	28.41	3.85603660682858	60	22	10
702	12	1	0.5	0.13	3.84615384615385	40	27	3
376	8	2	98.51	27.66	3.56146059291396	97	94	5
376	6	1	1.05	0.3	3.5	97	94	5
840	12	2	118.7	35.84	3.31194196428571	21	42	12
840	9	2	118.92	36.26	3.27964699393271	45	42	11
376	9	1	1.17	0.37	3.16216216216216	90	94	2
554	10	1	1.4	0.45	3.11111111111111	29	28	2
840	2	2	77.05	25.01	3.08076769292283	10	23	8
840	1	2	70.01	23.15	3.02419006479482	10	21	3
376	5	1	0.98	0.33	2.96969696969697	97	94	5
376	8	1	1.58	0.59	2.67796610169492	97	94	5
36	10	1	0.91	0.35	2.6	62	63	2
376	9	2	96.83	38.48	2.51637214137214	90	94	2
414	12	1	0.78	0.35	2.22857142857143	25	26	2
414	5	1	1.18	0.55	2.14545454545455	26	25	2
414	6	2	35.63	17.19	2.07271669575335	26	25	2
