id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
415600799	China, Jiashan County	99	2	5	8	1.18	12	9.89	1.18	8	9.89	12	738.135593220339	rising	738.135593220339
415600299	China, Qidong City	99	2	6	6	3.69	12	13.78	2.25	8	13.78	12	273.441734417344	U	273.441734417344
415601599	China, Nangang District, Harbin City	99	2	4	9	3.03	12	11.24	3.03	9	11.24	12	270.957095709571	rising	270.957095709571
415600999	China, Wuhan City	99	2	4	8	3.87	12	11.03	3.87	8	11.03	12	185.012919896641	rising	185.012919896641
415601499	China, Zhongshan City	99	2	4	9	3.54	12	9.98	3.54	9	9.98	12	181.920903954802	rising	181.920903954802
415600199	China, Beijing City	99	2	4	8	2.3	12	6.15	2.3	8	6.15	12	167.391304347826	rising	167.391304347826
180000299	Uganda, Kyadondo County	99	2	7	1	24.84	12	47.96	24.84	1	54.3	10	93.0756843800322	inverted-U	93.0756843800322
684009945	USA, Hawaii: Hawaiian	45	2	12	1	57.38	12	4.61	4.61	12	57.38	1	-91.9658417567097	erratic	91.9658417567097
655400029	New Zealand: Pacific peoples	29	2	4	5	64.36	12	6.26	6.26	12	64.36	5	-90.2734617775016	erratic	90.2734617775016
684009923	USA, Hawaii: Filipino	23	2	11	2	32.71	12	3.35	3.35	12	32.71	2	-89.7584836441455	erratic	89.7584836441455
470200040	Singapore: Indian	40	2	9	3	40.43	12	4.22	3.66	10	40.43	3	-89.5622062824635	U	89.5622062824635
684009921	USA, Hawaii: Japanese	21	2	12	1	32.13	12	3.76	3.64	6	32.13	1	-88.2975412387177	U	88.2975412387177
684009920	USA, Hawaii: Chinese	20	2	11	2	24.31	12	3.21	2.93	11	24.31	2	-86.7955573837927	U	86.7955573837927
684009999	USA, Hawaii	99	2	7	1	41.18	12	5.44	5.44	12	41.18	1	-86.7897037396795	falling	86.7897037396795
384000230	USA, California, San Francisco Bay Area: Black	30	2	10	3	30.77	12	4.13	4.13	12	30.77	3	-86.5778355541112	falling	86.5778355541112
684009910	USA, Hawaii: White	10	2	12	1	42.82	12	5.75	5.34	10	42.82	1	-86.5716954694068	U	86.5716954694068
312400399	Canada, Manitoba	99	2	12	1	41	12	5.62	5.62	12	41	1	-86.2926829268293	falling	86.2926829268293
384000220	USA, California, San Francisco Bay Area: Chinese	20	2	6	3	19.03	11	2.81	2.81	11	19.03	3	-85.2338413032055	falling	85.2338413032055
575600299	Switzerland, Geneva	99	2	10	3	18.85	12	2.81	2.35	11	18.85	3	-85.0928381962865	U	85.0928381962865
217000199	Colombia, Cali	99	2	12	1	93.5	12	14.08	14.08	12	93.5	1	-84.9411764705883	falling	84.9411764705883
384000830	USA, Michigan, Detroit: Black	30	2	10	3	38.64	12	5.94	5.94	12	38.64	3	-84.6273291925466	falling	84.6273291925466
575600399	Switzerland, Neuchâtel	99	2	8	4	17.78	11	2.92	2.92	11	17.78	4	-83.5770528683915	falling	83.5770528683915
312400599	Canada, New Brunswick	99	2	10	1	38.09	12	6.3	5.45	11	58.78	2	-83.4602257810449	U	83.4602257810449
312401199	Canada, Quebec	99	2	9	2	35.59	12	6.03	5.4	10	35.59	2	-83.057038493959	U	83.057038493959
439201099	Japan, Aichi Prefecture	99	2	4	9	6.17	12	11.28	6.17	9	11.28	12	82.8200972447326	rising	82.8200972447326
415600499	China, Tianjin	99	2	4	5	13.9	8	2.39	2.39	8	13.9	5	-82.8057553956834	falling	82.8057553956834
384000530	USA, Georgia, Atlanta: Black	30	2	9	4	31.71	12	5.72	5.72	12	31.71	4	-81.9615263323873	falling	81.9615263323873
263000099	USA, Puerto Rico	99	2	11	1	55	12	10.11	7.66	10	55	1	-81.6181818181818	U	81.6181818181818
415603099	China, Hong Kong	99	2	8	4	36.13	11	6.84	6.84	11	36.13	4	-81.0683642402436	falling	81.0683642402436
575600599	Switzerland, Vaud	99	2	9	4	17.3	12	3.37	3.37	12	17.3	4	-80.5202312138728	erratic	80.5202312138728
525000199	France, Bas-Rhin	99	2	9	4	21.54	12	4.29	4.29	12	21.54	4	-80.08356545961	falling	80.08356545961
435600699	India, Poona	99	2	7	4	49.33	12	10.08	10.08	12	49.33	4	-79.5661869045206	falling	79.5661869045206
384000942	USA, New Mexico: American Indian	42	2	7	3	30.95	12	6.62	5.51	9	30.95	3	-78.610662358643	U	78.610662358643
225009199	France, Martinique	99	2	7	5	29.3	12	6.29	6.29	12	29.3	5	-78.5324232081911	falling	78.5324232081911
527603099	Germany, Saarland	99	2	10	3	39.27	12	8.46	8.46	12	39.27	3	-78.4568372803667	erratic	78.4568372803667
527600299	Germany, Hamburg	99	2	7	3	35.86	12	8.39	7.65	9	35.86	3	-76.6034578918015	U	76.6034578918015
570500099	Slovenia	99	2	12	1	29.81	12	7	7	12	29.81	1	-76.5179469976518	erratic	76.5179469976518
524600099	Finland	99	2	11	1	18.57	12	4.62	3.62	7	18.57	1	-75.1211631663974	U	75.1211631663974
312400299	Canada, British Columbia	99	2	10	3	21.6	12	5.4	5.2	10	21.6	3	-75	U	75
384001299	USA, Utah	99	2	10	3	16.76	12	4.21	4.18	11	16.76	3	-74.8806682577566	U	74.8806682577566
