id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
217000199	Colombia, Cali	99	2	1	93.5	23.61	3.96018636171114	high
217000199	Colombia, Cali	99	2	2	88.23	23.03	3.83108988276162	high
437600091	Israel: Jews born in Israel	91	2	2	3.16	23.03	0.137212331741207	low
384010585	USA,  Texas:  El Paso County Hispanic	85	2	3	93.06	19.97	4.65998998497747	high
217000199	Colombia, Cali	99	2	3	74.65	19.97	3.73810716074111	high
207601599	Brazil, Recife	99	2	3	72.33	19.97	3.62193289934902	high
217000199	Colombia, Cali	99	2	4	65.15	16	4.071875	high
435600699	India, Poona	99	2	4	49.33	16	3.083125	high
437600094	Israel: Arabs	94	2	4	2.6	16	0.1625	low
207601599	Brazil, Recife	99	2	5	83.15	12	6.92916666666667	high
655400029	New Zealand: Pacific peoples	29	2	5	64.36	12	5.36333333333333	high
217000199	Colombia, Cali	99	2	5	48.18	12	4.015	high
207600199	Brazil, Fortaleza	99	2	5	46.5	12	3.875	high
435600499	India, Chennai	99	2	5	46.07	12	3.83916666666667	high
435600299	India, Bangalore	99	2	5	40.24	12	3.35333333333333	high
218800099	Costa Rica	99	2	5	36.95	12	3.07916666666667	high
260400199	Peru, Trujillo	99	2	6	51.88	10.875	4.77057471264368	high
207600299	Brazil, Goiânia	99	2	6	48.92	10.875	4.4983908045977	high
435600499	India, Chennai	99	2	6	47.24	10.875	4.34390804597701	high
260000199	Paraguay, Asuncion	99	2	6	47.1	10.875	4.33103448275862	high
217000199	Colombia, Cali	99	2	6	42.21	10.875	3.88137931034483	high
221800199	Ecuador, Quito	99	2	6	34.01	10.875	3.12735632183908	high
171600270	Zimbabwe, Harare: African	70	2	7	64.83	9.66	6.7111801242236	high
207600799	Brazil, Belem	99	2	7	64.78	9.66	6.70600414078675	high
260400199	Peru, Trujillo	99	2	7	53.48	9.66	5.53623188405797	high
171600299	Zimbabwe, Harare	99	2	7	51.05	9.66	5.28467908902691	high
180000299	Uganda, Kyadondo County	99	2	7	40.76	9.66	4.21946169772257	high
435600499	India, Chennai	99	2	7	38.91	9.66	4.02795031055901	high
207600299	Brazil, Goiânia	99	2	7	37.13	9.66	3.84368530020704	high
217000199	Colombia, Cali	99	2	7	34.41	9.66	3.56211180124224	high
655400028	New Zealand: Maori	28	2	7	32.21	9.66	3.3343685300207	high
203200299	Argentina, Concordia	99	2	7	32.05	9.66	3.31780538302277	high
221800199	Ecuador, Quito	99	2	7	31.66	9.66	3.27743271221532	high
146600199	Mali, Bamako	99	2	7	29.1	9.66	3.01242236024845	high
171600270	Zimbabwe, Harare: African	70	2	8	55.04	8.39	6.56019070321812	high
180000299	Uganda, Kyadondo County	99	2	8	41.73	8.39	4.97377830750894	high
