country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	3	2	93.06	9.19	10.1262241566921	85	21	9
840	4	2	31.71	5.15	6.15728155339806	30	21	9
554	5	2	64.36	11.77	5.46813933729822	29	36	3
840	8	2	19.5	3.81	5.11811023622047	50	20	10
840	6	2	18.45	3.64	5.06868131868132	50	21	9
840	9	2	15.14	3.13	4.8370607028754	50	20	11
840	7	2	17.87	4.05	4.41234567901235	50	21	10
376	7	2	12.5	2.99	4.18060200668896	91	94	4
840	10	2	11.55	3.06	3.77450980392157	50	42	12
840	12	2	9.41	2.54	3.70472440944882	43	29	12
840	11	2	9.76	2.71	3.60147601476015	30	42	12
840	5	2	19.61	5.94	3.3013468013468	42	21	10
554	3	2	35.85	11.82	3.03299492385787	28	36	2
702	3	2	40.43	13.74	2.94250363901019	40	27	3
554	4	2	36.74	12.57	2.92283214001591	28	36	2
414	6	2	11.69	4.09	2.85819070904646	26	25	2
702	5	2	28.02	9.9	2.83030303030303	40	27	3
702	4	2	29.57	10.52	2.81083650190114	40	27	3
554	7	2	32.21	11.92	2.70218120805369	28	36	2
840	2	2	47.63	18.22	2.61416026344676	85	21	8
376	8	2	6.35	2.47	2.57085020242915	96	94	5
702	10	2	9.37	3.66	2.56010928961749	20	40	3
36	10	2	15.69	6.17	2.54294975688817	62	63	2
554	6	2	29.88	11.8	2.53220338983051	28	36	2
376	2	2	7.77	3.16	2.45886075949367	96	91	5
376	9	2	5.77	2.36	2.44491525423729	90	94	2
376	4	2	6.29	2.6	2.41923076923077	96	94	5
554	2	2	38.09	16.18	2.35414091470952	28	36	2
36	12	2	10.67	4.61	2.31453362255965	62	63	2
376	10	2	5.5	2.53	2.17391304347826	90	94	2
702	12	2	8.66	4.22	2.0521327014218	27	40	3
702	6	2	17.5	8.75	2	20	27	3
