id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
150800399	Mozambique,  Lourenco Marques	99	2	1	1.81	11.16	0.162186379928315	low
312400899	Canada, Newfoundland and Labrador	99	2	1	0.7	11.16	0.0627240143369176	low
156600199	Nigeria,  Ibadan	99	2	2	2.22	11.12	0.199640287769784	low
435600399	India, Mumbai	99	2	2	1.75	11.12	0.157374100719424	low
439200299	Japan, Miyagi Prefecture	99	2	2	1.6	11.12	0.143884892086331	low
384010010	Usa, California, Alameda County: White	10	2	3	40.56	12.19	3.3273174733388	high
684009945	USA, Hawaii: Hawaiian	45	2	3	38.77	12.19	3.18047579983593	high
384000210	USA, California, San Francisco Bay Area: White	10	2	3	36.61	12.19	3.00328137817884	high
437600094	Israel: Arabs	94	2	3	2.1	12.19	0.172272354388843	low
156600199	Nigeria,  Ibadan	99	2	3	1.85	12.19	0.151763740771124	low
439200299	Japan, Miyagi Prefecture	99	2	3	1.65	12.19	0.135356849876948	low
435600399	India, Mumbai	99	2	3	1.62	12.19	0.132895816242822	low
439200499	Japan, Osaka Prefecture	99	2	3	1.08	12.19	0.088597210828548	low
384010010	Usa, California, Alameda County: White	10	2	4	47.08	13.85	3.39927797833935	high
384000210	USA, California, San Francisco Bay Area: White	10	2	4	44.98	13.85	3.24765342960289	high
384001399	USA, Washington, Seattle	99	2	4	43.62	13.85	3.14945848375451	high
684009910	USA, Hawaii: White	10	2	4	43.62	13.85	3.14945848375451	high
384000383	USA, California, Los Angeles: Other White	83	2	4	43.2	13.85	3.11913357400722	high
684009945	USA, Hawaii: Hawaiian	45	2	4	42.62	13.85	3.07725631768953	high
439200299	Japan, Miyagi Prefecture	99	2	4	2.38	13.85	0.171841155234657	low
437600094	Israel: Arabs	94	2	4	1.89	13.85	0.136462093862816	low
439200499	Japan, Osaka Prefecture	99	2	4	1.77	13.85	0.127797833935018	low
439202199	Japan, Fukuoka Prefecture	99	2	4	1.74	13.85	0.125631768953069	low
168600199	Senegal, Dakar	99	2	4	1.7	13.85	0.122743682310469	low
435600399	India, Mumbai	99	2	4	1.62	13.85	0.116967509025271	low
435600399	India, Mumbai	99	2	5	2.02	10.39	0.1944177093359	low
435600499	India, Chennai	99	2	5	1.87	10.39	0.179980750721848	low
441400025	Kuwait: Kuwaitis	25	2	5	1.8	10.39	0.173243503368624	low
435600599	India, Nagpur	99	2	5	1.2	10.39	0.115495668912416	low
384000322	USA, California, Los Angeles County: Korean	22	2	6	1.98	10.21	0.193927522037218	low
207600299	Brazil, Goiânia	99	2	6	1.79	10.21	0.175318315377081	low
435600499	India, Chennai	99	2	6	1.74	10.21	0.170421155729677	low
435600199	India, Ahmedabad	99	2	6	1.73	10.21	0.169441723800196	low
435600299	India, Bangalore	99	2	6	1.63	10.21	0.159647404505387	low
127000099	The Gambia	99	2	6	0.98	10.21	0.0959843290891283	low
146600199	Mali, Bamako	99	2	6	0.83	10.21	0.0812928501469148	low
101200199	Algeria, Sétif	99	2	6	0.59	10.21	0.0577864838393732	low
415600299	China, Qidong City	99	2	6	0.45	10.21	0.0440744368266406	low
476400299	Thailand, Khon Kaen	99	2	7	2.03	10.515	0.193057536852116	low
435600299	India, Bangalore	99	2	7	1.93	10.515	0.183547313361864	low
207600799	Brazil, Belem	99	2	7	1.9	10.515	0.180694246314788	low
470400199	Viet Nam, Hanoi	99	2	7	1.5	10.515	0.14265335235378	low
435600999	India, Karunagappally	99	2	7	1.22	10.515	0.116024726581075	low
146600199	Mali, Bamako	99	2	7	1.2	10.515	0.114122681883024	low
415600299	China, Qidong City	99	2	7	0.56	10.515	0.0532572515454113	low
101200199	Algeria, Sétif	99	2	7	0.33	10.515	0.0313837375178317	low
435600799	India, Barshi, Paranda, and Bhum	99	2	7	0.33	10.515	0.0313837375178317	low
441000199	Korea, Kangwha County	99	2	7	0.28	10.515	0.0266286257727057	low
101200299	Algeria, Algiers	99	2	8	2.15	11	0.195454545454545	low
441000399	Republic of Korea, Seoul	99	2	8	2.15	11	0.195454545454545	low
127000099	The Gambia	99	2	8	2.09	11	0.19	low
441000499	Republic of Korea, Daegu	99	2	8	2.09	11	0.19	low
476400499	Thailand, Songkhla	99	2	8	1.91	11	0.173636363636364	low
415600799	China, Jiashan County	99	2	8	1.86	11	0.169090909090909	low
441000199	Korea, Kangwha County	99	2	8	1.85	11	0.168181818181818	low
146600199	Mali, Bamako	99	2	8	1.68	11	0.152727272727273	low
470400199	Viet Nam, Hanoi	99	2	8	1.62	11	0.147272727272727	low
415600999	China, Wuhan City	99	2	8	1.59	11	0.144545454545455	low
441000299	Republic of Korea, Busan	99	2	8	1.55	11	0.140909090909091	low
415600299	China, Qidong City	99	2	8	1.38	11	0.125454545454545	low
435600199	India, Ahmedabad	99	2	8	1.36	11	0.123636363636364	low
435600999	India, Karunagappally	99	2	8	0.86	11	0.0781818181818182	low
451200099	Oman: Omani	99	2	8	0.45	11	0.0409090909090909	low
441000299	Republic of Korea, Busan	99	2	9	2.41	12.375	0.194747474747475	low
441000899	Republic of Korea, Ulsan	99	2	9	2.37	12.375	0.191515151515152	low
435600599	India, Nagpur	99	2	9	2.31	12.375	0.186666666666667	low
441001099	Republic of Korea, Gwangju	99	2	9	2.14	12.375	0.172929292929293	low
312400499	Canada, Northwest Territories	99	2	9	1.99	12.375	0.160808080808081	low
207601099	Brazil, Cuiaba	99	2	9	1.98	12.375	0.16	low
435600499	India, Chennai	99	2	9	1.97	12.375	0.159191919191919	low
435600699	India, Poona	99	2	9	1.93	12.375	0.155959595959596	low
101200199	Algeria, Sétif	99	2	9	1.12	12.375	0.0905050505050505	low
435600999	India, Karunagappally	99	2	9	1.1	12.375	0.0888888888888889	low
415600799	China, Jiashan County	99	2	9	1.02	12.375	0.0824242424242424	low
451200099	Oman: Omani	99	2	9	0.89	12.375	0.0719191919191919	low
415602099	China, Haining City	99	2	10	2.49	12.84	0.19392523364486	low
435600699	India, Poona	99	2	10	2.4	12.84	0.186915887850467	low
221800299	Ecuador, Cuenca	99	2	10	2.3	12.84	0.179127725856698	low
415600299	China, Qidong City	99	2	10	1.92	12.84	0.149532710280374	low
435601899	India, Sikkim State	99	2	10	1.83	12.84	0.142523364485981	low
435601999	India, Mizoram	99	2	10	1.76	12.84	0.137071651090343	low
436400399	Iran (Islamic Republic of), Golestan Province	99	2	10	1.67	12.84	0.13006230529595	low
415601899	China, Yanting County	99	2	10	1.59	12.84	0.123831775700935	low
145400199	Malawi, Blantyre	99	2	10	1.45	12.84	0.112928348909657	low
435600999	India, Karunagappally	99	2	10	1.31	12.84	0.10202492211838	low
435600799	India, Barshi, Paranda, and Bhum	99	2	10	1.08	12.84	0.0841121495327103	low
435601199	India, Dindigul, Ambilikkai	99	2	10	1.03	12.84	0.0802180685358256	low
171000199	South Africa, Eastern Cape	99	2	10	0.93	12.84	0.0724299065420561	low
415603999	China, Yangcheng County	99	2	10	0.81	12.84	0.0630841121495327	low
143400199	Libya, Benghazi	99	2	10	0.63	12.84	0.0490654205607477	low
101200199	Algeria, Sétif	99	2	10	0.08	12.84	0.00623052959501558	low
655400029	New Zealand: Pacific peoples	29	2	11	50.77	13.035	3.89489835059455	high
435602199	India, Kollam	99	2	11	2.57	13.035	0.197161488300729	low
415600299	China, Qidong City	99	2	11	2.46	13.035	0.188722669735328	low
415601699	China, Shexian County	99	2	11	2.46	13.035	0.188722669735328	low
312401399	Canada, Nunavut	99	2	11	2.3	13.035	0.17644802454929	low
101200399	Algeria, Batna	99	2	11	2.16	13.035	0.165707710011508	low
415603299	China, Jianhu County	99	2	11	2.15	13.035	0.16494054468738	low
171000199	South Africa, Eastern Cape	99	2	11	2.01	13.035	0.154200230149597	low
415608499	China, Sheyang County	99	2	11	1.94	13.035	0.148830072880706	low
435601999	India, Mizoram	99	2	11	1.9	13.035	0.145761411584196	low
463400068	Qatar: Qatari	68	2	11	1.66	13.035	0.12734944380514	low
436400399	Iran (Islamic Republic of), Golestan Province	99	2	11	1.61	13.035	0.123513617184503	low
435602099	India, Wardha	99	2	11	1.27	13.035	0.0974299961641734	low
