country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	4	2	47.08	3.55	13.2619718309859	10	42	9
840	6	2	22.25	1.98	11.2373737373737	10	22	9
840	3	2	40.56	3.79	10.7018469656992	10	42	9
840	5	2	25.65	3.14	8.1687898089172	10	22	10
840	7	2	20.61	2.59	7.95752895752896	45	22	10
840	8	2	26.59	3.36	7.91369047619048	45	22	10
376	3	2	14.63	2.1	6.96666666666667	97	94	5
840	10	2	29.68	4.27	6.95081967213115	45	29	12
376	4	2	12.48	1.89	6.6031746031746	90	94	5
376	7	2	30.03	4.86	6.17901234567901	91	94	4
376	2	2	13.37	2.9	4.61034482758621	97	94	5
840	11	2	30.23	6.98	4.33094555873925	45	22	12
376	6	2	12.16	2.82	4.31205673758865	97	94	5
376	5	2	12.58	3.07	4.09771986970684	97	94	5
840	9	2	28.05	7.42	3.78032345013477	45	22	11
840	12	2	32.58	8.65	3.76647398843931	45	22	12
414	5	2	5.85	1.8	3.25	26	25	2
376	8	2	14.1	5.67	2.48677248677249	97	94	5
554	12	2	52.51	22.65	2.31832229580574	29	28	2
840	2	2	28.46	12.44	2.28778135048232	45	21	8
554	11	2	50.77	22.26	2.28077268643306	29	28	2
414	6	2	5.5	2.45	2.24489795918367	26	25	2
36	10	2	17.6	8.45	2.08284023668639	62	63	2
702	6	2	6.42	3.19	2.01253918495298	20	40	3
