id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
575600699	Switzerland, Zurich	99	2	6	5	0.03	11	0.34	0.03	5	0.34	11	1033.33333333333	rising	1033.33333333333
384000999	USA, New Mexico	99	2	7	6	0.09	12	0.67	0.09	6	0.67	12	644.444444444445	erratic	644.444444444445
476400499	Thailand, Songkhla	99	2	5	8	0.09	12	0.65	0.09	8	0.65	12	622.222222222222	rising	622.222222222222
312400399	Canada, Manitoba	99	2	12	1	0.06	12	0.4	0	3	0.83	5	566.666666666667	U	566.666666666667
415600199	China, Beijing City	99	2	4	8	0.19	12	1.06	0.19	8	1.06	12	457.894736842105	rising	457.894736842105
384000399	USA, California, Los Angeles County	99	2	6	7	0.17	12	0.89	0.17	7	0.89	12	423.529411764706	rising	423.529411764706
415600499	China, Tianjin	99	2	4	5	0.3	8	1.51	0.22	6	1.51	8	403.333333333333	U	403.333333333333
538002699	Italy, Milan	99	2	4	9	0.19	12	0.82	0.19	9	0.82	12	331.578947368421	erratic	331.578947368421
384006799	USA, Oregon	99	2	4	9	0.17	12	0.72	0.17	9	0.72	12	323.529411764706	rising	323.529411764706
441400025	Kuwait: Kuwaitis	25	2	8	5	0.26	12	0.96	0.15	7	1.27	10	269.230769230769	U	269.230769230769
655400029	New Zealand: Pacific peoples	29	2	4	5	0.35	12	1.11	0.35	5	1.82	10	217.142857142857	inverted-U	217.142857142857
384006999	USA, Rhode Island	99	2	4	9	0.26	12	0.77	0.26	9	0.82	11	196.153846153846	inverted-U	196.153846153846
384002530	USA, California: Black	30	2	4	9	0.53	12	1.43	0.53	9	1.43	12	169.811320754717	rising	169.811320754717
435600299	India, Bangalore	99	2	7	5	0.26	12	0.67	0.26	5	1.12	11	157.692307692308	inverted-U	157.692307692308
582600799	UK, England, East Midlands	99	2	9	2	0.28	11	0.72	0	3	1.37	6	157.142857142857	U	157.142857142857
101200199	Algeria, Sétif	99	2	5	6	0.57	11	1.44	0.09	7	1.44	11	152.631578947368	U	152.631578947368
415600299	China, Qidong City	99	2	6	6	0.76	12	1.89	0.55	8	2.4	11	148.684210526316	U	148.684210526316
384000599	USA, Georgia, Atlanta	99	2	6	7	0.19	12	0.47	0.19	7	0.5	10	147.368421052632	inverted-U	147.368421052632
384000250	USA, California, San Francisco Bay Area: Hispanic White	50	2	6	7	0.19	12	0.46	0.17	9	0.46	12	142.105263157895	U	142.105263157895
384000360	USA, California, Los Angeles County: Non-Hispanic White	60	2	7	6	0.34	12	0.82	0.13	9	0.82	12	141.176470588235	U	141.176470588235
384000899	USA, Michigan, Detroit	99	2	6	7	0.26	12	0.62	0.26	7	0.62	11	138.461538461538	rising	138.461538461538
538000199	Italy, Tuscany	99	2	7	6	0.46	12	1.09	0.35	11	1.09	12	136.95652173913	U	136.95652173913
312400199	Canada, Alberta	99	2	12	1	0.06	12	0.14	0	3	1.86	2	133.333333333333	U	133.333333333333
684009999	USA, Hawaii	99	2	7	1	0.15	12	0.35	0.15	1	0.54	8	133.333333333333	inverted-U	133.333333333333
441400099	Kuwait	99	2	6	5	0.31	12	0.72	0.21	7	1.08	10	132.258064516129	U	132.258064516129
384002030	USA, SEER (9 registries): Black	30	2	7	6	0.43	12	0.96	0.43	6	0.96	12	123.255813953488	erratic	123.255813953488
384005099	USA, Alaska	99	2	4	9	0.24	12	0.53	0.24	9	0.53	12	120.833333333333	rising	120.833333333333
384002599	USA, California	99	2	4	9	0.29	12	0.64	0.29	9	0.64	12	120.689655172414	rising	120.689655172414
384005110	USA, Alabama: White	10	2	4	9	0.26	12	0.56	0.26	9	0.56	12	115.384615384615	rising	115.384615384615
384000260	USA, California, San Francisco Bay Area: Non-Hispanic White	60	2	6	7	0.14	12	0.3	0.14	7	0.3	12	114.285714285714	erratic	114.285714285714
384002450	USA, SEER (18 registries): Hispanic White	50	2	4	9	0.36	12	0.76	0.35	10	0.76	12	111.111111111111	U	111.111111111111
384005199	USA, Alabama	99	2	4	9	0.37	12	0.78	0.37	9	0.78	12	110.810810810811	rising	110.810810810811
582601199	UK, England, East	99	2	5	7	0.23	11	0.48	0.18	8	0.63	10	108.695652173913	U	108.695652173913
384005130	USA, Alabama: Black	30	2	4	9	0.72	12	1.5	0.72	9	1.5	12	108.333333333333	rising	108.333333333333
603600399	Australia, Queensland	99	2	6	5	0.16	12	0.33	0	8	0.47	10	106.25	U	106.25
312400499	Canada, Northwest Territories	99	2	7	5	0.94	11	0	0	6	1.1	7	-100	inverted-U	100
312400999	Canada, Yukon	99	2	6	6	0.25	12	0	0	7	0.25	6	-100	falling	100
534800299	Hungary, County Szabolcs-Szatmar	99	2	5	2	0.24	6	0	0	3	0.24	2	-100	falling	100
534800399	Hungary, County Vas	99	2	5	2	0.27	6	0	0	3	0.27	2	-100	falling	100
535200099	Iceland	99	2	10	1	2.56	12	0	0	3	2.56	1	-100	erratic	100
