id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
312400899	Canada, Newfoundland and Labrador	99	2	1	11.92	1.7	7.01176470588235	high
439200299	Japan, Miyagi Prefecture	99	2	1	10.65	1.7	6.26470588235294	high
215200099	Chile	99	2	1	7.32	1.7	4.30588235294118	high
312401299	Canada, Saskatchewan	99	2	1	0.27	1.7	0.158823529411765	low
684009999	USA, Hawaii	99	2	1	0.15	1.7	0.0882352941176471	low
312400199	Canada, Alberta	99	2	1	0.06	1.7	0.0352941176470588	low
312400399	Canada, Manitoba	99	2	1	0.06	1.7	0.0352941176470588	low
439202299	Japan,  Okayama Prefecture	99	2	2	9.89	1.45	6.82068965517242	high
435600399	India, Mumbai	99	2	2	6.81	1.45	4.69655172413793	high
439200299	Japan, Miyagi Prefecture	99	2	2	6.58	1.45	4.53793103448276	high
582600799	UK, England, East Midlands	99	2	2	0.28	1.45	0.193103448275862	low
534800399	Hungary, County Vas	99	2	2	0.27	1.45	0.186206896551724	low
384010585	USA,  Texas:  El Paso County Hispanic	85	2	2	0.25	1.45	0.172413793103448	low
534800299	Hungary, County Szabolcs-Szatmar	99	2	2	0.24	1.45	0.16551724137931	low
527600199	Germany, Eastern States	99	2	2	0.23	1.45	0.158620689655172	low
312400399	Canada, Manitoba	99	2	2	0.22	1.45	0.151724137931034	low
312400899	Canada, Newfoundland and Labrador	99	2	2	0.22	1.45	0.151724137931034	low
684009910	USA, Hawaii: White	10	2	2	0.21	1.45	0.144827586206897	low
384004999	USA, Nevada	99	2	2	0.14	1.45	0.096551724137931	low
582600899	UK, England, Merseyside and Cheshire	99	2	2	0.03	1.45	0.0206896551724138	low
207601599	Brazil, Recife	99	2	5	7.19	0.59	12.1864406779661	high
207600499	Brazil, Porto Alegre	99	2	5	6.53	0.59	11.0677966101695	high
207600899	Brazil, Sao Paulo	99	2	5	6.44	0.59	10.9152542372881	high
460800399	Philippines, Rizal	99	2	5	5.07	0.59	8.59322033898305	high
564200199	Romania, County Cluj	99	2	5	3.58	0.59	6.06779661016949	high
312400799	Canada, Prince Edward Island	99	2	5	3.33	0.59	5.64406779661017	high
572400799	Spain, Zaragoza	99	2	5	3.32	0.59	5.6271186440678	high
439200499	Japan, Osaka Prefecture	99	2	5	2.95	0.59	5	high
384001599	USA, New Jersey	99	2	5	2.56	0.59	4.33898305084746	high
435600399	India, Mumbai	99	2	5	2.49	0.59	4.22033898305085	high
582600399	UK, England, North West	99	2	5	2.44	0.59	4.13559322033898	high
582606599	United Kingdom, Scotland, East	99	2	5	2.25	0.59	3.8135593220339	high
217000199	Colombia, Cali	99	2	5	2.09	0.59	3.54237288135593	high
525000199	France, Bas-Rhin	99	2	5	2.04	0.59	3.45762711864407	high
572400199	Spain, Tarragona	99	2	5	1.92	0.59	3.25423728813559	high
384010499	Usa, New York State (Less New York City)	99	2	5	1.9	0.59	3.22033898305085	high
570300099	Slovakia	99	2	5	0.09	0.59	0.152542372881356	low
415603099	China, Hong Kong	99	2	5	0.07	0.59	0.11864406779661	low
582600499	UK, England, Oxford Region	99	2	5	0.07	0.59	0.11864406779661	low
384000210	USA, California, San Francisco Bay Area: White	10	2	5	0.03	0.59	0.0508474576271187	low
575600699	Switzerland, Zurich	99	2	5	0.03	0.59	0.0508474576271187	low
384010010	Usa, California, Alameda County: White	10	2	5	0.01	0.59	0.0169491525423729	low
260000199	Paraguay, Asuncion	99	2	6	6.87	0.55	12.4909090909091	high
207600299	Brazil, Goiânia	99	2	6	6.11	0.55	11.1090909090909	high
219200099	Cuba	99	2	6	5.69	0.55	10.3454545454545	high
146600199	Mali, Bamako	99	2	6	4.87	0.55	8.85454545454545	high
221800199	Ecuador, Quito	99	2	6	4.56	0.55	8.29090909090909	high
460800299	Philippines, Manila	99	2	6	4.47	0.55	8.12727272727273	high
207600499	Brazil, Porto Alegre	99	2	6	4.46	0.55	8.10909090909091	high
460800399	Philippines, Rizal	99	2	6	3.84	0.55	6.98181818181818	high
562000199	Portugal, Vila Nova de Gaia	99	2	6	3.69	0.55	6.70909090909091	high
439200699	Japan, Yamagata Prefecture	99	2	6	2.82	0.55	5.12727272727273	high
260400199	Peru, Trujillo	99	2	6	2.74	0.55	4.98181818181818	high
582600399	UK, England, North West	99	2	6	2.41	0.55	4.38181818181818	high
575600399	Switzerland, Neuchâtel	99	2	6	2.34	0.55	4.25454545454545	high
564200199	Romania, County Cluj	99	2	6	2.23	0.55	4.05454545454545	high
384001599	USA, New Jersey	99	2	6	1.84	0.55	3.34545454545455	high
439200499	Japan, Osaka Prefecture	99	2	6	1.66	0.55	3.01818181818182	high
570300099	Slovakia	99	2	6	0.11	0.55	0.2	low
384000321	USA, California, Los Angeles County: Japanese	21	2	6	0.1	0.55	0.181818181818182	low
384001399	USA, Washington, Seattle	99	2	6	0.1	0.55	0.181818181818182	low
437600090	Israel: Jews	90	2	6	0.1	0.55	0.181818181818182	low
557800099	Norway	99	2	6	0.1	0.55	0.181818181818182	low
384000999	USA, New Mexico	99	2	6	0.09	0.55	0.163636363636364	low
437600097	Israel: Jews born in Europe or America	97	2	6	0.09	0.55	0.163636363636364	low
655400036	New Zealand: Non-Maori	36	2	6	0.08	0.55	0.145454545454545	low
552800299	The Netherlands, Maastricht	99	2	6	0.06	0.55	0.109090909090909	low
575600499	Switzerland, East	99	2	6	0.06	0.55	0.109090909090909	low
684009910	USA, Hawaii: White	10	2	6	0.06	0.55	0.109090909090909	low
582600499	UK, England, Oxford Region	99	2	6	0.04	0.55	0.0727272727272727	low
575600699	Switzerland, Zurich	99	2	6	0.03	0.55	0.0545454545454545	low
603600799	Australia, Western Australia	99	2	6	0.02	0.55	0.0363636363636364	low
207600499	Brazil, Porto Alegre	99	2	7	9.02	0.43	20.9767441860465	high
625009899	French Polynesia	99	2	7	8.29	0.43	19.2790697674419	high
203200299	Argentina, Concordia	99	2	7	4.28	0.43	9.95348837209302	high
460800299	Philippines, Manila	99	2	7	3.56	0.43	8.27906976744186	high
146600199	Mali, Bamako	99	2	7	2.8	0.43	6.51162790697674	high
221800199	Ecuador, Quito	99	2	7	2.5	0.43	5.81395348837209	high
384010230	USA, Louisiana, Central Region: Black	30	2	7	2.43	0.43	5.65116279069768	high
538001399	Italy, Veneto	99	2	7	2.3	0.43	5.34883720930233	high
538001199	Italy, Macerata Province	99	2	7	2.24	0.43	5.2093023255814	high
207600299	Brazil, Goiânia	99	2	7	2.05	0.43	4.76744186046512	high
207600799	Brazil, Belem	99	2	7	1.97	0.43	4.58139534883721	high
519100099	Croatia	99	2	7	1.64	0.43	3.81395348837209	high
538000399	Italy, Latina	99	2	7	1.57	0.43	3.65116279069767	high
575200099	Sweden	99	2	7	1.55	0.43	3.6046511627907	high
589100199	Yugoslavia, Vojvodina	99	2	7	1.53	0.43	3.55813953488372	high
572400999	Spain, Albacete	99	2	7	1.51	0.43	3.51162790697674	high
171600299	Zimbabwe, Harare	99	2	7	1.47	0.43	3.41860465116279	high
435600899	India, Trivandrum	99	2	7	1.47	0.43	3.41860465116279	high
171600270	Zimbabwe, Harare: African	70	2	7	1.38	0.43	3.2093023255814	high
125009099	France, La Réunion	99	2	7	1.32	0.43	3.06976744186047	high
384010150	USA, California, Central Valley: Hispanic	50	2	7	0.08	0.43	0.186046511627907	low
655400036	New Zealand: Non-Maori	36	2	7	0.08	0.43	0.186046511627907	low
437600094	Israel: Arabs	94	2	7	0.07	0.43	0.162790697674419	low
655400099	New Zealand	99	2	7	0.07	0.43	0.162790697674419	low
384000510	USA, Georgia, Atlanta: White	10	2	7	0.06	0.43	0.13953488372093	low
384001399	USA, Washington, Seattle	99	2	7	0.06	0.43	0.13953488372093	low
603600799	Australia, Western Australia	99	2	7	0.06	0.43	0.13953488372093	low
552800299	The Netherlands, Maastricht	99	2	7	0.04	0.43	0.0930232558139535	low
542800099	Latvia	99	2	7	0.03	0.43	0.0697674418604651	low
552800099	The Netherlands	99	2	7	0.03	0.43	0.0697674418604651	low
582600599	UK, England, South Thames	99	2	7	0.03	0.43	0.0697674418604651	low
505600199	Belgium, Limburg	99	2	8	5.05	0.525	9.61904761904762	high
203200299	Argentina, Concordia	99	2	8	4.21	0.525	8.01904761904762	high
203200199	Argentina, Bahia Blanca	99	2	8	3.9	0.525	7.42857142857143	high
460800299	Philippines, Manila	99	2	8	3.34	0.525	6.36190476190476	high
146600199	Mali, Bamako	99	2	8	3.28	0.525	6.24761904761905	high
