id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
215200099	Chile	99	2	1	2.28	11.93	0.191114836546521	low
439200299	Japan, Miyagi Prefecture	99	2	2	2.17	12.1	0.179338842975207	low
146600199	Mali, Bamako	99	2	6	1.79	11.63	0.153912295786758	low
127000099	The Gambia	99	2	6	1.65	11.63	0.141874462596733	low
415600299	China, Qidong City	99	2	6	1.64	11.63	0.141014617368874	low
101200199	Algeria, Sétif	99	2	6	1.16	11.63	0.0997420464316423	low
435600799	India, Barshi, Paranda, and Bhum	99	2	7	2.18	11.35	0.192070484581498	low
146600199	Mali, Bamako	99	2	7	1.73	11.35	0.152422907488987	low
101200199	Algeria, Sétif	99	2	7	1.46	11.35	0.12863436123348	low
415600299	China, Qidong City	99	2	7	1.19	11.35	0.104845814977974	low
146600199	Mali, Bamako	99	2	8	2.36	11.95	0.197489539748954	low
441000199	Korea, Kangwha County	99	2	8	1.95	11.95	0.163179916317992	low
415600299	China, Qidong City	99	2	8	1.55	11.95	0.129707112970711	low
171000199	South Africa, Eastern Cape	99	2	10	1.69	10.5	0.160952380952381	low
101200199	Algeria, Sétif	99	2	10	1.48	10.5	0.140952380952381	low
