country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
376	7	2	28.06	3.71	7.5633423180593	91	94	4
376	2	2	18.66	3.15	5.92380952380952	97	94	5
376	6	2	16.79	3.29	5.10334346504559	97	94	5
840	11	2	13.77	3.08	4.47077922077922	10	42	12
376	3	2	18.09	4.4	4.11136363636364	97	94	5
376	8	2	18.36	4.58	4.00873362445415	97	94	5
840	2	2	19	4.77	3.9832285115304	45	23	8
376	4	2	17.45	4.66	3.74463519313305	97	94	5
840	10	2	15.56	4.23	3.67848699763593	42	42	12
376	5	2	16.94	4.72	3.58898305084746	97	94	5
840	4	2	17.75	5.75	3.08695652173913	10	23	9
840	7	2	16.07	5.56	2.89028776978417	10	22	10
376	9	2	11.92	4.18	2.85167464114833	90	94	2
840	6	2	15.26	5.49	2.77959927140255	10	22	9
414	5	2	10.09	4.1	2.4609756097561	26	25	2
840	12	2	13.92	5.95	2.33949579831933	10	30	12
840	3	2	16.84	7.37	2.28493894165536	10	20	9
554	5	2	28.08	12.4	2.26451612903226	29	36	3
840	9	2	14.75	6.6	2.23484848484848	10	22	11
840	5	2	15.61	7.04	2.21732954545455	83	42	10
840	1	2	18.62	8.43	2.20877817319098	45	21	3
840	8	2	17.55	8.12	2.16133004926108	10	22	10
702	4	2	14.04	6.94	2.02305475504323	27	20	3
