id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
384000410	USA, Connecticut: White	10	2	8	5	0.01	12	0.09	0.01	5	0.09	12	800	erratic	800
525000599	France, Isère	99	2	8	5	0.06	12	0.43	0.03	6	0.43	12	616.666666666667	U	616.666666666667
537200099	Ireland	99	2	5	8	0.01	12	0.05	0.01	8	0.1	11	400	inverted-U	400
552800199	The Netherlands, Eindhoven	99	2	6	5	0.04	10	0.15	0	7	0.15	10	275	U	275
384005799	USA, Idaho	99	2	4	9	0.06	12	0.19	0.03	10	0.19	12	216.666666666667	U	216.666666666667
384006999	USA, Rhode Island	99	2	4	9	0.04	12	0.12	0.04	9	0.12	12	200	rising	200
527601199	Germany, North Rhine-Westphalia	99	2	4	9	0.01	12	0.03	0	10	0.03	11	200	U	200
527600299	Germany, Hamburg	99	2	7	3	0.06	12	0.14	0	5	0.17	11	133.333333333333	U	133.333333333333
582600199	UK, England	99	2	4	8	0.03	12	0.07	0.03	8	0.07	12	133.333333333333	rising	133.333333333333
384007110	USA, Texas: White	10	2	4	9	0.04	12	0.09	0.04	9	0.11	11	125	inverted-U	125
101200199	Algeria, Sétif	99	2	5	6	0.03	11	0	0	7	0.03	6	-100	erratic	100
312400499	Canada, Northwest Territories	99	2	7	5	0.51	11	0	0	9	1.52	6	-100	inverted-U	100
312400999	Canada, Yukon	99	2	6	6	0.07	12	0	0	7	0.07	6	-100	falling	100
384000221	USA, California, San Francisco Bay Area: Japanese	21	2	5	4	0.73	11	0	0	7	0.73	4	-100	falling	100
384000230	USA, California, San Francisco Bay Area: Black	30	2	10	3	0.35	12	0	0	11	0.51	6	-100	inverted-U	100
384001999	USA, Kentucky	99	2	4	9	0.04	12	0.08	0.04	9	0.12	11	100	inverted-U	100
435600699	India, Poona	99	2	7	4	2.68	12	0	0	12	2.68	4	-100	falling	100
435600899	India, Trivandrum	99	2	6	7	0.27	12	0	0	9	0.27	7	-100	erratic	100
441400025	Kuwait: Kuwaitis	25	2	8	5	0.32	12	0	0	12	0.7	7	-100	inverted-U	100
470200040	Singapore: Indian	40	2	9	3	0.4	12	0	0	7	0.46	4	-100	inverted-U	100
525000399	France, Doubs	99	2	9	4	0.38	12	0	0	9	0.4	7	-100	inverted-U	100
525000799	France, Tarn	99	2	7	6	0.2	12	0	0	7	0.2	6	-100	falling	100
538000199	Italy, Tuscany	99	2	7	6	0.03	12	0.06	0.03	6	0.2	9	100	inverted-U	100
538000899	Italy, Turin	99	2	7	6	0.04	12	0	0	8	0.09	10	-100	inverted-U	100
572400499	Spain, Navarra	99	2	9	4	0.19	12	0	0	8	0.22	7	-100	inverted-U	100
572400599	Spain, Asturias	99	2	6	7	0.09	12	0	0	8	0.09	7	-100	falling	100
572400799	Spain, Zaragoza	99	2	7	3	0.12	9	0	0	4	0.12	3	-100	erratic	100
603600599	Australia, Tasmania	99	2	8	5	0.16	12	0	0	6	0.16	5	-100	falling	100
415600399	China, Shanghai City	99	2	9	4	1.22	12	0.02	0.01	11	1.22	4	-98.3606557377049	U	98.3606557377049
441400099	Kuwait	99	2	6	5	0.48	12	0.01	0.01	10	0.48	5	-97.9166666666667	erratic	97.9166666666667
441400026	Kuwait: Non-Kuwaitis	26	2	8	5	0.56	12	0.02	0	10	0.56	5	-96.4285714285714	U	96.4285714285714
439200399	Japan, Nagasaki Prefecture	99	2	8	4	1.46	11	0.06	0.05	9	1.46	4	-95.8904109589041	U	95.8904109589041
384000942	USA, New Mexico: American Indian	42	2	7	3	8.71	12	0.47	0	5	8.71	3	-94.6039035591274	U	94.6039035591274
415603099	China, Hong Kong	99	2	8	4	0.35	11	0.02	0.02	11	0.4	5	-94.2857142857143	inverted-U	94.2857142857143
435600499	India, Chennai	99	2	8	5	0.45	12	0.03	0.03	9	0.45	5	-93.3333333333333	erratic	93.3333333333333
575600499	Switzerland, East	99	2	7	6	0.52	12	0.04	0	8	0.52	6	-92.3076923076923	U	92.3076923076923
476400199	Thailand, Chiang Mai	99	2	7	6	0.65	12	0.06	0.06	12	0.65	6	-90.7692307692308	erratic	90.7692307692308
460800299	Philippines, Manila	99	2	7	6	0.82	12	0.09	0.09	12	0.82	6	-89.0243902439025	erratic	89.0243902439025
415601499	China, Zhongshan City	99	2	4	9	0.16	12	0.02	0.02	12	0.16	9	-87.5	falling	87.5
519100099	Croatia	99	2	6	7	0.08	12	0.01	0.01	12	0.15	8	-87.5	inverted-U	87.5
