id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
384000942	USA, New Mexico: American Indian	42	2	3	8.71	0.25	34.84	high
156600199	Nigeria,  Ibadan	99	2	3	3.08	0.25	12.32	high
171600170	Zimbabwe, Bulawayo: African	70	2	3	2.13	0.25	8.52	high
439202299	Japan,  Okayama Prefecture	99	2	3	1.38	0.25	5.52	high
470200027	Singapore: Malay	27	2	3	1.16	0.25	4.64	high
470200020	Singapore: Chinese	20	2	3	0.97	0.25	3.88	high
384000985	USA, New Mexico: Hispanic	85	2	3	0.9	0.25	3.6	high
582600799	UK, England, East Midlands	99	2	3	0.04	0.25	0.16	low
582600499	UK, England, Oxford Region	99	2	3	0.03	0.25	0.12	low
219200099	Cuba	99	2	3	0.01	0.25	0.04	low
435600699	India, Poona	99	2	4	2.68	0.19	14.1052631578947	high
384000942	USA, New Mexico: American Indian	42	2	4	2.58	0.19	13.5789473684211	high
582606799	United Kingdom, Scotland, N-E	99	2	4	1.73	0.19	9.10526315789474	high
439200399	Japan, Nagasaki Prefecture	99	2	4	1.46	0.19	7.68421052631579	high
312401599	Canada, Northwest Territories and Yukon	99	2	4	1.24	0.19	6.52631578947368	high
415600399	China, Shanghai City	99	2	4	1.22	0.19	6.42105263157895	high
168600199	Senegal, Dakar	99	2	4	0.97	0.19	5.10526315789474	high
470200027	Singapore: Malay	27	2	4	0.8	0.19	4.21052631578947	high
384000221	USA, California, San Francisco Bay Area: Japanese	21	2	4	0.73	0.19	3.84210526315789	high
439200299	Japan, Miyagi Prefecture	99	2	4	0.62	0.19	3.26315789473684	high
207600199	Brazil, Fortaleza	99	2	5	0.81	0.15	5.4	high
470200027	Singapore: Malay	27	2	5	0.71	0.15	4.73333333333333	high
384000221	USA, California, San Francisco Bay Area: Japanese	21	2	5	0.7	0.15	4.66666666666667	high
460800399	Philippines, Rizal	99	2	5	0.7	0.15	4.66666666666667	high
582606799	United Kingdom, Scotland, N-E	99	2	5	0.62	0.15	4.13333333333333	high
441400026	Kuwait: Non-Kuwaitis	26	2	5	0.56	0.15	3.73333333333333	high
312400499	Canada, Northwest Territories	99	2	5	0.51	0.15	3.4	high
207601599	Brazil, Recife	99	2	5	0.48	0.15	3.2	high
441400099	Kuwait	99	2	5	0.48	0.15	3.2	high
415600499	China, Tianjin	99	2	5	0.47	0.15	3.13333333333333	high
470200020	Singapore: Chinese	20	2	5	0.46	0.15	3.06666666666667	high
415600399	China, Shanghai City	99	2	5	0.45	0.15	3	high
435600499	India, Chennai	99	2	5	0.45	0.15	3	high
217000199	Colombia, Cali	99	2	5	0.02	0.15	0.133333333333333	low
384000510	USA, Georgia, Atlanta: White	10	2	5	0.02	0.15	0.133333333333333	low
520800099	Denmark	99	2	5	0.02	0.15	0.133333333333333	low
582600599	UK, England, South Thames	99	2	5	0.02	0.15	0.133333333333333	low
312400299	Canada, British Columbia	99	2	5	0.01	0.15	0.0666666666666667	low
384000410	USA, Connecticut: White	10	2	5	0.01	0.15	0.0666666666666667	low
312400499	Canada, Northwest Territories	99	2	6	1.52	0.135	11.2592592592593	high
684009923	USA, Hawaii: Filipino	23	2	6	1.01	0.135	7.48148148148148	high
460800299	Philippines, Manila	99	2	6	0.82	0.135	6.07407407407407	high
260400199	Peru, Trujillo	99	2	6	0.79	0.135	5.85185185185185	high
415600499	China, Tianjin	99	2	6	0.73	0.135	5.40740740740741	high
476400199	Thailand, Chiang Mai	99	2	6	0.65	0.135	4.81481481481482	high
460800399	Philippines, Rizal	99	2	6	0.62	0.135	4.59259259259259	high
575600499	Switzerland, East	99	2	6	0.52	0.135	3.85185185185185	high
384000230	USA, California, San Francisco Bay Area: Black	30	2	6	0.51	0.135	3.77777777777778	high
384010030	Usa, California, Alameda County: Black	30	2	6	0.45	0.135	3.33333333333333	high
441400026	Kuwait: Non-Kuwaitis	26	2	6	0.45	0.135	3.33333333333333	high
655400028	New Zealand: Maori	28	2	6	0.41	0.135	3.03703703703704	high
470400199	Viet Nam, Hanoi	99	2	7	1.85	0.09	20.5555555555556	high
312400499	Canada, Northwest Territories	99	2	7	1.06	0.09	11.7777777777778	high
180000299	Uganda, Kyadondo County	99	2	7	0.83	0.09	9.22222222222222	high
171600270	Zimbabwe, Harare: African	70	2	7	0.8	0.09	8.88888888888889	high
171600299	Zimbabwe, Harare	99	2	7	0.8	0.09	8.88888888888889	high
441400025	Kuwait: Kuwaitis	25	2	7	0.7	0.09	7.77777777777778	high
260400299	Peru, Lima	99	2	7	0.56	0.09	6.22222222222222	high
415600499	China, Tianjin	99	2	7	0.5	0.09	5.55555555555556	high
415600299	China, Qidong City	99	2	7	0.43	0.09	4.77777777777778	high
460800299	Philippines, Manila	99	2	7	0.43	0.09	4.77777777777778	high
655400036	New Zealand: Non-Maori	36	2	7	0.43	0.09	4.77777777777778	high
207600799	Brazil, Belem	99	2	7	0.41	0.09	4.55555555555556	high
441400099	Kuwait	99	2	7	0.41	0.09	4.55555555555556	high
655400099	New Zealand	99	2	7	0.41	0.09	4.55555555555556	high
525000399	France, Doubs	99	2	7	0.4	0.09	4.44444444444444	high
561600599	Poland, Warsaw City	99	2	7	0.4	0.09	4.44444444444444	high
476400299	Thailand, Khon Kaen	99	2	7	0.34	0.09	3.77777777777778	high
523300099	Estonia	99	2	7	0.32	0.09	3.55555555555556	high
575600299	Switzerland, Geneva	99	2	7	0.32	0.09	3.55555555555556	high
312400799	Canada, Prince Edward Island	99	2	7	0.3	0.09	3.33333333333333	high
655400028	New Zealand: Maori	28	2	7	0.3	0.09	3.33333333333333	high
221800199	Ecuador, Quito	99	2	7	0.29	0.09	3.22222222222222	high
575600799	Switzerland, Graubunden	99	2	7	0.29	0.09	3.22222222222222	high
470400199	Viet Nam, Hanoi	99	2	8	2.22	0.1	22.2	high
451200099	Oman: Omani	99	2	8	0.89	0.1	8.9	high
312400499	Canada, Northwest Territories	99	2	8	0.85	0.1	8.5	high
180000299	Uganda, Kyadondo County	99	2	8	0.82	0.1	8.2	high
476400299	Thailand, Khon Kaen	99	2	8	0.57	0.1	5.7	high
460800299	Philippines, Manila	99	2	8	0.52	0.1	5.2	high
458600199	Pakistan, South Karachi	99	2	8	0.51	0.1	5.1	high
221800199	Ecuador, Quito	99	2	8	0.5	0.1	5	high
384000942	USA, New Mexico: American Indian	42	2	8	0.39	0.1	3.9	high
384001530	USA, New Jersey: Black	30	2	8	0.38	0.1	3.8	high
415600799	China, Jiashan County	99	2	8	0.38	0.1	3.8	high
460800399	Philippines, Rizal	99	2	8	0.37	0.1	3.7	high
312400799	Canada, Prince Edward Island	99	2	8	0.35	0.1	3.5	high
441000399	Republic of Korea, Seoul	99	2	8	0.34	0.1	3.4	high
415600499	China, Tianjin	99	2	8	0.33	0.1	3.3	high
171600270	Zimbabwe, Harare: African	70	2	8	0.32	0.1	3.2	high
415800099	China, Taiwan	99	2	8	0.02	0.1	0.2	low
439200299	Japan, Miyagi Prefecture	99	2	8	0.02	0.1	0.2	low
582600599	UK, England, South Thames	99	2	8	0.02	0.1	0.2	low
582600899	UK, England, Merseyside and Cheshire	99	2	8	0.02	0.1	0.2	low
582601099	UK, England, Yorkshire	99	2	8	0.02	0.1	0.2	low
582601199	UK, England, East	99	2	8	0.02	0.1	0.2	low
582603099	UK, Northern Ireland	99	2	8	0.02	0.1	0.2	low
603600799	Australia, Western Australia	99	2	8	0.02	0.1	0.2	low
537200099	Ireland	99	2	8	0.01	0.1	0.1	low
180000299	Uganda, Kyadondo County	99	2	9	0.94	0.09	10.4444444444444	high
171600270	Zimbabwe, Harare: African	70	2	9	0.51	0.09	5.66666666666667	high
476400199	Thailand, Chiang Mai	99	2	9	0.51	0.09	5.66666666666667	high
441000999	Republic of Korea, Jeju	99	2	9	0.5	0.09	5.55555555555556	high
384006230	USA, Michigan: Black	30	2	9	0.47	0.09	5.22222222222222	high
384000830	USA, Michigan, Detroit: Black	30	2	9	0.46	0.09	5.11111111111111	high
460800299	Philippines, Manila	99	2	9	0.45	0.09	5	high
384001530	USA, New Jersey: Black	30	2	9	0.44	0.09	4.88888888888889	high
221800199	Ecuador, Quito	99	2	9	0.41	0.09	4.55555555555556	high
476400499	Thailand, Songkhla	99	2	9	0.41	0.09	4.55555555555556	high
684009920	USA, Hawaii: Chinese	20	2	9	0.38	0.09	4.22222222222222	high
684009923	USA, Hawaii: Filipino	23	2	9	0.35	0.09	3.88888888888889	high
542800099	Latvia	99	2	9	0.31	0.09	3.44444444444444	high
603600199	Australian Capital Territory	99	2	9	0.31	0.09	3.44444444444444	high
441000299	Republic of Korea, Busan	99	2	9	0.28	0.09	3.11111111111111	high
458600199	Pakistan, South Karachi	99	2	9	0.28	0.09	3.11111111111111	high
527602399	Germany, Mecklenburg-Western Pomerania	99	2	9	0.28	0.09	3.11111111111111	high
312400299	Canada, British Columbia	99	2	9	0.01	0.09	0.111111111111111	low
527601199	Germany, North Rhine-Westphalia	99	2	9	0.01	0.09	0.111111111111111	low
538002799	Italy, Salerno	99	2	9	0.01	0.09	0.111111111111111	low
180000299	Uganda, Kyadondo County	99	2	10	1.02	0.09	11.3333333333333	high
171600270	Zimbabwe, Harare: African	70	2	10	0.94	0.09	10.4444444444444	high
312400499	Canada, Northwest Territories	99	2	10	0.89	0.09	9.88888888888889	high
603600862	Australia, Northern Territory: Indigenous	62	2	10	0.77	0.09	8.55555555555556	high
384006442	USA, Montana: American Indian	42	2	10	0.76	0.09	8.44444444444445	high
435601999	India, Mizoram	99	2	10	0.7	0.09	7.77777777777778	high
441000999	Republic of Korea, Jeju	99	2	10	0.6	0.09	6.66666666666667	high
203200699	Argentina, Córdoba	99	2	10	0.58	0.09	6.44444444444445	high
384006930	USA, Rhode Island: Black	30	2	10	0.56	0.09	6.22222222222222	high
404800046	Bahrain: Bahrainis	46	2	10	0.47	0.09	5.22222222222222	high
476400899	Thailand, Chonburi	99	2	10	0.46	0.09	5.11111111111111	high
655400028	New Zealand: Maori	28	2	10	0.41	0.09	4.55555555555556	high
384004529	USA, North Carolina: Asian and Pacific Islander	29	2	10	0.4	0.09	4.44444444444444	high
415600799	China, Jiashan County	99	2	10	0.39	0.09	4.33333333333333	high
476400499	Thailand, Songkhla	99	2	10	0.39	0.09	4.33333333333333	high
415602399	China, Nanhu District, Jiaxing City	99	2	10	0.38	0.09	4.22222222222222	high
463400068	Qatar: Qatari	68	2	10	0.36	0.09	4	high
538001999	Italy, Trento	99	2	10	0.35	0.09	3.88888888888889	high
217000499	Colombia, Pasto	99	2	10	0.34	0.09	3.77777777777778	high
476400299	Thailand, Khon Kaen	99	2	10	0.34	0.09	3.77777777777778	high
538002399	Italy, Reggio Emilia	99	2	10	0.33	0.09	3.66666666666667	high
171000199	South Africa, Eastern Cape	99	2	10	0.32	0.09	3.55555555555556	high
384006229	USA, Michigan: Asian and Pacific Islander	29	2	10	0.3	0.09	3.33333333333333	high
684009945	USA, Hawaii: Hawaiian	45	2	10	0.3	0.09	3.33333333333333	high
384001530	USA, New Jersey: Black	30	2	10	0.28	0.09	3.11111111111111	high
312400299	Canada, British Columbia	99	2	10	0.01	0.09	0.111111111111111	low
435600299	India, Bangalore	99	2	10	0.01	0.09	0.111111111111111	low
441400099	Kuwait	99	2	10	0.01	0.09	0.111111111111111	low
203201199	Argentina, Chaco	99	2	11	1.61	0.09	17.8888888888889	high
171600270	Zimbabwe, Harare: African	70	2	11	0.89	0.09	9.88888888888889	high
225009499	French Guiana	99	2	11	0.72	0.09	8	high
