country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
554	12	2	0.39	0.05	7.8	29	28	2
376	6	2	0.29	0.05	5.8	96	91	5
376	12	2	0.1	0.02	5	90	94	2
414	11	2	0.05	0.01	5	25	26	2
376	5	2	0.34	0.09	3.77777777777778	96	94	5
702	5	2	0.71	0.19	3.73684210526316	27	40	3
376	7	2	0.26	0.07	3.71428571428571	96	94	4
554	5	2	0.4	0.11	3.63636363636364	29	28	3
554	10	2	0.41	0.12	3.41666666666667	28	29	2
414	7	2	0.7	0.24	2.91666666666667	25	26	2
702	3	2	1.16	0.4	2.9	27	40	3
554	6	2	0.41	0.16	2.5625	28	36	2
376	4	2	0.41	0.18	2.27777777777778	90	94	5
414	8	2	0.25	0.12	2.08333333333333	26	25	2
