id_code	id_label	ethnic_code	CI5_volume	sex	peak_age_band	peak_rate	tot_cases	early_peak	bimodal
415600499	China, Tianjin	99	7	2	6	1.71946683632073	54	TRUE	TRUE
312400099	Canada	99	5	2	7	0.336217552533993	76	TRUE	TRUE
312400099	Canada	99	3	2	4	0.620794853906278	64	TRUE	FALSE
312400099	Canada	99	4	2	4	0.624797519322442	85	TRUE	FALSE
384007199	USA, Texas	99	10	2	4	0.315082693452897	57	TRUE	FALSE
527600199	Germany, Eastern States	99	4	2	4	0.828632437772891	63	TRUE	FALSE
260400299	Peru, Lima	99	11	2	5	1.30461342002106	68	TRUE	FALSE
384000030	USA: Black	30	11	2	5	0.34527982340088	152	TRUE	FALSE
384001699	USA, New York State	99	9	2	5	0.320913242067747	54	TRUE	FALSE
384002099	USA, SEER (9 registries)	99	8	2	5	0.332027044077064	60	TRUE	FALSE
384002099	USA, SEER (9 registries)	99	9	2	5	0.386517892140591	72	TRUE	FALSE
384002450	USA, SEER (18 registries): Hispanic White	50	9	2	5	0.457209740396309	53	TRUE	FALSE
384002499	USA, SEER (18 registries)	99	9	2	5	0.342533399860931	195	TRUE	FALSE
384002599	USA, California	99	9	2	5	0.266009186538587	83	TRUE	FALSE
384005599	USA, Florida	99	9	2	5	0.390417421292932	53	TRUE	FALSE
384008030	USA, NPCR: Black	30	9	2	5	0.721048895407171	139	TRUE	FALSE
384008030	USA, NPCR: Black	30	10	2	5	0.409926845020654	127	TRUE	FALSE
384008030	USA, NPCR: Black	30	11	2	5	0.35253141054868	150	TRUE	FALSE
384008099	USA, NPCR	99	9	2	5	0.283699410045726	506	TRUE	FALSE
470400199	Viet Nam, Hanoi	99	7	2	5	7.47163580258444	62	TRUE	FALSE
527600199	Germany, Eastern States	99	5	2	5	0.525222253975855	57	TRUE	FALSE
527600199	Germany, Eastern States	99	6	2	5	0.614596670934699	59	TRUE	FALSE
580400099	Ukraine	99	12	2	5	0.55215624779461	148	TRUE	FALSE
384000010	USA: White	10	11	2	6	0.245476273065001	429	TRUE	FALSE
384000010	USA: White	10	12	2	6	0.257862469976051	417	TRUE	FALSE
384000099	USA	99	11	2	6	0.263240340567381	658	TRUE	FALSE
384001699	USA, New York State	99	8	2	6	0.347620134621691	57	TRUE	FALSE
384001699	USA, New York State	99	10	2	6	0.427163575883931	64	TRUE	FALSE
384002099	USA, SEER (9 registries)	99	7	2	6	0.324291789969612	55	TRUE	FALSE
384002099	USA, SEER (9 registries)	99	10	2	6	0.309804635131722	67	TRUE	FALSE
384002099	USA, SEER (9 registries)	99	12	2	6	0.300213301550752	68	TRUE	FALSE
384002410	USA, SEER (18 registries): White	10	10	2	6	0.336035603644277	136	TRUE	FALSE
384002410	USA, SEER (18 registries): White	10	11	2	6	0.277866772330138	129	TRUE	FALSE
384002450	USA, SEER (18 registries): Hispanic White	50	10	2	6	0.563164886544176	64	TRUE	FALSE
384002450	USA, SEER (18 registries): Hispanic White	50	11	2	6	0.463453907626105	56	TRUE	FALSE
384002450	USA, SEER (18 registries): Hispanic White	50	12	2	6	0.44073929609527	60	TRUE	FALSE
