id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
439200599	Japan, Saga Prefecture	99	1	4	6	0.13	10	0.43	0	7	0.43	10	230.769230769231	U	230.769230769231
561600799	Poland, Kielce	99	1	6	7	0.24	12	0.72	0.1	8	0.81	10	200	U	200
439200699	Japan, Yamagata Prefecture	99	1	5	6	0.14	11	0.3	0	7	0.3	11	114.285714285714	U	114.285714285714
437600099	Israel	99	1	11	1	0.09	12	0.19	0.05	5	0.19	12	111.111111111111	U	111.111111111111
684009910	USA, Hawaii: White	10	1	12	1	0.29	12	0.59	0.17	3	0.89	4	103.448275862069	U	103.448275862069
561600199	Poland, Cracow	99	1	9	2	0.47	10	0.93	0.36	5	1.4	4	97.8723404255319	U	97.8723404255319
263000099	USA, Puerto Rico	99	1	11	1	8.93	12	1.56	1.54	11	8.93	1	-82.5307950727883	U	82.5307950727883
415603099	China, Hong Kong	99	1	8	4	1.95	11	0.37	0	5	1.95	4	-81.025641025641	U	81.025641025641
415600399	China, Shanghai City	99	1	9	4	1.58	12	0.31	0	5	1.58	4	-80.379746835443	U	80.379746835443
384000730	USA, Louisiana, New Orleans: Black	30	1	9	4	3.72	12	0.76	0.34	9	3.72	4	-79.5698924731183	U	79.5698924731183
384000230	USA, California, San Francisco Bay Area: Black	30	1	10	3	1.94	12	0.44	0.24	8	1.94	3	-77.319587628866	U	77.319587628866
435600699	India, Poona	99	1	7	4	3.89	12	0.9	0.69	11	3.89	4	-76.8637532133676	U	76.8637532133676
437600096	Israel: Jews born in Africa or Asia	96	1	7	2	0.11	8	0.03	0	5	0.29	3	-72.7272727272727	U	72.7272727272727
439200299	Japan, Miyagi Prefecture	99	1	12	1	0.89	12	0.25	0.2	11	0.89	1	-71.9101123595506	U	71.9101123595506
180000299	Uganda, Kyadondo County	99	1	7	1	8.52	12	2.65	2.19	10	8.52	1	-68.8967136150235	U	68.8967136150235
470200040	Singapore: Indian	40	1	9	3	1.58	12	0.5	0.27	6	1.58	3	-68.3544303797468	U	68.3544303797468
384000530	USA, Georgia, Atlanta: Black	30	1	9	4	2.71	12	0.87	0.46	11	2.71	4	-67.8966789667897	U	67.8966789667897
603600899	Australia, Northern Territory	99	1	5	8	1.2	12	0.4	0.14	10	1.2	8	-66.6666666666667	U	66.6666666666667
684009921	USA, Hawaii: Japanese	21	1	12	1	0.71	12	0.24	0	7	0.84	2	-66.1971830985916	U	66.1971830985916
437600094	Israel: Arabs	94	1	11	2	0.78	12	0.27	0	7	0.78	2	-65.3846153846154	U	65.3846153846154
435600299	India, Bangalore	99	1	7	5	2.57	12	0.94	0.9	11	2.57	5	-63.4241245136187	U	63.4241245136187
439200399	Japan, Nagasaki Prefecture	99	1	8	4	0.66	11	0.25	0	5	0.66	4	-62.1212121212121	U	62.1212121212121
603600599	Australia, Tasmania	99	1	8	5	0.34	12	0.55	0.29	10	0.76	11	61.7647058823529	U	61.7647058823529
312400599	Canada, New Brunswick	99	1	10	1	2.02	12	0.8	0.64	8	2.02	1	-60.3960396039604	U	60.3960396039604
525000699	France, Somme	99	1	7	6	1.09	12	0.45	0.36	7	1.09	6	-58.7155963302752	U	58.7155963302752
207600899	Brazil, Sao Paulo	99	1	5	3	4	10	1.67	1.54	9	4	3	-58.25	U	58.25
384002230	USA, Louisiana: Black	30	1	4	9	0.8	12	1.26	0.64	11	1.26	12	57.5	U	57.5
439200499	Japan, Osaka Prefecture	99	1	10	3	0.74	12	0.32	0	5	0.74	3	-56.7567567567568	U	56.7567567567568
684009999	USA, Hawaii	99	1	7	1	0.92	12	0.4	0.26	9	0.92	1	-56.5217391304348	U	56.5217391304348
534800399	Hungary, County Vas	99	1	5	2	0.96	6	0.42	0.38	5	1.38	4	-56.25	U	56.25
437600090	Israel: Jews	90	1	11	2	0.09	12	0.14	0.04	5	0.16	11	55.5555555555556	U	55.5555555555556
655400099	New Zealand	99	1	10	1	1.02	12	0.46	0.37	11	1.02	1	-54.9019607843137	U	54.9019607843137
538000499	Italy, Varese	99	1	9	4	1.35	12	0.61	0.32	11	1.35	4	-54.8148148148148	U	54.8148148148148
384000223	USA, California, San Francisco Bay Area: Filipino	23	1	4	5	0.57	11	0.26	0.15	7	0.57	5	-54.3859649122807	U	54.3859649122807
384001399	USA, Washington, Seattle	99	1	9	4	0.83	12	0.38	0.35	10	0.83	4	-54.2168674698795	U	54.2168674698795
312400899	Canada, Newfoundland and Labrador	99	1	12	1	2.18	12	1	0.6	9	2.18	1	-54.1284403669725	U	54.1284403669725
312400299	Canada, British Columbia	99	1	10	3	1.09	12	0.51	0.32	10	1.52	4	-53.2110091743119	U	53.2110091743119
171600270	Zimbabwe, Harare: African	70	1	6	7	2.75	12	4.2	0.9	9	4.2	12	52.7272727272727	U	52.7272727272727
441001099	Republic of Korea, Gwangju	99	1	4	9	0.21	12	0.1	0.05	11	0.21	9	-52.3809523809524	U	52.3809523809524
384000210	USA, California, San Francisco Bay Area: White	10	1	7	3	0.88	12	0.42	0.33	10	0.88	3	-52.2727272727273	U	52.2727272727273
384010030	Usa, California, Alameda County: Black	30	1	5	2	1.48	6	0.72	0.61	5	1.71	4	-51.3513513513514	U	51.3513513513514
655400028	New Zealand: Maori	28	1	9	2	0.79	12	0.39	0	3	0.79	2	-50.6329113924051	U	50.6329113924051
384000950	USA, New Mexico: Hispanic White	50	1	7	5	1.6	12	0.8	0.71	9	1.6	5	-50	U	50
575600399	Switzerland, Neuchâtel	99	1	8	4	0.4	11	0.6	0.38	6	1.67	7	50	U	50
312401099	Canada, Ontario	99	1	9	3	1.37	12	0.71	0.47	11	1.37	3	-48.1751824817518	U	48.1751824817518
384000499	USA, Connecticut	99	1	10	1	1	12	0.52	0	2	1	1	-48	U	48
218800099	Costa Rica	99	1	8	5	1.87	12	0.98	0.82	8	1.87	5	-47.5935828877005	U	47.5935828877005
582602099	UK, Scotland	99	1	10	2	0.99	12	1.45	0.77	5	1.45	12	46.4646464646465	U	46.4646464646465
384000699	USA, Iowa	99	1	10	3	1.04	12	0.57	0.48	8	1.04	3	-45.1923076923077	U	45.1923076923077
524600099	Finland	99	1	11	1	1.26	12	0.7	0	5	1.26	1	-44.4444444444445	U	44.4444444444445
572400799	Spain, Zaragoza	99	1	7	3	1.23	9	0.69	0.58	5	1.49	4	-43.9024390243902	U	43.9024390243902
538001499	Italy, Umbria	99	1	5	8	0.76	12	1.08	0.74	11	1.11	10	42.1052631578948	U	42.1052631578948
572400699	Spain, Basque Country	99	1	6	6	1.41	12	0.82	0.69	9	1.41	6	-41.8439716312057	U	41.8439716312057
439201099	Japan, Aichi Prefecture	99	1	4	9	0.13	12	0.18	0.12	10	0.24	11	38.4615384615385	U	38.4615384615385
575600599	Switzerland, Vaud	99	1	9	4	1.6	12	0.99	0.72	7	1.6	4	-38.125	U	38.125
384000710	USA, Louisiana, New Orleans: White	10	1	9	4	0.64	12	0.4	0.28	11	0.83	8	-37.5	U	37.5
312400999	Canada, Yukon	99	1	6	6	1.02	12	0.64	0	10	1.02	6	-37.2549019607843	U	37.2549019607843
415600799	China, Jiashan County	99	1	5	8	0.58	12	0.79	0.31	10	0.87	9	36.2068965517242	U	36.2068965517242
470200027	Singapore: Malay	27	1	9	3	0.14	12	0.19	0	6	1	4	35.7142857142857	U	35.7142857142857
415600299	China, Qidong City	99	1	6	6	0.49	12	0.32	0.16	8	0.49	6	-34.6938775510204	U	34.6938775510204
511200099	Belarus	99	1	7	6	0.75	12	1.01	0	7	1.01	12	34.6666666666667	U	34.6666666666667
575600699	Switzerland, Zurich	99	1	6	5	1.04	11	0.68	0.63	10	1.04	5	-34.6153846153846	U	34.6153846153846
582601599	UK, England, London	99	1	6	1	1.14	11	0.76	0.68	9	1.36	2	-33.3333333333333	U	33.3333333333333
312400399	Canada, Manitoba	99	1	12	1	0.89	12	1.18	0.44	3	1.18	12	32.5842696629213	U	32.5842696629213
384001599	USA, New Jersey	99	1	7	5	0.74	12	0.5	0.46	11	0.79	6	-32.4324324324324	U	32.4324324324324
384000799	USA, Louisiana, New Orleans	99	1	5	7	0.81	12	0.55	0.49	11	0.93	8	-32.0987654320988	U	32.0987654320988
221800199	Ecuador, Quito	99	1	7	6	1.59	12	1.08	0.49	7	1.59	6	-32.0754716981132	U	32.0754716981132
384000510	USA, Georgia, Atlanta: White	10	1	9	4	0.7	12	0.48	0.29	10	0.79	6	-31.4285714285714	U	31.4285714285714
582606999	UK, Scotland, West	99	1	4	4	1.31	7	0.92	0.81	5	1.31	4	-29.7709923664122	U	29.7709923664122
384000410	USA, Connecticut: White	10	1	8	5	0.71	12	0.5	0.47	10	0.71	5	-29.5774647887324	U	29.5774647887324
384005799	USA, Idaho	99	1	4	9	0.61	12	0.43	0.33	11	0.61	9	-29.5081967213115	U	29.5081967213115
476400499	Thailand, Songkhla	99	1	5	8	2.17	12	1.53	1.36	11	2.21	9	-29.4930875576037	U	29.4930875576037
603600299	Australia, NSW/ACT	99	1	9	4	0.68	12	0.48	0	5	0.68	4	-29.4117647058824	U	29.4117647058824
538002899	Italy, Sondrio	99	1	4	9	0.92	12	0.65	0.46	11	0.92	9	-29.3478260869565	U	29.3478260869565
603600399	Australia, Queensland	99	1	6	5	0.73	12	0.52	0.45	10	0.73	5	-28.7671232876712	U	28.7671232876712
582600299	UK, England, West Midlands	99	1	11	1	1.34	11	0.96	0.82	9	1.47	2	-28.3582089552239	U	28.3582089552239
525000599	France, Isère	99	1	8	5	0.67	12	0.86	0.44	10	0.86	12	28.3582089552239	U	28.3582089552239
384000960	USA, New Mexico: Non-Hispanic White	60	1	6	7	0.6	12	0.43	0.2	10	0.6	7	-28.3333333333333	U	28.3333333333333
312401199	Canada, Quebec	99	1	9	2	0.89	12	0.64	0.45	8	1.02	4	-28.0898876404494	U	28.0898876404494
535200099	Iceland	99	1	10	1	1.61	12	1.18	0	3	1.61	1	-26.7080745341615	U	26.7080745341615
527600199	Germany, Eastern States	99	1	6	2	1.24	7	0.91	0	4	1.24	2	-26.6129032258065	U	26.6129032258065
582600699	UK, England, South West	99	1	7	1	1.34	11	1	0	3	1.34	1	-25.3731343283582	U	25.3731343283582
476400599	Thailand, Lampang	99	1	5	8	1.59	12	1.2	1.06	10	1.61	9	-24.5283018867925	U	24.5283018867925
441000599	Republic of Korea, Daejeon	99	1	4	9	0.25	12	0.19	0.14	10	0.25	9	-24	U	24
570500099	Slovenia	99	1	12	1	1.01	12	0.77	0	5	1.01	1	-23.7623762376238	U	23.7623762376238
384001299	USA, Utah	99	1	10	3	0.53	12	0.41	0.31	10	0.84	4	-22.6415094339623	U	22.6415094339623
603600499	Australia, South Australia	99	1	9	4	0.54	12	0.66	0	5	0.66	12	22.2222222222222	U	22.2222222222222
525000299	France, Calvados	99	1	8	5	0.65	12	0.79	0.39	8	0.87	7	21.5384615384615	U	21.5384615384615
384000430	USA, Connecticut: Black	30	1	8	5	0.89	12	0.7	0.2	10	1.26	7	-21.3483146067416	U	21.3483146067416
582600899	UK, England, Merseyside and Cheshire	99	1	9	1	1.25	9	0.99	0.64	7	1.37	2	-20.8	U	20.8
384006499	USA, Montana	99	1	4	9	0.68	12	0.54	0.45	10	0.68	9	-20.5882352941177	U	20.5882352941177
520800099	Denmark	99	1	12	1	1.45	12	1.16	0.88	7	1.48	3	-20	U	20
538002299	Italy, Genova	99	1	6	6	0.9	12	0.72	0.49	8	0.9	6	-20	U	20
538000599	Italy, Parma	99	1	7	5	0.77	11	0.62	0.35	6	0.77	5	-19.4805194805195	U	19.4805194805195
582600499	UK, England, Oxford Region	99	1	9	2	1.07	10	0.87	0.7	8	1.07	2	-18.6915887850467	U	18.6915887850467
384001530	USA, New Jersey: Black	30	1	5	8	0.65	12	0.54	0.34	10	0.65	8	-16.9230769230769	U	16.9230769230769
312400199	Canada, Alberta	99	1	12	1	0.95	12	0.79	0.48	7	1.26	3	-16.8421052631579	U	16.8421052631579
542800099	Latvia	99	1	7	6	1.03	12	1.19	0.4	7	1.19	12	15.5339805825243	U	15.5339805825243
527600299	Germany, Hamburg	99	1	7	3	0.87	12	1	0.77	5	1.28	4	14.9425287356322	U	14.9425287356322
384000360	USA, California, Los Angeles County: Non-Hispanic White	60	1	7	6	0.43	12	0.37	0.31	9	0.55	8	-13.953488372093	U	13.953488372093
557800099	Norway	99	1	12	1	1.01	12	1.15	0	5	1.15	12	13.8613861386139	U	13.8613861386139
538001299	Italy, Ferrara	99	1	5	7	0.66	11	0.57	0.46	9	0.96	10	-13.6363636363636	U	13.6363636363636
538000799	Italy, Romagna	99	1	6	6	0.97	11	0.84	0.56	8	0.97	6	-13.4020618556701	U	13.4020618556701
575200099	Sweden	99	1	11	1	1.28	12	1.11	0	5	1.28	1	-13.28125	U	13.28125
312401299	Canada, Saskatchewan	99	1	12	1	1.01	12	0.88	0.53	5	1.29	4	-12.8712871287129	U	12.8712871287129
439200199	Japan, Hiroshima Prefecture	99	1	8	5	0.34	12	0.3	0.21	8	0.42	6	-11.764705882353	U	11.764705882353
538000899	Italy, Turin	99	1	7	6	0.77	12	0.68	0.5	10	0.77	6	-11.6883116883117	U	11.6883116883117
534800299	Hungary, County Szabolcs-Szatmar	99	1	5	2	0.45	6	0.5	0	5	1.42	3	11.1111111111111	U	11.1111111111111
603600799	Australia, Western Australia	99	1	7	6	0.47	12	0.52	0.37	7	0.56	10	10.6382978723404	U	10.6382978723404
572400499	Spain, Navarra	99	1	9	4	1.08	12	0.97	0	5	1.11	8	-10.1851851851852	U	10.1851851851852
582600399	UK, England, North West	99	1	8	4	1.21	11	1.33	0.83	7	1.33	11	9.91735537190083	U	9.91735537190083
582600799	UK, England, East Midlands	99	1	9	2	1.12	11	1.01	0.77	6	1.27	3	-9.82142857142858	U	9.82142857142858
525000199	France, Bas-Rhin	99	1	9	4	1.18	12	1.07	0.56	11	1.18	4	-9.32203389830508	U	9.32203389830508
441000499	Republic of Korea, Daegu	99	1	5	8	0.25	12	0.23	0.19	10	0.38	9	-8	U	8
538002699	Italy, Milan	99	1	4	9	0.76	12	0.7	0.36	10	0.79	11	-7.89473684210527	U	7.89473684210527
504000899	Austria, Vorarlberg	99	1	5	8	0.76	12	0.82	0.37	10	0.82	12	7.89473684210526	U	7.89473684210526
384000330	USA, California, Los Angeles County: Black	30	1	9	4	0.41	12	0.38	0.29	9	1.02	7	-7.3170731707317	U	7.3170731707317
384000250	USA, California, San Francisco Bay Area: Hispanic White	50	1	6	7	0.83	12	0.78	0.3	8	0.98	11	-6.02409638554216	U	6.02409638554216
538006699	Italy, Ragusa	99	1	6	5	0.89	10	0.84	0.36	6	0.99	8	-5.61797752808989	U	5.61797752808989
575600199	Switzerland, Basel	99	1	6	5	0.98	12	0.93	0.52	10	0.98	5	-5.10204081632652	U	5.10204081632652
384001630	USA, New York State: Black	30	1	5	8	0.65	12	0.68	0.47	9	0.79	10	4.61538461538462	U	4.61538461538462
575601099	Switzerland, Ticino	99	1	5	8	0.77	12	0.74	0.48	9	0.83	10	-3.8961038961039	U	3.8961038961039
525000399	France, Doubs	99	1	9	4	0.53	12	0.55	0.36	8	0.95	7	3.77358490566038	U	3.77358490566038
415601599	China, Nangang District, Harbin City	99	1	4	9	0.28	12	0.29	0.14	11	0.56	10	3.57142857142855	U	3.57142857142855
384000999	USA, New Mexico	99	1	7	6	0.59	12	0.61	0.27	8	0.76	7	3.38983050847458	U	3.38983050847458
384000299	USA, California, San Francisco Bay Area	99	1	6	7	0.38	12	0.37	0.32	10	0.5	11	-2.63157894736842	U	2.63157894736842
