id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
238800199	Jamaica, Kingston and St Andrew	99	1	1	10.84	1.195	9.07112970711297	high
263000099	USA, Puerto Rico	99	1	1	8.93	1.195	7.47280334728034	high
180000299	Uganda, Kyadondo County	99	1	1	8.52	1.195	7.12970711297071	high
217000199	Colombia, Cali	99	1	1	6.95	1.195	5.81589958158996	high
437600099	Israel	99	1	1	0.09	1.195	0.0753138075313808	low
263000099	USA, Puerto Rico	99	1	2	8.25	0.99	8.33333333333333	high
238800199	Jamaica, Kingston and St Andrew	99	1	2	8.03	0.99	8.11111111111111	high
171600170	Zimbabwe, Bulawayo: African	70	1	2	5.79	0.99	5.84848484848485	high
217000199	Colombia, Cali	99	1	2	5.59	0.99	5.64646464646465	high
684009945	USA, Hawaii: Hawaiian	45	1	2	3.28	0.99	3.31313131313131	high
437600099	Israel	99	1	2	0.14	0.99	0.141414141414141	low
437600096	Israel: Jews born in Africa or Asia	96	1	2	0.11	0.99	0.111111111111111	low
437600090	Israel: Jews	90	1	2	0.09	0.99	0.0909090909090909	low
437600097	Israel: Jews born in Europe or America	97	1	2	0.09	0.99	0.0909090909090909	low
207601599	Brazil, Recife	99	1	3	9.54	0.96	9.9375	high
238800199	Jamaica, Kingston and St Andrew	99	1	3	8.45	0.96	8.80208333333333	high
263000099	USA, Puerto Rico	99	1	3	6.27	0.96	6.53125	high
171600170	Zimbabwe, Bulawayo: African	70	1	3	6.25	0.96	6.51041666666667	high
207600899	Brazil, Sao Paulo	99	1	3	4	0.96	4.16666666666667	high
684009910	USA, Hawaii: White	10	1	3	0.17	0.96	0.177083333333333	low
437600099	Israel	99	1	3	0.15	0.96	0.15625	low
437600090	Israel: Jews	90	1	3	0.14	0.96	0.145833333333333	low
470200027	Singapore: Malay	27	1	3	0.14	0.96	0.145833333333333	low
437600097	Israel: Jews born in Europe or America	97	1	3	0.09	0.96	0.09375	low
437600094	Israel: Arabs	94	1	3	0.07	0.96	0.0729166666666667	low
238800199	Jamaica, Kingston and St Andrew	99	1	4	8.45	0.99	8.53535353535354	high
263000099	USA, Puerto Rico	99	1	4	5.62	0.99	5.67676767676768	high
