country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
702	3	1	1.58	0.14	11.2857142857143	40	27	3
702	8	1	0.76	0.18	4.22222222222222	40	27	3
554	6	1	0.49	0.15	3.26666666666667	36	28	2
376	11	1	0.16	0.05	3.2	90	94	2
376	9	1	0.24	0.09	2.66666666666667	94	90	2
702	10	1	0.53	0.2	2.65	20	27	3
702	12	1	0.5	0.19	2.63157894736842	40	27	3
554	11	1	0.32	0.13	2.46153846153846	28	29	2
702	5	1	0.95	0.42	2.26190476190476	40	27	3
376	10	1	0.2	0.09	2.22222222222222	94	90	2
702	4	1	1.47	0.69	2.1304347826087	20	40	3
