id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
470200020	Singapore: Chinese	20	1	10	1	0.81	12	33.81	0.81	1	33.81	12	4074.07407407407	erratic	4074.07407407407
101200199	Algeria, Sétif	99	1	5	6	0.28	11	7.74	0.2	7	7.74	11	2664.28571428571	U	2664.28571428571
415600399	China, Shanghai City	99	1	9	4	1.32	12	16.77	1.32	4	16.77	12	1170.45454545455	rising	1170.45454545455
415600299	China, Qidong City	99	1	6	6	0.83	12	8.07	0.49	7	8.07	12	872.289156626506	U	872.289156626506
180000299	Uganda, Kyadondo County	99	1	7	1	5.74	12	53	5.74	1	53	12	823.344947735192	rising	823.344947735192
439200499	Japan, Osaka Prefecture	99	1	10	3	4.55	12	40.5	4.55	3	40.5	12	790.10989010989	rising	790.10989010989
561600199	Poland, Cracow	99	1	9	2	4.67	10	35.85	4.67	2	35.85	10	667.665952890792	erratic	667.665952890792
439200299	Japan, Miyagi Prefecture	99	1	12	1	5.41	12	39.95	4.38	3	44.07	10	638.447319778189	U	638.447319778189
511200099	Belarus	99	1	7	6	9.02	12	63.89	9.02	6	63.89	12	608.314855875832	rising	608.314855875832
439200199	Japan, Hiroshima Prefecture	99	1	8	5	6.68	12	45.56	6.68	5	47.02	10	582.035928143713	inverted-U	582.035928143713
415600799	China, Jiashan County	99	1	5	8	1.9	12	12.66	1.37	9	12.66	12	566.315789473684	U	566.315789473684
439200699	Japan, Yamagata Prefecture	99	1	5	6	6.59	11	39.9	6.59	6	39.9	11	505.46282245827	rising	505.46282245827
561600599	Poland, Warsaw City	99	1	8	2	5.27	9	29.96	5.27	2	29.96	9	468.500948766604	erratic	468.500948766604
437600094	Israel: Arabs	94	1	11	2	4.32	12	24.37	4.32	2	34.13	10	464.12037037037	inverted-U	464.12037037037
523300099	Estonia	99	1	7	6	18.85	12	104.82	18.85	6	104.82	12	456.074270557029	rising	456.074270557029
544000099	Lithuania	99	1	5	8	26.04	12	128.6	26.04	8	128.6	12	393.855606758833	rising	393.855606758833
561600799	Poland, Kielce	99	1	6	7	10.3	12	50.4	10.3	7	50.4	12	389.320388349515	rising	389.320388349515
572400299	Spain, Granada	99	1	7	6	10.89	12	52.87	10.89	6	61.37	11	385.491276400367	inverted-U	385.491276400367
542800099	Latvia	99	1	7	6	15.31	12	72.56	15.31	6	72.56	12	373.938602220771	rising	373.938602220771
570500099	Slovenia	99	1	12	1	16.85	12	79.48	16.85	1	79.48	12	371.691394658754	erratic	371.691394658754
441000599	Republic of Korea, Daejeon	99	1	4	9	5.82	12	26.77	5.82	9	27.59	11	359.965635738832	inverted-U	359.965635738832
415601499	China, Zhongshan City	99	1	4	9	2.25	12	10.25	2.25	9	10.25	12	355.555555555556	rising	355.555555555556
547000099	Malta	99	1	7	3	10.49	12	47.25	10.49	3	47.25	12	350.428979980934	rising	350.428979980934
572400399	Spain, Murcia	99	1	7	6	15.81	12	68.29	15.81	6	73.35	11	331.941808981657	inverted-U	331.941808981657
415600999	China, Wuhan City	99	1	4	8	2.04	12	8.62	2.04	8	8.62	12	322.549019607843	rising	322.549019607843
538000399	Italy, Latina	99	1	4	6	10.47	11	43.27	10.47	6	44.47	10	313.276026743075	inverted-U	313.276026743075
415600199	China, Beijing City	99	1	4	8	2.88	12	11.85	2.88	8	11.85	12	311.458333333333	rising	311.458333333333
441000499	Republic of Korea, Daegu	99	1	5	8	6.58	12	27.05	6.58	8	27.05	12	311.094224924012	rising	311.094224924012
570300099	Slovakia	99	1	8	4	12.44	11	50.82	12.44	4	50.82	11	308.520900321543	rising	308.520900321543
171600270	Zimbabwe, Harare: African	70	1	6	7	28.33	12	114.73	28.33	7	114.73	12	304.97705612425	rising	304.97705612425
572400699	Spain, Basque Country	99	1	6	6	18.58	12	73.51	18.58	6	76.7	11	295.640473627557	inverted-U	295.640473627557
470200040	Singapore: Indian	40	1	9	3	5.39	12	20.64	5.39	3	20.64	12	282.931354359926	erratic	282.931354359926
538000799	Italy, Romagna	99	1	6	6	19.52	11	73.39	19.52	6	73.39	11	275.973360655738	rising	275.973360655738
312400899	Canada, Newfoundland and Labrador	99	1	12	1	20.2	12	75.8	20.2	1	95.54	11	275.247524752475	inverted-U	275.247524752475
263000099	USA, Puerto Rico	99	1	11	1	25.92	12	95.89	25.92	1	105.58	10	269.945987654321	inverted-U	269.945987654321
441000299	Republic of Korea, Busan	99	1	5	8	7.07	12	26.09	7.07	8	26.09	12	269.024045261669	rising	269.024045261669
441000399	Republic of Korea, Seoul	99	1	5	8	8.48	12	30.25	8.48	8	31.36	11	256.721698113208	inverted-U	256.721698113208
572400899	Spain, Mallorca	99	1	4	7	23.41	11	83.43	23.41	7	83.43	11	256.386159760786	rising	256.386159760786
238800199	Jamaica, Kingston and St Andrew	99	1	6	1	20.44	11	72.75	20.44	1	77.45	10	255.919765166341	inverted-U	255.919765166341
207600899	Brazil, Sao Paulo	99	1	5	3	25.32	10	90.1	25.32	3	90.1	10	255.845181674566	rising	255.845181674566
