country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	7	1	142.3	10.23	13.9100684261975	30	22	10
840	6	1	103.86	8.93	11.6304591265398	30	22	9
840	12	1	149.22	15.36	9.71484375	30	20	12
840	8	1	202.03	21.98	9.19153776160146	30	22	10
840	10	1	206.71	23.26	8.88693035253654	30	29	12
840	4	1	151.2	19.17	7.88732394366197	30	21	9
840	5	1	91.18	11.74	7.76660988074957	30	22	10
840	11	1	178.23	24.51	7.27172582619339	30	22	12
840	9	1	216.05	30.86	7.00097213220998	30	22	11
840	2	1	100.73	15.26	6.60091743119266	30	20	8
376	7	1	65.84	10.39	6.33686236766121	91	94	4
36	12	1	73.05	12.84	5.6892523364486	63	62	2
840	3	1	115.48	21.37	5.40383715489003	30	23	9
376	2	1	21.68	4.32	5.01851851851852	97	94	5
376	5	1	24.32	6.47	3.75888717156105	91	94	5
376	3	1	22.85	6.66	3.43093093093093	90	94	5
840	1	1	63.16	19.32	3.26915113871636	10	21	3
376	8	1	47.46	14.83	3.20026972353338	91	94	5
376	4	1	24.42	7.82	3.1227621483376	90	94	5
414	7	1	18.27	6.47	2.82380216383308	26	25	2
376	9	1	49.23	19.98	2.46396396396396	90	94	2
376	6	1	18.64	7.74	2.40826873385013	91	94	5
414	6	1	10.52	4.42	2.38009049773756	26	25	2
414	5	1	13.82	5.96	2.31879194630873	26	25	2
36	10	1	78.55	36.19	2.1704890853827	63	62	2
36	11	1	143.57	69.52	2.06516110471807	62	63	2
376	10	1	68.32	34.13	2.00175798417814	90	94	2
