id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
263000099	USA, Puerto Rico	99	1	11	1	0.45	12	4.94	0.45	1	4.94	12	997.777777777778	erratic	997.777777777778
572400299	Spain, Granada	99	1	7	6	0.53	12	5.38	0.53	6	5.38	12	915.094339622641	rising	915.094339622641
470200027	Singapore: Malay	27	1	9	3	0.32	12	2.86	0.32	3	2.86	12	793.75	erratic	793.75
572400399	Spain, Murcia	99	1	7	6	0.63	12	5.32	0.63	6	5.32	12	744.444444444445	rising	744.444444444445
684009923	USA, Hawaii: Filipino	23	1	11	2	0.23	12	1.85	0	6	3.49	11	704.347826086957	U	704.347826086957
570500099	Slovenia	99	1	12	1	1.44	12	10.6	1.44	1	10.6	12	636.111111111111	rising	636.111111111111
538006699	Italy, Ragusa	99	1	6	5	0.57	10	4.14	0.57	5	4.14	10	626.315789473684	erratic	626.315789473684
384000942	USA, New Mexico: American Indian	42	1	7	3	0.97	12	6.63	0.97	3	6.63	12	583.505154639175	rising	583.505154639175
384000430	USA, Connecticut: Black	30	1	8	5	0.18	12	1.08	0.18	5	1.51	10	500	inverted-U	500
470200040	Singapore: Indian	40	1	9	3	0.49	12	2.9	0.49	3	2.9	12	491.836734693878	erratic	491.836734693878
561600599	Poland, Warsaw City	99	1	8	2	0.72	9	4.23	0.72	2	4.23	9	487.5	erratic	487.5
684009920	USA, Hawaii: Chinese	20	1	11	2	0.74	12	4.24	0.62	4	7.05	6	472.972972972973	U	472.972972972973
547000099	Malta	99	1	7	3	1.21	12	6.82	1.21	3	6.82	12	463.636363636364	erratic	463.636363636364
312400799	Canada, Prince Edward Island	99	1	8	5	0.58	12	3.24	0.58	5	5.93	11	458.620689655173	inverted-U	458.620689655173
476400499	Thailand, Songkhla	99	1	5	8	0.15	12	0.73	0.15	8	0.73	12	386.666666666667	erratic	386.666666666667
538000399	Italy, Latina	99	1	4	6	1.29	11	6.05	1.29	6	6.05	11	368.992248062016	rising	368.992248062016
534800399	Hungary, County Vas	99	1	5	2	1.34	6	6.15	1.2	3	6.15	6	358.955223880597	U	358.955223880597
312401199	Canada, Quebec	99	1	9	2	1.24	12	5.63	1.24	2	5.63	12	354.032258064516	rising	354.032258064516
312400999	Canada, Yukon	99	1	6	6	3.02	12	13.17	3.02	6	13.17	12	336.092715231788	erratic	336.092715231788
561600199	Poland, Cracow	99	1	9	2	1.18	10	5.14	1.18	2	5.14	10	335.593220338983	rising	335.593220338983
439200699	Japan, Yamagata Prefecture	99	1	5	6	0.76	11	3.31	0.76	6	3.31	11	335.526315789474	erratic	335.526315789474
439200299	Japan, Miyagi Prefecture	99	1	12	1	0.78	12	3.37	0.44	2	3.37	12	332.051282051282	U	332.051282051282
524600099	Finland	99	1	11	1	1.49	12	6.24	1.04	2	6.24	12	318.791946308725	U	318.791946308725
572400199	Spain, Tarragona	99	1	8	5	1.13	12	4.51	1.13	5	5.19	11	299.115044247788	inverted-U	299.115044247788
572400499	Spain, Navarra	99	1	9	4	1.41	12	5.62	1.23	5	5.62	12	298.581560283688	U	298.581560283688
439200499	Japan, Osaka Prefecture	99	1	10	3	0.72	12	2.76	0.72	3	2.76	12	283.333333333333	erratic	283.333333333333
525000299	France, Calvados	99	1	8	5	2.26	12	8.57	2.26	5	8.57	12	279.203539823009	rising	279.203539823009
519100099	Croatia	99	1	6	7	2.46	12	9.25	2.46	7	9.25	12	276.016260162602	rising	276.016260162602
572401199	Spain, Canary Islands	99	1	5	8	1.2	12	4.42	1.2	8	4.42	12	268.333333333333	rising	268.333333333333
437600094	Israel: Arabs	94	1	11	2	0.84	12	2.98	0.2	3	2.98	12	254.761904761905	U	254.761904761905
582600699	UK, England, South West	99	1	7	1	2.37	11	7.86	2.37	1	7.86	11	231.645569620253	rising	231.645569620253
570300099	Slovakia	99	1	8	4	2.64	11	8.64	2.64	4	8.64	11	227.272727272727	rising	227.272727272727
538001599	Italy, Sassari	99	1	5	8	2.95	12	9.61	2.95	8	9.61	12	225.762711864407	rising	225.762711864407
525000399	France, Doubs	99	1	9	4	2.66	12	8.62	2.66	4	8.91	11	224.06015037594	inverted-U	224.06015037594
470200020	Singapore: Chinese	20	1	10	1	0.57	12	1.78	0.57	1	1.78	12	212.280701754386	erratic	212.280701754386
441000499	Republic of Korea, Daegu	99	1	5	8	0.4	12	1.24	0.4	8	1.24	12	210	rising	210
572400599	Spain, Asturias	99	1	6	7	1.85	12	5.73	1.85	7	6.1	11	209.72972972973	inverted-U	209.72972972973
542800099	Latvia	99	1	7	6	1.05	12	3.24	1.05	6	3.41	11	208.571428571429	inverted-U	208.571428571429
437600090	Israel: Jews	90	1	11	2	1.65	12	5.06	1.65	2	5.06	12	206.666666666667	rising	206.666666666667
582600299	UK, England, West Midlands	99	1	11	1	2.21	11	6.75	2.21	1	6.75	11	205.429864253394	rising	205.429864253394
