id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
263000099	USA, Puerto Rico	99	1	1	0.45	2.36	0.190677966101695	low
156600199	Nigeria,  Ibadan	99	1	1	0.22	2.36	0.0932203389830508	low
439200299	Japan, Miyagi Prefecture	99	1	2	0.44	2.21	0.199095022624434	low
684009923	USA, Hawaii: Filipino	23	1	2	0.23	2.21	0.104072398190045	low
684009923	USA, Hawaii: Filipino	23	1	3	0.39	2.205	0.17687074829932	low
684009921	USA, Hawaii: Japanese	21	1	3	0.34	2.205	0.154195011337868	low
219200099	Cuba	99	1	3	0.33	2.205	0.149659863945578	low
470200027	Singapore: Malay	27	1	3	0.32	2.205	0.145124716553288	low
437600094	Israel: Arabs	94	1	3	0.2	2.205	0.090702947845805	low
238800199	Jamaica, Kingston and St Andrew	99	1	3	0.11	2.205	0.0498866213151927	low
575600599	Switzerland, Vaud	99	1	4	10.66	2.64	4.03787878787879	high
575600399	Switzerland, Neuchâtel	99	1	4	9.96	2.64	3.77272727272727	high
312401599	Canada, Northwest Territories and Yukon	99	1	4	9.24	2.64	3.5	high
263000099	USA, Puerto Rico	99	1	4	0.52	2.64	0.196969696969697	low
219200099	Cuba	99	1	4	0.42	2.64	0.159090909090909	low
384000320	USA, California, Los Angeles County: Chinese	20	1	4	0.41	2.64	0.15530303030303	low
168600199	Senegal, Dakar	99	1	4	0.22	2.64	0.0833333333333333	low
684009923	USA, Hawaii: Filipino	23	1	4	0.2	2.64	0.0757575757575758	low
384000320	USA, California, Los Angeles County: Chinese	20	1	5	0.55	2.83	0.19434628975265	low
384000530	USA, Georgia, Atlanta: Black	30	1	5	0.53	2.83	0.187279151943463	low
252809999	Netherlands, Antilles	99	1	5	0.51	2.83	0.180212014134276	low
470200027	Singapore: Malay	27	1	5	0.41	2.83	0.144876325088339	low
207601599	Brazil, Recife	99	1	5	0.4	2.83	0.141342756183746	low
684009923	USA, Hawaii: Filipino	23	1	5	0.26	2.83	0.0918727915194346	low
384000430	USA, Connecticut: Black	30	1	5	0.18	2.83	0.0636042402826855	low
575600699	Switzerland, Zurich	99	1	6	8.78	2.91	3.01718213058419	high
225009199	France, Martinique	99	1	6	0.56	2.91	0.192439862542955	low
572400299	Spain, Granada	99	1	6	0.53	2.91	0.18213058419244	low
101200199	Algeria, Sétif	99	1	6	0.48	2.91	0.164948453608247	low
415600499	China, Tianjin	99	1	6	0.46	2.91	0.15807560137457	low
146600199	Mali, Bamako	99	1	6	0.45	2.91	0.154639175257732	low
415600299	China, Qidong City	99	1	6	0.44	2.91	0.151202749140893	low
562000199	Portugal, Vila Nova de Gaia	99	1	6	0.33	2.91	0.11340206185567	low
384000323	USA, California, Los Angeles County: Filipino	23	1	6	0.28	2.91	0.0962199312714777	low
127000099	The Gambia	99	1	6	0.19	2.91	0.0652920962199313	low
575600799	Switzerland, Graubunden	99	1	7	10.26	3.14	3.26751592356688	high
575600499	Switzerland, East	99	1	7	10.12	3.14	3.22292993630573	high
171600270	Zimbabwe, Harare: African	70	1	7	0.62	3.14	0.197452229299363	low
384000530	USA, Georgia, Atlanta: Black	30	1	7	0.58	3.14	0.184713375796178	low
476400299	Thailand, Khon Kaen	99	1	7	0.57	3.14	0.181528662420382	low
171600299	Zimbabwe, Harare	99	1	7	0.53	3.14	0.168789808917197	low
476400199	Thailand, Chiang Mai	99	1	7	0.52	3.14	0.165605095541401	low
415600499	China, Tianjin	99	1	7	0.5	3.14	0.159235668789809	low
435600999	India, Karunagappally	99	1	7	0.5	3.14	0.159235668789809	low
435600299	India, Bangalore	99	1	7	0.48	3.14	0.152866242038217	low
435600799	India, Barshi, Paranda, and Bhum	99	1	7	0.33	3.14	0.105095541401274	low
146600199	Mali, Bamako	99	1	7	0.31	3.14	0.0987261146496815	low
441000199	Korea, Kangwha County	99	1	7	0.31	3.14	0.0987261146496815	low
415600299	China, Qidong City	99	1	7	0.24	3.14	0.0764331210191083	low
101200199	Algeria, Sétif	99	1	7	0.14	3.14	0.0445859872611465	low
575600699	Switzerland, Zurich	99	1	8	10.14	3.25	3.12	high
520800099	Denmark	99	1	8	9.86	3.25	3.03384615384615	high
146600199	Mali, Bamako	99	1	8	0.62	3.25	0.190769230769231	low
460800399	Philippines, Rizal	99	1	8	0.61	3.25	0.187692307692308	low
435600699	India, Poona	99	1	8	0.58	3.25	0.178461538461538	low
441400026	Kuwait: Non-Kuwaitis	26	1	8	0.58	3.25	0.178461538461538	low
415800099	China, Taiwan	99	1	8	0.57	3.25	0.175384615384615	low
435600299	India, Bangalore	99	1	8	0.57	3.25	0.175384615384615	low
441000299	Republic of Korea, Busan	99	1	8	0.57	3.25	0.175384615384615	low
451200099	Oman: Omani	99	1	8	0.57	3.25	0.175384615384615	low
470400299	Viet Nam, Ho Chi Minh City	99	1	8	0.57	3.25	0.175384615384615	low
384000322	USA, California, Los Angeles County: Korean	22	1	8	0.56	3.25	0.172307692307692	low
180000299	Uganda, Kyadondo County	99	1	8	0.55	3.25	0.169230769230769	low
207600299	Brazil, Goiânia	99	1	8	0.54	3.25	0.166153846153846	low
384000430	USA, Connecticut: Black	30	1	8	0.54	3.25	0.166153846153846	low
476400199	Thailand, Chiang Mai	99	1	8	0.5	3.25	0.153846153846154	low
441000399	Republic of Korea, Seoul	99	1	8	0.48	3.25	0.147692307692308	low
384010230	USA, Louisiana, Central Region: Black	30	1	8	0.46	3.25	0.141538461538462	low
441000199	Korea, Kangwha County	99	1	8	0.45	3.25	0.138461538461538	low
171600270	Zimbabwe, Harare: African	70	1	8	0.44	3.25	0.135384615384615	low
435600899	India, Trivandrum	99	1	8	0.42	3.25	0.129230769230769	low
441000499	Republic of Korea, Daegu	99	1	8	0.4	3.25	0.123076923076923	low
415600799	China, Jiashan County	99	1	8	0.39	3.25	0.12	low
415600999	China, Wuhan City	99	1	8	0.36	3.25	0.110769230769231	low
415600199	China, Beijing City	99	1	8	0.35	3.25	0.107692307692308	low
476400399	Thailand, Bangkok	99	1	8	0.35	3.25	0.107692307692308	low
415600499	China, Tianjin	99	1	8	0.33	3.25	0.101538461538462	low
435600999	India, Karunagappally	99	1	8	0.24	3.25	0.0738461538461538	low
415600299	China, Qidong City	99	1	8	0.18	3.25	0.0553846153846154	low
476400499	Thailand, Songkhla	99	1	8	0.15	3.25	0.0461538461538462	low
127000099	The Gambia	99	1	8	0.07	3.25	0.0215384615384615	low
445800199	Malaysia, Sarawak	99	1	9	0.79	4.285	0.184364060676779	low
415602499	China, Guangzhou City	99	1	9	0.77	4.285	0.179696616102684	low
435600699	India, Poona	99	1	9	0.76	4.285	0.177362893815636	low
415600399	China, Shanghai City	99	1	9	0.73	4.285	0.170361726954492	low
435601099	India, New Delhi	99	1	9	0.73	4.285	0.170361726954492	low
435600399	India, Mumbai	99	1	9	0.71	4.285	0.165694282380397	low
476400199	Thailand, Chiang Mai	99	1	9	0.71	4.285	0.165694282380397	low
415600799	China, Jiashan County	99	1	9	0.69	4.285	0.161026837806301	low
415601499	China, Zhongshan City	99	1	9	0.68	4.285	0.158693115519253	low
441000499	Republic of Korea, Daegu	99	1	9	0.66	4.285	0.154025670945158	low
441000899	Republic of Korea, Ulsan	99	1	9	0.66	4.285	0.154025670945158	low
441000399	Republic of Korea, Seoul	99	1	9	0.65	4.285	0.15169194865811	low
435600499	India, Chennai	99	1	9	0.64	4.285	0.149358226371062	low
384000322	USA, California, Los Angeles County: Korean	22	1	9	0.61	4.285	0.142357059509918	low
180000299	Uganda, Kyadondo County	99	1	9	0.6	4.285	0.14002333722287	low
441000299	Republic of Korea, Busan	99	1	9	0.59	4.285	0.137689614935823	low
171600270	Zimbabwe, Harare: African	70	1	9	0.57	4.285	0.133022170361727	low
441000099	Republic of Korea	99	1	9	0.56	4.285	0.130688448074679	low
441001099	Republic of Korea, Gwangju	99	1	9	0.55	4.285	0.128354725787631	low
476400599	Thailand, Lampang	99	1	9	0.54	4.285	0.126021003500583	low
181800299	Egypt, Gharbiah	99	1	9	0.51	4.285	0.11901983663944	low
441001199	Republic of Korea, Incheon	99	1	9	0.48	4.285	0.112018669778296	low
451200099	Oman: Omani	99	1	9	0.44	4.285	0.102683780630105	low
441000599	Republic of Korea, Daejeon	99	1	9	0.43	4.285	0.100350058343057	low
178800199	Tunisia, Centre, Sousse	99	1	9	0.42	4.285	0.0980163360560093	low
435600899	India, Trivandrum	99	1	9	0.4	4.285	0.0933488914819137	low
441000999	Republic of Korea, Jeju	99	1	9	0.38	4.285	0.088681446907818	low
476400499	Thailand, Songkhla	99	1	9	0.34	4.285	0.0793465577596266	low
101200199	Algeria, Sétif	99	1	9	0.22	4.285	0.0513418903150525	low
415601599	China, Nangang District, Harbin City	99	1	9	0.2	4.285	0.0466744457409568	low
435600999	India, Karunagappally	99	1	9	0.15	4.285	0.0350058343057176	low
