country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	4	1	5.4	0.2	27	45	23	9
840	12	1	8.04	0.31	25.9354838709677	60	30	12
840	10	1	8.24	0.4	20.6	10	30	12
840	8	1	7.14	0.46	15.5217391304348	10	30	10
376	3	1	3.01	0.2	15.05	97	94	5
840	3	1	4.94	0.34	14.5294117647059	10	21	9
840	11	1	9.19	0.64	14.359375	10	30	12
840	7	1	6.68	0.58	11.5172413793103	60	30	10
840	9	1	6.82	0.61	11.1803278688525	60	22	11
376	7	1	6.7	0.77	8.7012987012987	91	94	4
376	5	1	5.79	0.69	8.39130434782609	96	94	5
554	10	1	10.62	1.62	6.55555555555555	28	29	2
376	8	1	3.98	0.69	5.76811594202899	97	96	5
414	12	1	2.35	0.45	5.22222222222222	25	26	2
36	10	1	5.97	1.17	5.1025641025641	63	62	2
414	11	1	1.98	0.46	4.30434782608696	25	26	2
554	5	1	7.86	1.85	4.24864864864865	28	29	3
376	6	1	3.36	0.81	4.14814814814815	97	96	5
702	3	1	1.06	0.32	3.3125	20	27	3
376	9	1	4.14	1.33	3.11278195488722	90	94	2
376	4	1	3.01	0.99	3.04040404040404	97	94	5
376	2	1	2.44	0.84	2.9047619047619	91	94	5
554	12	1	10.95	3.9	2.80769230769231	28	29	2
414	10	1	1.34	0.49	2.73469387755102	25	26	2
376	10	1	4.67	1.84	2.53804347826087	90	94	2
554	11	1	10.21	4.43	2.30474040632054	28	29	2
376	11	1	4.52	1.98	2.28282828282828	90	94	2
702	5	1	0.93	0.41	2.26829268292683	20	27	3
702	7	1	2	0.93	2.1505376344086	40	20	3
840	1	1	3.42	1.65	2.07272727272727	45	21	3
36	12	1	4.69	2.34	2.0042735042735	63	62	2
414	7	1	1.54	0.77	2	26	25	2
