id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
525000899	France, Hérault	99	1	6	7	0.03	12	0.27	0.03	7	0.27	12	800	erratic	800
441000899	Republic of Korea, Ulsan	99	1	4	9	0.05	12	0.26	0.05	9	0.28	11	420	inverted-U	420
439200599	Japan, Saga Prefecture	99	1	4	6	0.06	10	0.29	0.06	6	0.29	10	383.333333333333	erratic	383.333333333333
603600599	Australia, Tasmania	99	1	8	5	0.08	12	0.37	0.04	8	0.56	10	362.5	U	362.5
552800199	The Netherlands, Eindhoven	99	1	6	5	0.04	10	0.18	0.04	5	0.33	6	350	inverted-U	350
435601099	India, New Delhi	99	1	4	8	0.05	12	0.21	0.05	8	0.21	12	320	rising	320
527601199	Germany, North Rhine-Westphalia	99	1	4	9	0.05	12	0.19	0.05	9	0.19	12	280	rising	280
479200299	Turkey, Antalya	99	1	4	9	0.03	12	0.11	0.03	9	0.12	11	266.666666666667	inverted-U	266.666666666667
384001630	USA, New York State: Black	30	1	5	8	0.05	12	0.17	0.05	8	0.17	12	240	erratic	240
538000199	Italy, Tuscany	99	1	7	6	0.08	12	0.26	0.08	6	0.44	8	225	inverted-U	225
538002299	Italy, Genova	99	1	6	6	0.09	12	0.27	0.09	6	0.27	12	200	erratic	200
415600199	China, Beijing City	99	1	4	8	0.1	12	0.27	0.1	8	0.27	12	170	rising	170
441000599	Republic of Korea, Daejeon	99	1	4	9	0.1	12	0.26	0.1	9	0.28	11	160	inverted-U	160
552800299	The Netherlands, Maastricht	99	1	4	6	0.06	9	0.15	0.06	6	0.15	7	150	erratic	150
572400599	Spain, Asturias	99	1	6	7	0.04	12	0.1	0.04	7	0.35	8	150	inverted-U	150
384005630	USA, Georgia: Black	30	1	4	9	0.11	12	0.27	0.11	9	0.27	12	145.454545454545	erratic	145.454545454545
384007030	USA, South Carolina: Black	30	1	4	9	0.07	12	0.17	0.03	10	0.17	12	142.857142857143	U	142.857142857143
384005130	USA, Alabama: Black	30	1	4	9	0.08	12	0.18	0.03	10	0.18	12	125	U	125
101200199	Algeria, Sétif	99	1	5	6	0.1	11	0	0	7	0.1	6	-100	falling	100
312400699	Canada, Nova Scotia	99	1	7	5	0.07	11	0.14	0.07	5	0.18	6	100	inverted-U	100
312400999	Canada, Yukon	99	1	6	6	0.14	12	0	0	7	0.14	6	-100	falling	100
435600799	India, Barshi, Paranda, and Bhum	99	1	4	7	0.54	12	0	0	10	0.54	7	-100	falling	100
441400025	Kuwait: Kuwaitis	25	1	8	5	0.07	12	0.14	0	7	0.41	8	100	U	100
476400499	Thailand, Songkhla	99	1	5	8	0.09	12	0.18	0	9	0.18	12	100	U	100
504000799	Austria, Tyrol	99	1	6	7	0.12	12	0.24	0.08	10	0.24	12	100	U	100
572401399	Spain, Cuenca	99	1	4	8	0.07	11	0	0	9	0.19	10	-100	inverted-U	100
575601199	Switzerland, Graubünden and Glarus	99	1	5	8	0.27	12	0	0	12	0.63	11	-100	inverted-U	100
476400299	Thailand, Khon Kaen	99	1	6	6	0.16	12	0.01	0	7	0.16	6	-93.75	U	93.75
384000322	USA, California, Los Angeles County: Korean	22	1	8	5	3.33	12	0.26	0	6	3.33	5	-92.1921921921922	U	92.1921921921922
225009199	France, Martinique	99	1	7	5	0.76	12	0.06	0	11	0.76	5	-92.1052631578947	U	92.1052631578947
476400199	Thailand, Chiang Mai	99	1	7	6	0.37	12	0.03	0	7	0.37	6	-91.8918918918919	U	91.8918918918919
561600799	Poland, Kielce	99	1	6	7	0.55	12	0.05	0.05	12	0.55	7	-90.9090909090909	erratic	90.9090909090909
441000999	Republic of Korea, Jeju	99	1	4	9	0.31	12	0.03	0.03	12	0.31	9	-90.3225806451613	falling	90.3225806451613
572400299	Spain, Granada	99	1	7	6	0.23	12	0.03	0.03	12	0.23	6	-86.9565217391305	erratic	86.9565217391305
582601199	UK, England, East	99	1	5	7	0.97	11	0.14	0.14	8	0.97	7	-85.5670103092784	erratic	85.5670103092784
525001699	France, Manche	99	1	5	8	0.39	12	0.06	0.04	9	0.39	8	-84.6153846153846	U	84.6153846153846
575601099	Switzerland, Ticino	99	1	5	8	0.13	12	0.02	0.02	12	0.23	11	-84.6153846153846	inverted-U	84.6153846153846
504000899	Austria, Vorarlberg	99	1	5	8	0.19	12	0.03	0.03	12	0.35	10	-84.2105263157895	inverted-U	84.2105263157895
218800099	Costa Rica	99	1	8	5	0.18	12	0.03	0.03	9	0.25	6	-83.3333333333333	inverted-U	83.3333333333333
435600299	India, Bangalore	99	1	7	5	0.15	12	0.03	0.03	12	0.23	8	-80	inverted-U	80
