id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
603600599	Australia, Tasmania	99	1	8	5	0.08	12	0.37	0.04	8	0.56	10	362.5	U	362.5
384007030	USA, South Carolina: Black	30	1	4	9	0.07	12	0.17	0.03	10	0.17	12	142.857142857143	U	142.857142857143
384005130	USA, Alabama: Black	30	1	4	9	0.08	12	0.18	0.03	10	0.18	12	125	U	125
441400025	Kuwait: Kuwaitis	25	1	8	5	0.07	12	0.14	0	7	0.41	8	100	U	100
476400499	Thailand, Songkhla	99	1	5	8	0.09	12	0.18	0	9	0.18	12	100	U	100
504000799	Austria, Tyrol	99	1	6	7	0.12	12	0.24	0.08	10	0.24	12	100	U	100
476400299	Thailand, Khon Kaen	99	1	6	6	0.16	12	0.01	0	7	0.16	6	-93.75	U	93.75
384000322	USA, California, Los Angeles County: Korean	22	1	8	5	3.33	12	0.26	0	6	3.33	5	-92.1921921921922	U	92.1921921921922
225009199	France, Martinique	99	1	7	5	0.76	12	0.06	0	11	0.76	5	-92.1052631578947	U	92.1052631578947
476400199	Thailand, Chiang Mai	99	1	7	6	0.37	12	0.03	0	7	0.37	6	-91.8918918918919	U	91.8918918918919
525001699	France, Manche	99	1	5	8	0.39	12	0.06	0.04	9	0.39	8	-84.6153846153846	U	84.6153846153846
384005799	USA, Idaho	99	1	4	9	0.09	12	0.16	0.08	11	0.16	12	77.7777777777778	U	77.7777777777778
538001799	Italy, Biella	99	1	4	8	0.58	11	0.13	0.09	9	0.78	10	-77.5862068965517	U	77.5862068965517
384002210	USA, Louisiana: White	10	1	4	9	0.13	12	0.23	0.1	10	0.23	12	76.9230769230769	U	76.9230769230769
572400899	Spain, Mallorca	99	1	4	7	0.12	11	0.21	0.06	8	0.21	11	75	U	75
538001599	Italy, Sassari	99	1	5	8	0.22	12	0.06	0.04	10	0.22	8	-72.7272727272727	U	72.7272727272727
441000299	Republic of Korea, Busan	99	1	5	8	0.17	12	0.29	0.12	9	0.29	12	70.5882352941176	U	70.5882352941176
215200199	Chile, Valdivia	99	1	4	9	0.15	12	0.05	0	10	0.26	11	-66.6666666666667	U	66.6666666666667
525000299	France, Calvados	99	1	8	5	0.12	12	0.04	0.03	6	0.24	10	-66.6666666666667	U	66.6666666666667
575600899	Switzerland, Valais	99	1	6	7	0.44	12	0.18	0	10	0.44	7	-59.0909090909091	U	59.0909090909091
384006399	USA, Missouri	99	1	4	9	0.12	12	0.19	0.1	11	0.19	12	58.3333333333333	U	58.3333333333333
384000250	USA, California, San Francisco Bay Area: Hispanic White	50	1	6	7	0.24	12	0.1	0	8	0.24	7	-58.3333333333333	U	58.3333333333333
575600199	Switzerland, Basel	99	1	6	5	0.4	12	0.17	0.08	6	0.4	5	-57.5	U	57.5
207600299	Brazil, Goiânia	99	1	7	6	0.32	12	0.14	0	10	0.36	8	-56.25	U	56.25
476400599	Thailand, Lampang	99	1	5	8	0.09	12	0.04	0	10	0.09	8	-55.5555555555556	U	55.5555555555556
470200099	Singapore	99	1	5	7	0.29	12	0.45	0.26	9	0.45	12	55.1724137931035	U	55.1724137931035
572401199	Spain, Canary Islands	99	1	5	8	0.13	12	0.06	0.01	11	0.2	9	-53.8461538461539	U	53.8461538461539
441400026	Kuwait: Non-Kuwaitis	26	1	8	5	0.04	12	0.02	0	6	0.47	8	-50	U	50
538000899	Italy, Turin	99	1	7	6	0.2	12	0.1	0.08	10	0.24	7	-50	U	50
538000799	Italy, Romagna	99	1	6	6	0.41	11	0.21	0.04	9	0.41	6	-48.7804878048781	U	48.7804878048781
221800199	Ecuador, Quito	99	1	7	6	0.15	12	0.08	0.03	9	0.3	10	-46.6666666666667	U	46.6666666666667
544000099	Lithuania	99	1	5	8	0.25	12	0.14	0.06	10	0.25	8	-44	U	44
384006330	USA, Missouri: Black	30	1	4	9	0.21	12	0.3	0	10	0.3	12	42.8571428571429	U	42.8571428571429
575600499	Switzerland, East	99	1	7	6	0.21	12	0.12	0.04	8	0.28	7	-42.8571428571429	U	42.8571428571429
384000260	USA, California, San Francisco Bay Area: Non-Hispanic White	60	1	6	7	0.27	12	0.16	0.07	10	0.27	7	-40.7407407407408	U	40.7407407407408
384000299	USA, California, San Francisco Bay Area	99	1	6	7	0.25	12	0.15	0.1	10	0.25	7	-40	U	40
441000499	Republic of Korea, Daegu	99	1	5	8	0.41	12	0.25	0.23	10	0.41	8	-39.0243902439024	U	39.0243902439024
404800046	Bahrain: Bahrainis	46	1	4	9	0.11	12	0.07	0	10	0.19	11	-36.3636363636364	U	36.3636363636364
439200199	Japan, Hiroshima Prefecture	99	1	7	5	0.39	12	0.25	0.23	8	0.39	5	-35.8974358974359	U	35.8974358974359
525001799	France, Vendée	99	1	4	9	0.17	12	0.11	0.06	11	0.17	9	-35.2941176470588	U	35.2941176470588
538002999	Italy, Syracuse	99	1	4	9	0.17	12	0.11	0.06	11	0.27	10	-35.2941176470588	U	35.2941176470588
415601499	China, Zhongshan City	99	1	4	9	0.17	12	0.23	0.1	11	0.23	12	35.2941176470588	U	35.2941176470588
384000960	USA, New Mexico: Non-Hispanic White	60	1	6	7	0.18	12	0.12	0.04	9	0.35	8	-33.3333333333333	U	33.3333333333333
460800299	Philippines, Manila	99	1	7	6	0.09	12	0.06	0.04	11	0.15	10	-33.3333333333333	U	33.3333333333333
525000599	France, Isère	99	1	8	5	0.24	12	0.16	0.02	10	0.24	5	-33.3333333333333	U	33.3333333333333
384000899	USA, Michigan, Detroit	99	1	6	7	0.16	12	0.21	0.15	11	0.3	9	31.25	U	31.25
384002299	USA, Louisiana	99	1	4	9	0.16	12	0.21	0.1	10	0.21	12	31.25	U	31.25
476400399	Thailand, Bangkok	99	1	4	8	0.1	12	0.07	0.05	11	0.1	8	-30	U	30
384007099	USA, South Carolina	99	1	4	9	0.17	12	0.12	0.08	10	0.17	9	-29.4117647058824	U	29.4117647058824
384006530	USA, Ohio: Black	30	1	4	9	0.14	12	0.1	0.06	10	0.14	9	-28.5714285714286	U	28.5714285714286
519600099	Cyprus	99	1	4	9	0.07	12	0.05	0.03	10	0.07	9	-28.5714285714286	U	28.5714285714286
384002450	USA, SEER (18 registries): Hispanic White	50	1	4	9	0.18	12	0.13	0.1	10	0.18	9	-27.7777777777778	U	27.7777777777778
384005299	USA, Arizona	99	1	4	9	0.18	12	0.13	0.09	11	0.18	9	-27.7777777777778	U	27.7777777777778
384000430	USA, Connecticut: Black	30	1	8	5	0.19	12	0.24	0	9	0.5	8	26.3157894736842	U	26.3157894736842
460800399	Philippines, Rizal	99	1	5	5	0.08	11	0.06	0.05	10	0.16	8	-25	U	25
572400399	Spain, Murcia	99	1	7	6	0.2	12	0.15	0.02	7	0.2	6	-25	U	25
523300099	Estonia	99	1	7	6	0.13	12	0.1	0.08	10	0.21	11	-23.0769230769231	U	23.0769230769231
384000950	USA, New Mexico: Hispanic White	50	1	7	5	0.14	12	0.11	0.05	8	0.19	9	-21.4285714285714	U	21.4285714285714
441000399	Republic of Korea, Seoul	99	1	5	8	0.19	12	0.23	0.15	10	0.28	11	21.0526315789474	U	21.0526315789474
384008030	USA, NPCR: Black	30	1	4	9	0.15	12	0.18	0.12	10	0.18	12	20	U	20
439200699	Japan, Yamagata Prefecture	99	1	5	6	0.26	11	0.21	0.03	8	0.26	6	-19.2307692307692	U	19.2307692307692
384005099	USA, Alaska	99	1	4	9	0.21	12	0.25	0.09	11	0.25	12	19.0476190476191	U	19.0476190476191
384005530	USA, Florida: Black	30	1	4	9	0.21	12	0.17	0.13	10	0.21	9	-19.047619047619	U	19.047619047619
603600399	Australia, Queensland	99	1	6	5	0.23	12	0.19	0.11	11	0.23	5	-17.3913043478261	U	17.3913043478261
384001530	USA, New Jersey: Black	30	1	5	8	0.12	12	0.14	0.09	11	0.14	10	16.6666666666667	U	16.6666666666667
441001199	Republic of Korea, Incheon	99	1	4	9	0.24	12	0.28	0.15	10	0.28	12	16.6666666666667	U	16.6666666666667
441400099	Kuwait	99	1	6	5	0.06	12	0.07	0	10	0.32	8	16.6666666666667	U	16.6666666666667
384006999	USA, Rhode Island	99	1	4	9	0.17	12	0.15	0.09	10	0.17	9	-11.764705882353	U	11.764705882353
