id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
384000322	USA, California, Los Angeles County: Korean	22	1	5	3.33	0.17	19.5882352941176	high
684009920	USA, Hawaii: Chinese	20	1	5	0.97	0.17	5.70588235294118	high
561600199	Poland, Cracow	99	1	5	0.86	0.17	5.05882352941176	high
384000942	USA, New Mexico: American Indian	42	1	5	0.8	0.17	4.70588235294118	high
225009199	France, Martinique	99	1	5	0.76	0.17	4.47058823529412	high
384010030	Usa, California, Alameda County: Black	30	1	5	0.53	0.17	3.11764705882353	high
525000199	France, Bas-Rhin	99	1	5	0.03	0.17	0.176470588235294	low
561600599	Poland, Warsaw City	99	1	5	0.03	0.17	0.176470588235294	low
384000730	USA, Louisiana, New Orleans: Black	30	1	6	1.01	0.18	5.61111111111111	high
437600091	Israel: Jews born in Israel	91	1	6	0.75	0.18	4.16666666666667	high
684009920	USA, Hawaii: Chinese	20	1	6	0.72	0.18	4	high
384000321	USA, California, Los Angeles County: Japanese	21	1	6	0.65	0.18	3.61111111111111	high
538000499	Italy, Varese	99	1	6	0.64	0.18	3.55555555555556	high
225009199	France, Martinique	99	1	6	0.56	0.18	3.11111111111111	high
217000199	Colombia, Cali	99	1	6	0.03	0.18	0.166666666666667	low
439200299	Japan, Miyagi Prefecture	99	1	6	0.03	0.18	0.166666666666667	low
525000299	France, Calvados	99	1	6	0.03	0.18	0.166666666666667	low
525000599	France, Isère	99	1	6	0.03	0.18	0.166666666666667	low
655400036	New Zealand: Non-Maori	36	1	6	0.03	0.18	0.166666666666667	low
435600499	India, Chennai	99	1	6	0.02	0.18	0.111111111111111	low
538006799	Italy, Trieste	99	1	7	1.76	0.16	11	high
582601199	UK, England, East	99	1	7	0.97	0.16	6.0625	high
180000299	Uganda, Kyadondo County	99	1	7	0.96	0.16	6	high
207600799	Brazil, Belem	99	1	7	0.72	0.16	4.5	high
557800099	Norway	99	1	7	0.69	0.16	4.3125	high
589100199	Yugoslavia, Vojvodina	99	1	7	0.69	0.16	4.3125	high
511200099	Belarus	99	1	7	0.68	0.16	4.25	high
384010230	USA, Louisiana, Central Region: Black	30	1	7	0.65	0.16	4.0625	high
415603099	China, Hong Kong	99	1	7	0.6	0.16	3.75	high
575600299	Switzerland, Geneva	99	1	7	0.56	0.16	3.5	high
561600799	Poland, Kielce	99	1	7	0.55	0.16	3.4375	high
435600799	India, Barshi, Paranda, and Bhum	99	1	7	0.54	0.16	3.375	high
542800099	Latvia	99	1	7	0.54	0.16	3.375	high
524600099	Finland	99	1	7	0.53	0.16	3.3125	high
525000899	France, Hérault	99	1	7	0.03	0.16	0.1875	low
527603099	Germany, Saarland	99	1	7	0.03	0.16	0.1875	low
217000199	Colombia, Cali	99	1	7	0.02	0.16	0.125	low
572400399	Spain, Murcia	99	1	7	0.02	0.16	0.125	low
415603099	China, Hong Kong	99	1	8	0.98	0.16	6.125	high
684009910	USA, Hawaii: White	10	1	8	0.63	0.16	3.9375	high
538001799	Italy, Biella	99	1	8	0.58	0.16	3.625	high
684009923	USA, Hawaii: Filipino	23	1	8	0.54	0.16	3.375	high
384000430	USA, Connecticut: Black	30	1	8	0.5	0.16	3.125	high
439200699	Japan, Yamagata Prefecture	99	1	8	0.03	0.16	0.1875	low
525000199	France, Bas-Rhin	99	1	8	0.03	0.16	0.1875	low
437600096	Israel: Jews born in Africa or Asia	96	1	8	0.02	0.16	0.125	low
538000499	Italy, Varese	99	1	9	1.28	0.15	8.53333333333333	high
625009899	French Polynesia	99	1	9	0.94	0.15	6.26666666666667	high
603600899	Australia, Northern Territory	99	1	9	0.52	0.15	3.46666666666667	high
575600399	Switzerland, Neuchâtel	99	1	9	0.51	0.15	3.4	high
538001099	Italy, Modena	99	1	9	0.5	0.15	3.33333333333333	high
684009921	USA, Hawaii: Japanese	21	1	9	0.45	0.15	3	high
180000299	Uganda, Kyadondo County	99	1	9	0.02	0.15	0.133333333333333	low
603600862	Australia, Northern Territory: Indigenous	62	1	10	1.08	0.15	7.2	high
684009921	USA, Hawaii: Japanese	21	1	10	0.85	0.15	5.66666666666667	high
538001799	Italy, Biella	99	1	10	0.78	0.15	5.2	high
384000322	USA, California, Los Angeles County: Korean	22	1	10	0.71	0.15	4.73333333333333	high
384006442	USA, Montana: American Indian	42	1	10	0.62	0.15	4.13333333333333	high
575601199	Switzerland, Graubünden and Glarus	99	1	10	0.61	0.15	4.06666666666667	high
603600599	Australia, Tasmania	99	1	10	0.56	0.15	3.73333333333333	high
538004099	Italy, Lombardy, South, Pavia	99	1	10	0.55	0.15	3.66666666666667	high
603600899	Australia, Northern Territory	99	1	10	0.53	0.15	3.53333333333333	high
384000323	USA, California, Los Angeles County: Filipino	23	1	10	0.52	0.15	3.46666666666667	high
470200020	Singapore: Chinese	20	1	10	0.5	0.15	3.33333333333333	high
525000399	France, Doubs	99	1	10	0.49	0.15	3.26666666666667	high
538002699	Italy, Milan	99	1	10	0.46	0.15	3.06666666666667	high
203200799	Argentina, Mendoza	99	1	10	0.02	0.15	0.133333333333333	low
525000599	France, Isère	99	1	10	0.02	0.15	0.133333333333333	low
435600699	India, Poona	99	1	10	0.01	0.15	0.0666666666666667	low
603600863	Australia, Northern Territory: Non-Indigenous	63	1	11	0.82	0.15	5.46666666666667	high
603600899	Australia, Northern Territory	99	1	11	0.66	0.15	4.4	high
575601199	Switzerland, Graubünden and Glarus	99	1	11	0.63	0.15	4.2	high
538002199	Italy, Mantua	99	1	11	0.6	0.15	4	high
207600599	Brazil, Florianopolis	99	1	11	0.57	0.15	3.8	high
684009920	USA, Hawaii: Chinese	20	1	11	0.55	0.15	3.66666666666667	high
538001999	Italy, Trento	99	1	11	0.46	0.15	3.06666666666667	high
203200699	Argentina, Córdoba	99	1	11	0.02	0.15	0.133333333333333	low
435601499	India, Bhopal	99	1	11	0.02	0.15	0.133333333333333	low
437600094	Israel: Arabs	94	1	11	0.02	0.15	0.133333333333333	low
441400026	Kuwait: Non-Kuwaitis	26	1	11	0.02	0.15	0.133333333333333	low
441400099	Kuwait	99	1	11	0.02	0.15	0.133333333333333	low
476400299	Thailand, Khon Kaen	99	1	11	0.02	0.15	0.133333333333333	low
435600699	India, Poona	99	1	11	0.01	0.15	0.0666666666666667	low
572401199	Spain, Canary Islands	99	1	11	0.01	0.15	0.0666666666666667	low
180000399	Uganda, Gulu	99	1	12	1.46	0.14	10.4285714285714	high
543800099	Liechtenstein	99	1	12	1.21	0.14	8.64285714285714	high
684009920	USA, Hawaii: Chinese	20	1	12	0.84	0.14	6	high
