id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
384000223	USA, California, San Francisco Bay Area: Filipino	23	2	4	5	0.42	11	4.29	0.42	5	4.29	11	921.428571428572	rising	921.428571428572
225009199	France, Martinique	99	2	7	5	0.31	12	2.3	0.31	5	2.3	8	641.935483870968	erratic	641.935483870968
435600799	India, Barshi, Paranda, and Bhum	99	2	4	7	0.09	12	0.63	0.09	7	0.63	12	600	rising	600
384000323	USA, California, Los Angeles County: Filipino	23	2	8	5	0.95	12	5.57	0.95	5	5.57	12	486.315789473684	erratic	486.315789473684
684009921	USA, Hawaii: Japanese	21	2	12	1	0.95	12	5.5	0.95	1	5.96	10	478.947368421053	inverted-U	478.947368421053
415600799	China, Jiashan County	99	2	5	8	0.57	12	2.9	0.57	8	3.01	11	408.771929824562	inverted-U	408.771929824562
470200020	Singapore: Chinese	20	2	10	1	1.01	12	4.93	1.01	1	4.93	12	388.118811881188	erratic	388.118811881188
547000099	Malta	99	2	7	3	1.47	12	6.97	1.47	3	6.97	12	374.149659863946	erratic	374.149659863946
655400029	New Zealand: Pacific peoples	29	2	4	5	1.41	12	6.33	1.41	5	6.33	12	348.936170212766	rising	348.936170212766
470200027	Singapore: Malay	27	2	9	3	1	12	4.47	0.63	4	4.47	12	347	U	347
415600299	China, Qidong City	99	2	6	6	0.44	12	1.96	0.4	8	1.96	12	345.454545454545	U	345.454545454545
511200099	Belarus	99	2	7	6	2.33	12	9.76	2.33	6	9.76	12	318.884120171674	rising	318.884120171674
572400299	Spain, Granada	99	2	7	6	1.22	12	4.71	1.22	6	4.86	11	286.065573770492	inverted-U	286.065573770492
561600199	Poland, Cracow	99	2	9	2	1.61	10	6.17	1.61	2	6.17	10	283.229813664596	erratic	283.229813664596
439200299	Japan, Miyagi Prefecture	99	2	12	1	1.16	12	4.36	0.93	2	4.36	12	275.862068965517	U	275.862068965517
582600699	UK, England, South West	99	2	7	1	1.69	11	6.18	1.69	1	6.18	11	265.680473372781	rising	265.680473372781
415600399	China, Shanghai City	99	2	9	4	1.24	12	4.53	1.05	5	4.53	12	265.322580645161	U	265.322580645161
415601499	China, Zhongshan City	99	2	4	9	0.65	12	2.31	0.65	9	2.36	11	255.384615384615	inverted-U	255.384615384615
312400899	Canada, Newfoundland and Labrador	99	2	12	1	2.93	12	10.2	2.93	1	11.24	11	248.122866894198	inverted-U	248.122866894198
384000730	USA, Louisiana, New Orleans: Black	30	2	9	4	3.59	12	12.39	3.59	4	12.39	12	245.125348189415	erratic	245.125348189415
570300099	Slovakia	99	2	8	4	2.89	11	9.87	2.89	4	9.87	11	241.522491349481	rising	241.522491349481
171600270	Zimbabwe, Harare: African	70	2	6	7	0.62	12	2.1	0.62	7	2.1	12	238.709677419355	erratic	238.709677419355
476400499	Thailand, Songkhla	99	2	5	8	0.31	12	1.05	0.31	8	1.05	12	238.709677419355	erratic	238.709677419355
384000322	USA, California, Los Angeles County: Korean	22	2	8	5	1.28	12	4.22	1.28	5	4.25	7	229.6875	inverted-U	229.6875
570500099	Slovenia	99	2	12	1	1.78	12	5.78	1.78	1	5.78	12	224.719101123596	erratic	224.719101123596
572400399	Spain, Murcia	99	2	7	6	1.47	12	4.68	1.47	6	4.68	12	218.367346938776	rising	218.367346938776
384000950	USA, New Mexico: Hispanic White	50	2	7	5	3.19	12	10.14	3.19	5	10.14	12	217.868338557994	rising	217.868338557994
572400199	Spain, Tarragona	99	2	8	5	1.54	12	4.82	1.32	6	4.94	11	212.987012987013	U	212.987012987013
263000099	USA, Puerto Rico	99	2	11	1	1.49	12	4.66	1.49	1	4.66	12	212.751677852349	erratic	212.751677852349
439200499	Japan, Osaka Prefecture	99	2	10	3	1.41	12	4.37	1.31	4	4.37	12	209.929078014184	U	209.929078014184
542800099	Latvia	99	2	7	6	3.13	12	9.65	3.13	6	9.65	12	208.306709265176	rising	208.306709265176
415600999	China, Wuhan City	99	2	4	8	1.04	12	3.2	1.04	8	3.2	12	207.692307692308	rising	207.692307692308
312400599	Canada, New Brunswick	99	2	10	1	3.21	12	9.64	3.21	1	9.64	12	200.311526479751	erratic	200.311526479751
439200199	Japan, Hiroshima Prefecture	99	2	8	5	1.73	12	5.12	1.73	5	5.12	12	195.953757225434	erratic	195.953757225434
684009999	USA, Hawaii	99	2	7	1	2.13	12	6.16	2.13	1	6.68	11	189.201877934272	inverted-U	189.201877934272
384000530	USA, Georgia, Atlanta: Black	30	2	9	4	2.97	12	8.54	2.97	4	8.54	12	187.542087542087	rising	187.542087542087
582602099	UK, Scotland	99	2	10	2	2.65	12	7.51	2.65	2	7.51	12	183.396226415094	erratic	183.396226415094
561600699	Poland, Warsaw Rural	99	2	4	2	0.92	6	2.56	0.92	2	2.56	6	178.260869565217	rising	178.260869565217
437600094	Israel: Arabs	94	2	11	2	1.26	12	3.4	0.79	5	3.4	12	169.84126984127	U	169.84126984127
435600499	India, Chennai	99	2	8	5	0.45	12	1.21	0.45	5	1.21	12	168.888888888889	erratic	168.888888888889
