id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
150800399	Mozambique,  Lourenco Marques	99	1	1	0.88	4.42	0.199095022624434	low
180000299	Uganda, Kyadondo County	99	1	1	0.15	4.42	0.0339366515837104	low
470200027	Singapore: Malay	27	1	3	0.84	6.48	0.12962962962963	low
470200027	Singapore: Malay	27	1	4	1.15	7.87	0.146124523506989	low
384000320	USA, California, Los Angeles County: Chinese	20	1	4	0.76	7.87	0.096569250317662	low
168600199	Senegal, Dakar	99	1	4	0.72	7.87	0.0914866581956798	low
435600299	India, Bangalore	99	1	5	1.31	6.725	0.194795539033457	low
384000323	USA, California, Los Angeles County: Filipino	23	1	5	1.11	6.725	0.165055762081784	low
435600599	India, Nagpur	99	1	5	1.05	6.725	0.156133828996283	low
435600699	India, Poona	99	1	5	0.68	6.725	0.101115241635688	low
435600299	India, Bangalore	99	1	6	1.43	7.41	0.192982456140351	low
435600399	India, Mumbai	99	1	6	1.41	7.41	0.190283400809717	low
435600199	India, Ahmedabad	99	1	6	1.26	7.41	0.17004048582996	low
435600499	India, Chennai	99	1	6	1.1	7.41	0.148448043184885	low
476400199	Thailand, Chiang Mai	99	1	6	0.9	7.41	0.121457489878543	low
476400299	Thailand, Khon Kaen	99	1	6	0.79	7.41	0.106612685560054	low
415600299	China, Qidong City	99	1	6	0.69	7.41	0.0931174089068826	low
225009199	France, Martinique	99	1	6	0.49	7.41	0.0661268556005398	low
127000099	The Gambia	99	1	6	0.31	7.41	0.0418353576248313	low
101200199	Algeria, Sétif	99	1	6	0.22	7.41	0.0296896086369771	low
171600270	Zimbabwe, Harare: African	70	1	7	1.68	8.6	0.195348837209302	low
476400199	Thailand, Chiang Mai	99	1	7	1.57	8.6	0.182558139534884	low
146600199	Mali, Bamako	99	1	7	1.31	8.6	0.152325581395349	low
476400299	Thailand, Khon Kaen	99	1	7	1.22	8.6	0.141860465116279	low
435600299	India, Bangalore	99	1	7	1.15	8.6	0.133720930232558	low
435600499	India, Chennai	99	1	7	0.98	8.6	0.113953488372093	low
180000299	Uganda, Kyadondo County	99	1	7	0.96	8.6	0.111627906976744	low
435600999	India, Karunagappally	99	1	7	0.91	8.6	0.105813953488372	low
470400199	Viet Nam, Hanoi	99	1	7	0.62	8.6	0.072093023255814	low
415600299	China, Qidong City	99	1	7	0.5	8.6	0.0581395348837209	low
435600799	India, Barshi, Paranda, and Bhum	99	1	7	0.39	8.6	0.0453488372093023	low
101200199	Algeria, Sétif	99	1	7	0.29	8.6	0.0337209302325581	low
435600699	India, Poona	99	1	8	1.71	9.32	0.183476394849785	low
476400599	Thailand, Lampang	99	1	8	1.67	9.32	0.179184549356223	low
