country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	4	1	16.02	0.76	21.0789473684211	10	20	9
840	2	2	10.17	0.61	16.672131147541	23	45	8
840	5	2	5.69	0.42	13.547619047619	42	23	10
840	10	2	16.52	1.42	11.6338028169014	42	29	12
840	5	1	11.76	1.11	10.5945945945946	30	23	10
840	10	1	23.88	2.92	8.17808219178082	42	29	12
840	4	2	6.64	0.84	7.90476190476191	42	21	9
840	12	1	30.85	3.93	7.8498727735369	30	29	12
840	12	2	16.61	2.15	7.72558139534884	43	29	12
840	11	2	12.74	1.75	7.28	30	21	12
376	3	1	9.43	1.3	7.25384615384615	97	94	5
376	2	2	8.52	1.26	6.76190476190476	91	94	5
702	3	1	5.54	0.84	6.5952380952381	40	27	3
840	7	2	7.56	1.2	6.3	42	21	10
376	7	2	10.33	1.81	5.70718232044199	91	94	4
376	7	1	18.7	3.34	5.59880239520958	91	94	4
376	8	1	17.65	3.27	5.39755351681957	97	94	5
840	8	2	9.78	1.83	5.34426229508197	42	21	10
376	5	2	4.15	0.79	5.25316455696203	97	94	5
702	4	2	2.29	0.46	4.97826086956522	20	40	3
414	5	1	7.83	1.6	4.89375	26	25	2
376	8	2	9.35	1.95	4.7948717948718	97	94	5
840	8	1	19.22	4.29	4.48018648018648	42	22	10
840	7	1	14.86	3.36	4.42261904761905	10	20	10
840	6	1	12.76	3.06	4.16993464052288	30	23	9
840	9	1	16.4	4.14	3.96135265700483	30	20	11
840	11	1	22.21	5.72	3.88286713286713	42	20	12
840	1	2	3.65	0.95	3.84210526315789	10	21	3
376	4	1	9.76	2.56	3.8125	91	94	5
376	4	2	5.83	1.54	3.78571428571429	91	94	5
840	9	2	9.02	2.43	3.7119341563786	30	20	11
840	6	2	5.91	1.6	3.69375	30	22	9
702	4	1	4.16	1.15	3.61739130434783	20	27	3
376	9	2	6.35	1.77	3.58757062146893	90	94	2
702	5	2	1.46	0.42	3.47619047619048	20	40	3
702	7	2	2.99	0.91	3.28571428571429	40	27	3
702	9	1	6.35	1.98	3.20707070707071	20	40	3
554	10	2	5.63	1.77	3.18079096045198	28	29	2
414	12	1	5.41	1.73	3.1271676300578	25	26	2
376	5	1	7.67	2.49	3.08032128514056	97	94	5
840	3	1	11.57	3.91	2.95907928388747	42	23	9
376	6	2	4.44	1.53	2.90196078431373	97	94	5
414	10	1	4.42	1.58	2.79746835443038	25	26	2
840	2	1	10.13	3.74	2.70855614973262	10	85	8
376	2	1	8.11	3.01	2.69435215946844	97	94	5
414	11	1	4.66	1.74	2.67816091954023	25	26	2
414	6	2	2.88	1.18	2.4406779661017	26	25	2
840	1	1	8.01	3.33	2.40540540540541	10	45	3
414	8	1	3.77	1.59	2.37106918238994	25	26	2
376	6	1	7.77	3.29	2.36170212765957	91	94	5
702	6	2	2.18	0.93	2.34408602150538	40	27	3
36	12	1	14.57	6.24	2.3349358974359	63	62	2
414	7	1	4.9	2.13	2.30046948356808	26	25	2
376	9	1	12.7	5.62	2.25978647686833	90	94	2
702	8	1	5.98	2.78	2.15107913669065	20	40	3
554	5	2	3.03	1.41	2.14893617021277	36	29	3
