CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	156600199	Nigeria,  Ibadan	1.05	0.27	3.88888888888889	1.82958801498127	male_heavy
2	156600199	Nigeria,  Ibadan	1.41	0.14	10.0714285714286	1.86286353467562	male_heavy
2	534800199	Hungary,  Miskolc	4.27	0.97	4.4020618556701	1.86286353467562	male_heavy
2	439202299	Japan,  Okayama Prefecture	1.66	0.41	4.04878048780488	1.86286353467562	male_heavy
2	564200399	Romania,  Banat Region	1.99	2.26	0.880530973451327	1.86286353467562	female_heavy
2	238800199	Jamaica, Kingston and St Andrew	1.47	1.76	0.835227272727273	1.86286353467562	female_heavy
3	207600899	Brazil, Sao Paulo	2.4	2.86	0.839160839160839	1.90909090909091	female_heavy
4	439200399	Japan, Nagasaki Prefecture	6.64	1.54	4.31168831168831	1.96061012943767	male_heavy
4	575600399	Switzerland, Neuchâtel	5.49	5.97	0.919597989949749	1.96061012943767	female_heavy
4	168600199	Senegal, Dakar	0.72	0.9	0.8	1.96061012943767	female_heavy
4	312401599	Canada, Northwest Territories and Yukon	8.54	23.8	0.358823529411765	1.96061012943767	female_heavy
5	225009199	France, Martinique	2.36	0.31	7.61290322580645	1.97843665768194	male_heavy
5	435600299	India, Bangalore	1.31	1.94	0.675257731958763	1.97843665768194	female_heavy
6	207600299	Brazil, Goiânia	2.3	2.45	0.938775510204082	1.96491491491492	female_heavy
6	476400199	Thailand, Chiang Mai	0.9	1.12	0.803571428571429	1.96491491491492	female_heavy
6	127000099	The Gambia	0.31	0.47	0.659574468085106	1.96491491491492	female_heavy
6	225009199	France, Martinique	0.49	0.98	0.5	1.96491491491492	female_heavy
6	101200199	Algeria, Sétif	0.22	0.57	0.385964912280702	1.96491491491492	female_heavy
7	435600799	India, Barshi, Paranda, and Bhum	0.39	0.09	4.33333333333333	1.94630355682171	male_heavy
7	260400199	Peru, Trujillo	3.2	3.29	0.972644376899696	1.94630355682171	female_heavy
7	203200299	Argentina, Concordia	3.16	3.29	0.96048632218845	1.94630355682171	female_heavy
7	101200199	Algeria, Sétif	0.29	0.32	0.90625	1.94630355682171	female_heavy
7	146600199	Mali, Bamako	1.31	1.88	0.696808510638298	1.94630355682171	female_heavy
7	180000299	Uganda, Kyadondo County	0.96	1.98	0.484848484848485	1.94630355682171	female_heavy
8	101200299	Algeria, Algiers	1.49	1.54	0.967532467532467	1.95546489886113	female_heavy
8	225009199	France, Martinique	2.2	2.3	0.956521739130435	1.95546489886113	female_heavy
8	180000299	Uganda, Kyadondo County	1.19	1.47	0.80952380952381	1.95546489886113	female_heavy
8	146600199	Mali, Bamako	0.94	1.93	0.487046632124352	1.95546489886113	female_heavy
8	127000099	The Gambia	0.14	1.04	0.134615384615385	1.95546489886113	female_heavy
9	435600899	India, Trivandrum	1.6	0.34	4.70588235294118	2.00852732045688	male_heavy
9	101200199	Algeria, Sétif	0.71	1.29	0.550387596899225	2.00852732045688	female_heavy
10	435600999	India, Karunagappally	1.63	0.22	7.40909090909091	1.98193760262726	male_heavy
10	312400999	Canada, Yukon	4.71	0.81	5.81481481481481	1.98193760262726	male_heavy
10	435600899	India, Trivandrum	2.16	0.45	4.8	1.98193760262726	male_heavy
10	312400499	Canada, Northwest Territories	7.62	8.4	0.907142857142857	1.98193760262726	female_heavy
10	180000299	Uganda, Kyadondo County	1.67	2.07	0.806763285024155	1.98193760262726	female_heavy
10	171000199	South Africa, Eastern Cape	0.3	0.46	0.652173913043478	1.98193760262726	female_heavy
11	203200899	Argentina, Tierra del Fuego	11.81	1.94	6.08762886597938	1.96071428571429	male_heavy
11	684009899	USA, Pacific Islands	4.75	0.92	5.16304347826087	1.96071428571429	male_heavy
11	435602599	India, Cachar	1.12	0.23	4.86956521739131	1.96071428571429	male_heavy
11	415600899	China, Linzhou City	1.47	1.61	0.91304347826087	1.96071428571429	female_heavy
11	101200199	Algeria, Sétif	0.88	0.97	0.907216494845361	1.96071428571429	female_heavy
11	171000199	South Africa, Eastern Cape	0.31	0.35	0.885714285714286	1.96071428571429	female_heavy
11	312401399	Canada, Nunavut	10.36	13.29	0.779533483822423	1.96071428571429	female_heavy
11	435601899	India, Sikkim State	0.87	1.16	0.75	1.96071428571429	female_heavy
11	140400299	Kenya, Nairobi	1.25	2.07	0.603864734299517	1.96071428571429	female_heavy
11	312400999	Canada, Yukon	3.03	5.73	0.528795811518325	1.96071428571429	female_heavy
12	415601899	China, Yanting County	1.13	0.2	5.65	1.97634848327984	male_heavy
12	415625699	China, Yi'an District, Tongling City	2.22	0.56	3.96428571428571	1.97634848327984	male_heavy
12	415606299	China, Jingtai County	3.28	3.36	0.976190476190476	1.97634848327984	female_heavy
12	415615599	China, Hebi City	3.43	3.61	0.950138504155125	1.97634848327984	female_heavy
12	415601999	China, Yangzhong City	2.07	2.26	0.915929203539823	1.97634848327984	female_heavy
12	415617899	China, Langzhong City	1.62	1.8	0.9	1.97634848327984	female_heavy
12	140400299	Kenya, Nairobi	1.87	2.1	0.890476190476191	1.97634848327984	female_heavy
12	169000099	Seychelles	1.62	1.91	0.848167539267016	1.97634848327984	female_heavy
12	415619699	China, Meihekou City	2.1	2.51	0.836653386454183	1.97634848327984	female_heavy
12	415623699	China, Wanzai County	1.07	1.34	0.798507462686567	1.97634848327984	female_heavy
12	415626799	China, Yunyang District, Shiyan City	0.99	1.28	0.7734375	1.97634848327984	female_heavy
12	180000399	Uganda, Gulu	0.53	0.69	0.768115942028986	1.97634848327984	female_heavy
12	415615699	China, Hengfeng County	1.3	1.95	0.666666666666667	1.97634848327984	female_heavy
12	435603099	India, West Arunachal	0.43	0.77	0.558441558441558	1.97634848327984	female_heavy
12	171000199	South Africa, Eastern Cape	0.36	0.74	0.486486486486487	1.97634848327984	female_heavy
12	435602499	India, Meghalaya	0.29	0.69	0.420289855072464	1.97634848327984	female_heavy
12	435600799	India, Barshi, Paranda, and Bhum	0.17	0.63	0.26984126984127	1.97634848327984	female_heavy
