id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
101200199	Algeria, Sétif	99	2	5	6	0.07	11	1.14	0.07	6	2.5	10	1528.57142857143	inverted-U	1528.57142857143
437600094	Israel: Arabs	94	2	11	2	0.22	12	2.67	0.22	2	3.18	11	1113.63636363636	inverted-U	1113.63636363636
538006699	Italy, Ragusa	99	2	6	5	0.49	10	3.87	0.49	5	5.36	9	689.795918367347	inverted-U	689.795918367347
561600599	Poland, Warsaw City	99	2	8	2	0.91	9	4.1	0.91	2	4.1	9	350.549450549451	erratic	350.549450549451
572400499	Spain, Navarra	99	2	9	4	2.07	12	9.26	2.07	4	9.26	12	347.342995169082	erratic	347.342995169082
534800299	Hungary, County Szabolcs-Szatmar	99	2	5	2	0.34	6	1.34	0.34	2	1.34	6	294.117647058824	erratic	294.117647058824
570500099	Slovenia	99	2	12	1	1.38	12	5.19	1.38	1	5.19	12	276.086956521739	erratic	276.086956521739
470200020	Singapore: Chinese	20	2	10	1	0.59	12	1.9	0.59	1	2.92	4	222.033898305085	inverted-U	222.033898305085
561600299	Poland, Lower Silesia	99	2	5	6	1.6	11	5.03	1.6	6	5.03	11	214.375	rising	214.375
552800299	The Netherlands, Maastricht	99	2	4	6	2	9	5.81	2	6	5.81	9	190.5	rising	190.5
561600799	Poland, Kielce	99	2	6	7	1.54	12	4.22	1.54	7	4.22	12	174.025974025974	rising	174.025974025974
570300099	Slovakia	99	2	8	4	1.99	11	5.35	1.99	4	5.35	11	168.844221105528	rising	168.844221105528
538000399	Italy, Latina	99	2	4	6	2.05	11	5.37	2.05	6	5.37	11	161.951219512195	rising	161.951219512195
572400999	Spain, Albacete	99	2	5	7	1.68	11	4.32	1.68	7	4.32	11	157.142857142857	erratic	157.142857142857
552800099	The Netherlands	99	2	6	7	3.03	12	7.52	3.03	7	7.52	12	148.184818481848	erratic	148.184818481848
572400699	Spain, Basque Country	99	2	6	6	2.97	12	7.24	2.91	7	7.24	12	143.771043771044	U	143.771043771044
575600899	Switzerland, Valais	99	2	6	7	3.06	12	7.31	2.8	8	7.94	11	138.888888888889	U	138.888888888889
575600499	Switzerland, East	99	2	7	6	2.43	12	5.65	2.31	7	6.09	10	132.510288065844	U	132.510288065844
476400299	Thailand, Khon Kaen	99	2	6	6	0.3	12	0.69	0.3	6	0.88	10	130	inverted-U	130
561600199	Poland, Cracow	99	2	9	2	1.67	10	3.81	1.3	3	3.81	10	128.14371257485	U	128.14371257485
684009921	USA, Hawaii: Japanese	21	2	12	1	1.62	12	3.65	1.62	1	5.49	4	125.308641975309	inverted-U	125.308641975309
519100099	Croatia	99	2	6	7	2.46	12	5.46	2.46	7	5.46	12	121.951219512195	rising	121.951219512195
572400399	Spain, Murcia	99	2	7	6	2.57	12	5.67	2.57	6	5.67	12	120.622568093385	rising	120.622568093385
538000799	Italy, Romagna	99	2	6	6	3.38	11	7.41	3.38	6	7.41	11	119.230769230769	rising	119.230769230769
552800199	The Netherlands, Eindhoven	99	2	6	5	3.04	10	6.66	3.04	5	6.66	10	119.078947368421	rising	119.078947368421
547000099	Malta	99	2	7	3	2.11	12	4.62	2.11	3	5.8	10	118.957345971564	inverted-U	118.957345971564
572400799	Spain, Zaragoza	99	2	7	3	1.8	9	3.82	1.59	5	3.82	9	112.222222222222	U	112.222222222222
520300099	Czech Republic	99	2	7	6	2.81	12	5.82	2.81	6	5.82	12	107.11743772242	rising	107.11743772242
511200099	Belarus	99	2	7	6	1.15	12	2.35	1.15	6	2.35	12	104.347826086957	rising	104.347826086957
538002299	Italy, Genova	99	2	6	6	3.45	12	7.02	3.45	6	7.38	10	103.478260869565	inverted-U	103.478260869565
542800099	Latvia	99	2	7	6	1.76	12	3.58	1.76	6	3.66	11	103.409090909091	inverted-U	103.409090909091
439200499	Japan, Osaka Prefecture	99	2	10	3	1.76	12	3.54	1.68	9	3.54	12	101.136363636364	U	101.136363636364
557800099	Norway	99	2	12	1	3.01	12	6.03	3.01	1	6.03	12	100.332225913621	erratic	100.332225913621
538001299	Italy, Ferrara	99	2	5	7	4.05	11	8.06	4.05	7	8.06	11	99.0123456790124	rising	99.0123456790124
538000599	Italy, Parma	99	2	7	5	3.19	11	6.11	3.19	5	6.82	8	91.5360501567398	inverted-U	91.5360501567398
225009199	France, Martinique	99	2	7	5	0.67	12	1.27	0.67	5	1.76	10	89.5522388059702	inverted-U	89.5522388059702
572401199	Spain, Canary Islands	99	2	5	8	2.88	12	5.43	2.6	9	5.43	12	88.5416666666667	U	88.5416666666667
439200699	Japan, Yamagata Prefecture	99	2	5	6	1.5	11	2.81	1.5	6	2.81	11	87.3333333333333	rising	87.3333333333333
415603099	China, Hong Kong	99	2	8	4	8.18	11	1.12	1.12	11	8.18	4	-86.3080684596577	falling	86.3080684596577
534800399	Hungary, County Vas	99	2	5	2	1.12	6	2.08	0.31	3	2.08	6	85.7142857142857	U	85.7142857142857
