id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
101200199	Algeria, Sétif	99	1	5	6	0.78	11	9.62	0.36	7	9.62	11	1133.33333333333	U	1133.33333333333
439200299	Japan, Miyagi Prefecture	99	1	12	1	6.12	12	15.61	5.48	3	15.61	12	155.065359477124	U	155.065359477124
439200499	Japan, Osaka Prefecture	99	1	10	3	7.5	12	17.54	7.03	4	17.54	12	133.866666666667	U	133.866666666667
603600899	Australia, Northern Territory	99	1	5	8	9.14	12	17.24	7.69	9	17.24	12	88.6214442013129	U	88.6214442013129
572400499	Spain, Navarra	99	1	9	4	21.7	12	39.24	21.48	5	43.39	11	80.8294930875576	U	80.8294930875576
552800099	The Netherlands	99	1	6	7	15.16	12	26.91	13.9	10	30.23	8	77.5065963060686	U	77.5065963060686
435600499	India, Chennai	99	1	8	5	2.08	12	3.58	1.8	6	3.58	12	72.1153846153846	U	72.1153846153846
435600899	India, Trivandrum	99	1	6	7	17.63	12	4.94	1.94	9	17.63	7	-71.9795802609189	U	71.9795802609189
180000299	Uganda, Kyadondo County	99	1	7	1	8.54	12	2.71	2.02	11	8.54	1	-68.2669789227166	U	68.2669789227166
470200027	Singapore: Malay	27	1	9	3	5.19	12	8.66	3.85	5	8.66	12	66.859344894027	U	66.859344894027
441400026	Kuwait: Non-Kuwaitis	26	1	8	5	19.04	12	7	6.47	11	20.34	6	-63.2352941176471	U	63.2352941176471
570300099	Slovakia	99	1	8	4	12.15	11	18.77	11.88	5	18.77	11	54.4855967078189	U	54.4855967078189
603600799	Australia, Western Australia	99	1	8	5	18.42	12	8.39	8.3	11	18.42	5	-54.4516829533116	U	54.4516829533116
655400099	New Zealand	99	1	10	1	14.92	12	6.84	6.56	11	17.18	2	-54.1554959785523	U	54.1554959785523
523300099	Estonia	99	1	7	6	11.29	12	16.9	11.16	7	16.9	12	49.6899911426041	U	49.6899911426041
437600099	Israel	99	1	11	1	16.94	12	24.69	16.07	2	27.81	4	45.7497048406139	U	45.7497048406139
552800199	The Netherlands, Eindhoven	99	1	6	5	19.81	10	28.7	18.47	6	28.7	10	44.8763250883392	U	44.8763250883392
575600599	Switzerland, Vaud	99	1	9	4	19.17	12	27.67	13.4	5	29.31	11	44.34011476265	U	44.34011476265
238800199	Jamaica, Kingston and St Andrew	99	1	6	1	9.08	11	5.11	4.09	10	15.1	2	-43.7224669603524	U	43.7224669603524
603600399	Australia, Queensland	99	1	6	5	16.12	12	23.14	8.85	11	23.14	12	43.5483870967742	U	43.5483870967742
603600599	Australia, Tasmania	99	1	8	5	15.66	12	22.28	15.11	6	25.73	11	42.2733077905492	U	42.2733077905492
575600399	Switzerland, Neuchâtel	99	1	8	4	21.85	11	30.64	13.39	9	30.64	11	40.2288329519451	U	40.2288329519451
582603099	UK, Northern Ireland	99	1	5	8	12.99	12	18.21	11.77	9	19.31	11	40.1847575057737	U	40.1847575057737
525000199	France, Bas-Rhin	99	1	9	4	25.73	12	15.49	13.87	10	30.98	8	-39.7979012825496	U	39.7979012825496
384000322	USA, California, Los Angeles County: Korean	22	1	8	5	13.81	12	8.7	4.66	6	16.22	10	-37.0021723388849	U	37.0021723388849
384000330	USA, California, Los Angeles County: Black	30	1	9	4	16.91	12	11.19	9.1	7	16.91	4	-33.826138379657	U	33.826138379657
441400099	Kuwait	99	1	6	5	9.96	12	6.88	5.69	8	9.96	5	-30.9236947791165	U	30.9236947791165
312400299	Canada, British Columbia	99	1	10	3	29.48	12	20.7	11.17	5	29.48	3	-29.7829036635007	U	29.7829036635007
384000220	USA, California, San Francisco Bay Area: Chinese	20	1	6	3	12.11	11	8.56	6.84	9	15.25	4	-29.3146160198183	U	29.3146160198183
684009920	USA, Hawaii: Chinese	20	1	11	2	12.52	12	9.03	5.51	11	13.55	5	-27.8753993610224	U	27.8753993610224
312400999	Canada, Yukon	99	1	6	6	20.26	12	25.77	14.97	10	25.77	12	27.1964461994077	U	27.1964461994077
525001699	France, Manche	99	1	5	8	17.02	12	12.4	11.5	9	20.22	10	-27.144535840188	U	27.144535840188
415600399	China, Shanghai City	99	1	9	4	10.11	12	7.71	6.18	8	10.11	4	-23.7388724035608	U	23.7388724035608
527600299	Germany, Hamburg	99	1	7	3	19.12	12	23.58	14.77	5	24.7	11	23.326359832636	U	23.326359832636
384000999	USA, New Mexico	99	1	7	6	17.12	12	13.22	7.99	8	18.63	7	-22.7803738317757	U	22.7803738317757
575600299	Switzerland, Geneva	99	1	10	3	21.93	12	26.92	15.8	6	42.84	4	22.7542179662563	U	22.7542179662563
312400499	Canada, Northwest Territories	99	1	7	5	10.18	11	12.4	7.6	8	12.4	11	21.8074656188605	U	21.8074656188605
263000099	USA, Puerto Rico	99	1	11	1	11.36	12	9.01	7.85	6	12.64	4	-20.6866197183099	U	20.6866197183099
504000899	Austria, Vorarlberg	99	1	5	8	18.34	12	21.7	11.2	10	24.29	9	18.3206106870229	U	18.3206106870229
312401099	Canada, Ontario	99	1	9	3	26.23	12	21.47	12.74	11	26.23	3	-18.1471597407549	U	18.1471597407549
435600299	India, Bangalore	99	1	7	5	4.02	12	3.38	2.3	8	4.02	5	-15.9203980099502	U	15.9203980099502
435600699	India, Poona	99	1	7	4	2.88	12	3.33	2.21	11	3.49	8	15.625	U	15.625
538001499	Italy, Umbria	99	1	5	8	28.49	12	32.66	19.41	11	34.43	9	14.6367146367146	U	14.6367146367146
470200040	Singapore: Indian	40	1	9	3	5.81	12	6.56	3.75	4	6.56	12	12.9087779690189	U	12.9087779690189
384000942	USA, New Mexico: American Indian	42	1	7	3	4.25	12	4.78	2.23	5	4.78	12	12.4705882352941	U	12.4705882352941
312400899	Canada, Newfoundland and Labrador	99	1	12	1	18.72	12	20.79	8.83	2	25.93	4	11.0576923076923	U	11.0576923076923
575600199	Switzerland, Basel	99	1	6	5	27.81	12	24.88	11.98	7	27.81	5	-10.5357784969435	U	10.5357784969435
527603099	Germany, Saarland	99	1	10	3	12.85	12	14.08	12.76	9	24.89	10	9.57198443579767	U	9.57198443579767
538000499	Italy, Varese	99	1	9	4	32.92	12	35.87	22.36	11	36.15	8	8.96111786148237	U	8.96111786148237
384000230	USA, California, San Francisco Bay Area: Black	30	1	10	3	12.8	12	11.7	9.68	8	15.03	4	-8.59375000000001	U	8.59375000000001
603600699	Australia, Victoria	99	1	8	5	23.39	12	21.81	7.5	9	23.39	5	-6.75502351432237	U	6.75502351432237
384000321	USA, California, Los Angeles County: Japanese	21	1	7	4	13.51	10	12.76	6.55	7	13.51	4	-5.55144337527757	U	5.55144337527757
384000323	USA, California, Los Angeles County: Filipino	23	1	8	5	5.99	12	5.66	1.81	6	8.8	10	-5.50918196994992	U	5.50918196994992
