id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
215200099	Chile	99	1	1	2.09	13.49	0.154929577464789	low
470200020	Singapore: Chinese	20	1	1	1.92	13.49	0.142327650111193	low
684009923	USA, Hawaii: Filipino	23	1	2	2.42	14.76	0.163956639566396	low
655400028	New Zealand: Maori	28	1	2	0.92	14.76	0.0623306233062331	low
470200040	Singapore: Indian	40	1	4	3.75	20.24	0.185276679841897	low
384000942	USA, New Mexico: American Indian	42	1	4	3.63	20.24	0.179347826086957	low
168600199	Senegal, Dakar	99	1	4	3.57	20.24	0.176383399209486	low
435600699	India, Poona	99	1	4	2.88	20.24	0.142292490118577	low
435600699	India, Poona	99	1	5	2.84	14.49	0.1959972394755	low
460800399	Philippines, Rizal	99	1	5	2.8	14.49	0.193236714975845	low
384000942	USA, New Mexico: American Indian	42	1	5	2.23	14.49	0.153899240855763	low
435600499	India, Chennai	99	1	5	2.08	14.49	0.143547273982057	low
435600599	India, Nagpur	99	1	5	1.68	14.49	0.115942028985507	low
384000323	USA, California, Los Angeles County: Filipino	23	1	6	1.81	14.27	0.126839523475823	low
435600499	India, Chennai	99	1	6	1.8	14.27	0.126138752627891	low
127000099	The Gambia	99	1	6	1.26	14.27	0.0882971268395235	low
101200199	Algeria, Sétif	99	1	6	0.78	14.27	0.0546601261387526	low
207600799	Brazil, Belem	99	1	7	3.02	15.29	0.197514715500327	low
435600499	India, Chennai	99	1	7	2.83	15.29	0.185088293001962	low
260400199	Peru, Trujillo	99	1	7	2.8	15.29	0.183126226291694	low
435600999	India, Karunagappally	99	1	7	2.64	15.29	0.172661870503597	low
384000942	USA, New Mexico: American Indian	42	1	7	2.56	15.29	0.167429692609549	low
180000299	Uganda, Kyadondo County	99	1	7	2.39	15.29	0.156311314584696	low
470400199	Viet Nam, Hanoi	99	1	7	1.74	15.29	0.113799869195553	low
435600799	India, Barshi, Paranda, and Bhum	99	1	7	1.05	15.29	0.0686723348593852	low
101200199	Algeria, Sétif	99	1	7	0.36	15.29	0.0235448005232178	low
470400199	Viet Nam, Hanoi	99	1	8	3.14	15.94	0.196988707653701	low
476400499	Thailand, Songkhla	99	1	8	3.04	15.94	0.190715181932246	low
470400299	Viet Nam, Ho Chi Minh City	99	1	8	3	15.94	0.188205771643664	low
435600999	India, Karunagappally	99	1	8	2.98	15.94	0.186951066499373	low
180000299	Uganda, Kyadondo County	99	1	8	2.92	15.94	0.183186951066499	low
435600499	India, Chennai	99	1	8	2.72	15.94	0.170639899623588	low
435600199	India, Ahmedabad	99	1	8	2.53	15.94	0.158720200752823	low
435600599	India, Nagpur	99	1	8	2.53	15.94	0.158720200752823	low
435600299	India, Bangalore	99	1	8	2.3	15.94	0.144291091593476	low
435600899	India, Trivandrum	99	1	8	1.98	15.94	0.124215809284818	low
127000099	The Gambia	99	1	8	1.01	15.94	0.0633626097867001	low
445800199	Malaysia, Sarawak	99	1	9	3.14	17.29	0.181607865818392	low
180000299	Uganda, Kyadondo County	99	1	9	3.04	17.29	0.175824175824176	low
435600599	India, Nagpur	99	1	9	2.84	17.29	0.164256795835743	low
435600699	India, Poona	99	1	9	2.82	17.29	0.1631000578369	low
435600499	India, Chennai	99	1	9	2.77	17.29	0.160208212839792	low
435600899	India, Trivandrum	99	1	9	1.94	17.29	0.112203585887796	low
384005529	USA, Florida: Asian and Pacific Islander	29	1	10	3.22	17.08	0.188524590163934	low
384005229	USA, Arizona: Asian and Pacific Islander	29	1	10	3.18	17.08	0.186182669789227	low
435600499	India, Chennai	99	1	10	3.1	17.08	0.181498829039813	low
435600999	India, Karunagappally	99	1	10	3.04	17.08	0.177985948477752	low
476400299	Thailand, Khon Kaen	99	1	10	3.04	17.08	0.177985948477752	low
415601899	China, Yanting County	99	1	10	3	17.08	0.175644028103045	low
415603999	China, Yangcheng County	99	1	10	2.96	17.08	0.173302107728337	low
415600699	China, Cixian County	99	1	10	2.91	17.08	0.170374707259953	low
215200299	Chile, Bío Bío Province	99	1	10	2.82	17.08	0.165105386416862	low
180000299	Uganda, Kyadondo County	99	1	10	2.64	17.08	0.154566744730679	low
435601499	India, Bhopal	99	1	10	2.2	17.08	0.128805620608899	low
