country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
376	2	2	4.42	0.22	20.0909090909091	97	94	5
554	2	1	17.56	0.92	19.0869565217391	36	28	2
840	6	2	7.44	0.44	16.9090909090909	10	22	9
840	6	1	27.12	1.81	14.9834254143646	10	23	9
840	10	2	8.25	0.58	14.2241379310345	10	42	12
840	7	2	7.56	0.6	12.6	10	42	10
840	5	1	25.87	2.23	11.6008968609866	10	42	10
840	8	2	7.99	0.69	11.5797101449275	10	42	10
840	7	1	28.44	2.56	11.109375	10	42	10
840	2	1	25.6	2.42	10.5785123966942	10	23	8
840	9	2	7.9	0.76	10.3947368421053	10	42	11
840	4	1	35.74	3.63	9.84573002754821	10	42	9
840	10	1	31.23	3.18	9.82075471698113	10	29	12
840	12	1	26.96	2.94	9.17006802721088	10	42	12
840	12	2	7.75	0.96	8.07291666666667	10	42	12
376	6	2	5.83	0.74	7.87837837837838	91	94	5
840	11	2	8.38	1.07	7.83177570093458	10	42	12
840	9	1	28.82	3.69	7.81029810298103	10	42	11
840	11	1	26.61	3.66	7.27049180327869	10	42	12
840	8	1	27.98	4.07	6.87469287469287	10	42	10
376	7	2	9.39	1.37	6.85401459854015	91	94	4
840	3	1	27.81	4.25	6.54352941176471	10	42	9
702	4	2	2.92	0.48	6.08333333333333	20	27	3
702	3	2	3.73	0.71	5.25352112676056	40	27	3
414	5	2	8.46	1.74	4.86206896551724	26	25	2
414	5	1	19.04	4.43	4.2979683972912	26	25	2
554	5	1	19.72	4.61	4.27765726681128	29	28	3
36	10	2	5.03	1.23	4.08943089430894	63	62	2
840	1	2	6.58	1.62	4.06172839506173	10	21	3
414	6	2	6.78	1.74	3.89655172413793	26	25	2
36	12	1	19.12	4.98	3.83935742971888	63	62	2
376	4	2	6.2	1.63	3.80368098159509	90	94	5
840	3	2	8.53	2.3	3.70869565217391	20	85	9
554	3	1	15.7	4.29	3.65967365967366	36	28	2
414	6	1	20.34	5.65	3.6	26	25	2
376	7	1	45.08	13.05	3.4544061302682	91	94	4
376	5	2	5.12	1.5	3.41333333333333	91	94	5
376	9	2	5.26	1.66	3.16867469879518	90	94	2
554	6	1	12.71	4.48	2.83705357142857	36	28	2
414	8	2	5.36	1.93	2.77720207253886	26	25	2
376	8	2	5.96	2.15	2.77209302325581	97	94	5
554	4	1	18.45	6.71	2.74962742175857	36	28	2
376	3	2	6.42	2.36	2.72033898305085	91	96	5
702	4	1	10.13	3.75	2.70133333333333	20	40	3
702	9	2	2.03	0.77	2.63636363636364	27	40	3
376	4	1	29.23	11.25	2.59822222222222	90	94	5
376	6	1	23.27	9.11	2.5543358946213	97	94	5
414	7	1	17.47	6.99	2.49928469241774	26	25	2
702	7	2	1.99	0.82	2.42682926829268	20	27	3
840	1	1	19.44	8.07	2.4089219330855	10	21	3
554	11	2	3.42	1.54	2.22077922077922	28	29	2
702	12	2	2.55	1.2	2.125	40	27	3
554	3	2	7.58	3.69	2.05420054200542	28	36	2
702	5	1	7.84	3.85	2.03636363636364	20	27	3
376	2	1	17.63	8.66	2.03579676674365	97	94	5
