id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
538002299	Italy, Genova	99	1	6	6	0.12	12	0.98	0.12	6	1.06	8	716.666666666667	inverted-U	716.666666666667
439200699	Japan, Yamagata Prefecture	99	1	5	6	0.02	11	0.15	0	7	0.15	11	650	U	650
572401399	Spain, Cuenca	99	1	4	8	0.14	11	0.95	0.07	10	0.95	11	578.571428571429	U	578.571428571429
504000899	Austria, Vorarlberg	99	1	5	8	0.15	12	0.7	0.15	8	0.7	12	366.666666666667	erratic	366.666666666667
171600270	Zimbabwe, Harare: African	70	1	6	7	0.9	12	3.58	0.9	7	5.51	10	297.777777777778	inverted-U	297.777777777778
552800199	The Netherlands, Eindhoven	99	1	6	5	0.33	10	1.25	0.26	6	1.25	10	278.787878787879	U	278.787878787879
312400999	Canada, Yukon	99	1	6	6	1.01	12	3.66	0	10	3.66	12	262.376237623762	U	262.376237623762
534800399	Hungary, County Vas	99	1	5	2	0.18	6	0.55	0.1	3	0.86	5	205.555555555556	U	205.555555555556
575601199	Switzerland, Graubünden and Glarus	99	1	5	8	0.3	12	0.89	0.3	8	1.15	9	196.666666666667	inverted-U	196.666666666667
384005799	USA, Idaho	99	1	4	9	0.31	12	0.88	0.31	9	1.01	10	183.870967741936	inverted-U	183.870967741936
527600299	Germany, Hamburg	99	1	7	3	0.25	12	0.69	0.19	5	0.86	11	176	U	176
384005130	USA, Alabama: Black	30	1	4	9	0.15	12	0.39	0.15	9	0.43	11	160	inverted-U	160
603600399	Australia, Queensland	99	1	6	5	0.62	12	1.44	0.62	5	1.55	8	132.258064516129	inverted-U	132.258064516129
415600199	China, Beijing City	99	1	4	8	0.13	12	0.3	0.13	8	0.34	10	130.769230769231	inverted-U	130.769230769231
476400199	Thailand, Chiang Mai	99	1	7	6	0.29	12	0.66	0.18	7	0.66	12	127.586206896552	U	127.586206896552
215200199	Chile, Valdivia	99	1	4	9	0.36	12	0.8	0.17	11	0.8	12	122.222222222222	U	122.222222222222
564300199	Russian Federation, Saint Petersburg	99	1	4	6	0.28	10	0.61	0.28	6	0.61	10	117.857142857143	rising	117.857142857143
572400199	Spain, Tarragona	99	1	8	5	0.26	12	0.56	0.26	5	0.66	11	115.384615384615	inverted-U	115.384615384615
384000830	USA, Michigan, Detroit: Black	30	1	10	3	0.22	12	0.47	0.2	8	0.61	6	113.636363636364	U	113.636363636364
476400299	Thailand, Khon Kaen	99	1	6	6	0.11	12	0.23	0.11	6	0.45	10	109.090909090909	inverted-U	109.090909090909
684009910	USA, Hawaii: White	10	1	12	1	0.58	12	1.19	0.27	8	1.33	4	105.172413793103	U	105.172413793103
384000321	USA, California, Los Angeles County: Japanese	21	1	7	4	0.48	10	0	0	5	0.86	9	-100	inverted-U	100
470200040	Singapore: Indian	40	1	9	3	0.26	12	0	0	7	0.62	4	-100	inverted-U	100
435600899	India, Trivandrum	99	1	6	7	2.5	12	0.15	0.08	8	2.5	7	-94	U	94
384006330	USA, Missouri: Black	30	1	4	9	0.3	12	0.58	0.13	11	0.69	10	93.3333333333333	U	93.3333333333333
655400029	New Zealand: Pacific peoples	29	1	4	5	4.42	12	0.31	0.31	12	4.42	5	-92.9864253393665	falling	92.9864253393665
538001799	Italy, Biella	99	1	4	8	0.26	11	0.5	0.17	10	0.5	11	92.3076923076923	U	92.3076923076923
684009923	USA, Hawaii: Filipino	23	1	11	2	1.01	12	0.11	0	4	1.01	2	-89.1089108910891	U	89.1089108910891
435600699	India, Poona	99	1	7	4	0.28	12	0.04	0.04	11	0.32	5	-85.7142857142857	inverted-U	85.7142857142857
312401299	Canada, Saskatchewan	99	1	12	1	3.03	12	0.45	0.37	11	3.03	1	-85.1485148514852	U	85.1485148514852
582600499	UK, England, Oxford Region	99	1	9	2	0.4	10	0.74	0.4	2	0.82	8	85	inverted-U	85
538000499	Italy, Varese	99	1	9	4	1.72	12	0.26	0.26	12	1.72	4	-84.8837209302326	erratic	84.8837209302326
441000999	Republic of Korea, Jeju	99	1	4	9	0.32	12	0.05	0.05	12	0.32	9	-84.375	erratic	84.375
435600299	India, Bangalore	99	1	7	5	0.78	12	0.13	0.13	11	0.78	5	-83.3333333333333	erratic	83.3333333333333
441400099	Kuwait	99	1	6	5	0.41	12	0.07	0.03	10	0.41	5	-82.9268292682927	U	82.9268292682927
415600299	China, Qidong City	99	1	6	6	0.34	12	0.06	0.06	12	0.34	6	-82.3529411764706	erratic	82.3529411764706
538000899	Italy, Turin	99	1	7	6	0.54	12	0.1	0.1	12	0.99	8	-81.4814814814815	inverted-U	81.4814814814815
384000330	USA, California, Los Angeles County: Black	30	1	9	4	0.69	12	0.13	0.13	12	0.69	4	-81.1594202898551	erratic	81.1594202898551
538001299	Italy, Ferrara	99	1	5	7	0.77	11	0.16	0.16	11	0.77	7	-79.2207792207792	erratic	79.2207792207792
525001799	France, Vendée	99	1	4	9	0.47	12	0.84	0.29	11	0.84	12	78.7234042553192	U	78.7234042553192
