id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
439200699	Japan, Yamagata Prefecture	99	1	5	6	0.02	11	0.15	0	7	0.15	11	650	U	650
572401399	Spain, Cuenca	99	1	4	8	0.14	11	0.95	0.07	10	0.95	11	578.571428571429	U	578.571428571429
552800199	The Netherlands, Eindhoven	99	1	6	5	0.33	10	1.25	0.26	6	1.25	10	278.787878787879	U	278.787878787879
312400999	Canada, Yukon	99	1	6	6	1.01	12	3.66	0	10	3.66	12	262.376237623762	U	262.376237623762
534800399	Hungary, County Vas	99	1	5	2	0.18	6	0.55	0.1	3	0.86	5	205.555555555556	U	205.555555555556
527600299	Germany, Hamburg	99	1	7	3	0.25	12	0.69	0.19	5	0.86	11	176	U	176
476400199	Thailand, Chiang Mai	99	1	7	6	0.29	12	0.66	0.18	7	0.66	12	127.586206896552	U	127.586206896552
215200199	Chile, Valdivia	99	1	4	9	0.36	12	0.8	0.17	11	0.8	12	122.222222222222	U	122.222222222222
384000830	USA, Michigan, Detroit: Black	30	1	10	3	0.22	12	0.47	0.2	8	0.61	6	113.636363636364	U	113.636363636364
684009910	USA, Hawaii: White	10	1	12	1	0.58	12	1.19	0.27	8	1.33	4	105.172413793103	U	105.172413793103
435600899	India, Trivandrum	99	1	6	7	2.5	12	0.15	0.08	8	2.5	7	-94	U	94
384006330	USA, Missouri: Black	30	1	4	9	0.3	12	0.58	0.13	11	0.69	10	93.3333333333333	U	93.3333333333333
538001799	Italy, Biella	99	1	4	8	0.26	11	0.5	0.17	10	0.5	11	92.3076923076923	U	92.3076923076923
684009923	USA, Hawaii: Filipino	23	1	11	2	1.01	12	0.11	0	4	1.01	2	-89.1089108910891	U	89.1089108910891
312401299	Canada, Saskatchewan	99	1	12	1	3.03	12	0.45	0.37	11	3.03	1	-85.1485148514852	U	85.1485148514852
441400099	Kuwait	99	1	6	5	0.41	12	0.07	0.03	10	0.41	5	-82.9268292682927	U	82.9268292682927
525001799	France, Vendée	99	1	4	9	0.47	12	0.84	0.29	11	0.84	12	78.7234042553192	U	78.7234042553192
441400026	Kuwait: Non-Kuwaitis	26	1	8	5	0.27	12	0.06	0	7	0.4	9	-77.7777777777778	U	77.7777777777778
384000323	USA, California, Los Angeles County: Filipino	23	1	8	5	0.49	12	0.11	0	7	0.6	6	-77.5510204081633	U	77.5510204081633
