id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
312401299	Canada, Saskatchewan	99	1	1	3.03	0.76	3.98684210526316	high
534800199	Hungary,  Miskolc	99	1	2	0.18	0.91	0.197802197802198	low
534800399	Hungary, County Vas	99	1	2	0.18	0.91	0.197802197802198	low
238800199	Jamaica, Kingston and St Andrew	99	1	2	0.14	0.91	0.153846153846154	low
684009921	USA, Hawaii: Japanese	21	1	2	0.13	0.91	0.142857142857143	low
564200399	Romania,  Banat Region	99	1	2	0.12	0.91	0.131868131868132	low
207601599	Brazil, Recife	99	1	3	2.94	0.85	3.45882352941177	high
534800399	Hungary, County Vas	99	1	3	0.1	0.85	0.117647058823529	low
168600199	Senegal, Dakar	99	1	4	3.09	0.76	4.06578947368421	high
439200299	Japan, Miyagi Prefecture	99	1	4	0.05	0.76	0.0657894736842105	low
655400029	New Zealand: Pacific peoples	29	1	5	4.42	0.6	7.36666666666667	high
437600096	Israel: Jews born in Africa or Asia	96	1	5	0.08	0.6	0.133333333333333	low
435600599	India, Nagpur	99	1	5	0.04	0.6	0.0666666666666667	low
146600199	Mali, Bamako	99	1	6	1.84	0.6	3.06666666666667	high
476400299	Thailand, Khon Kaen	99	1	6	0.11	0.6	0.183333333333333	low
384000530	USA, Georgia, Atlanta: Black	30	1	6	0.09	0.6	0.15	low
441400026	Kuwait: Non-Kuwaitis	26	1	6	0.07	0.6	0.116666666666667	low
538006699	Italy, Ragusa	99	1	6	0.06	0.6	0.1	low
439200699	Japan, Yamagata Prefecture	99	1	6	0.02	0.6	0.0333333333333333	low
437600096	Israel: Jews born in Africa or Asia	96	1	7	3.02	0.67	4.50746268656716	high
435600899	India, Trivandrum	99	1	7	2.5	0.67	3.73134328358209	high
180000299	Uganda, Kyadondo County	99	1	7	2.29	0.67	3.41791044776119	high
437600091	Israel: Jews born in Israel	91	1	7	2.29	0.67	3.41791044776119	high
415600299	China, Qidong City	99	1	7	0.13	0.67	0.194029850746269	low
180000299	Uganda, Kyadondo County	99	1	8	2.88	0.565	5.09734513274336	high
171600270	Zimbabwe, Harare: African	70	1	8	2.18	0.565	3.85840707964602	high
575601099	Switzerland, Ticino	99	1	8	2.11	0.565	3.73451327433628	high
603600199	Australian Capital Territory	99	1	8	2.03	0.565	3.5929203539823	high
415600499	China, Tianjin	99	1	8	0.11	0.565	0.194690265486726	low
441400026	Kuwait: Non-Kuwaitis	26	1	8	0.11	0.565	0.194690265486726	low
435600899	India, Trivandrum	99	1	8	0.08	0.565	0.141592920353982	low
439200599	Japan, Saga Prefecture	99	1	8	0.08	0.565	0.141592920353982	low
441400025	Kuwait: Kuwaitis	25	1	8	0.06	0.565	0.106194690265487	low
441400099	Kuwait	99	1	8	0.06	0.565	0.106194690265487	low
171600270	Zimbabwe, Harare: African	70	1	9	3.82	0.61	6.26229508196721	high
180000299	Uganda, Kyadondo County	99	1	9	2.23	0.61	3.65573770491803	high
384000230	USA, California, San Francisco Bay Area: Black	30	1	9	0.11	0.61	0.180327868852459	low
435600699	India, Poona	99	1	9	0.1	0.61	0.163934426229508	low
384000530	USA, Georgia, Atlanta: Black	30	1	9	0.08	0.61	0.131147540983607	low
415601599	China, Nangang District, Harbin City	99	1	9	0.08	0.61	0.131147540983607	low
684009923	USA, Hawaii: Filipino	23	1	9	0.08	0.61	0.131147540983607	low
225009199	France, Martinique	99	1	9	0.06	0.61	0.0983606557377049	low
415600799	China, Jiashan County	99	1	9	0.06	0.61	0.0983606557377049	low
145400199	Malawi, Blantyre	99	1	10	7.43	0.59	12.5932203389831	high
171600270	Zimbabwe, Harare: African	70	1	10	5.51	0.59	9.33898305084746	high
180000299	Uganda, Kyadondo County	99	1	10	2.72	0.59	4.61016949152542	high
603600862	Australia, Northern Territory: Indigenous	62	1	10	2.09	0.59	3.54237288135593	high
207601199	Brazil, Aracaju	99	1	10	1.81	0.59	3.06779661016949	high
217000299	Colombia, Bucaramanga	99	1	10	1.79	0.59	3.03389830508475	high
384005829	USA, Illinois: Asian and Pacific Islander	29	1	10	0.11	0.59	0.186440677966102	low
384006030	USA, Massachusetts: Black	30	1	10	0.11	0.59	0.186440677966102	low
415600299	China, Qidong City	99	1	10	0.11	0.59	0.186440677966102	low
439200599	Japan, Saga Prefecture	99	1	10	0.11	0.59	0.186440677966102	low
384007729	USA, Virginia: Asian and Pacific Islander	29	1	10	0.1	0.59	0.169491525423729	low
445800299	Malaysia, Penang	99	1	10	0.1	0.59	0.169491525423729	low
384006229	USA, Michigan: Asian and Pacific Islander	29	1	10	0.09	0.59	0.152542372881356	low
215200299	Chile, Bío Bío Province	99	1	10	0.08	0.59	0.135593220338983	low
435600699	India, Poona	99	1	10	0.07	0.59	0.11864406779661	low
572401399	Spain, Cuenca	99	1	10	0.07	0.59	0.11864406779661	low
101200199	Algeria, Sétif	99	1	10	0.06	0.59	0.101694915254237	low
435601199	India, Dindigul, Ambilikkai	99	1	10	0.06	0.59	0.101694915254237	low
435601899	India, Sikkim State	99	1	10	0.06	0.59	0.101694915254237	low
441000999	Republic of Korea, Jeju	99	1	10	0.06	0.59	0.101694915254237	low
441400026	Kuwait: Non-Kuwaitis	26	1	10	0.06	0.59	0.101694915254237	low
415601899	China, Yanting County	99	1	10	0.05	0.59	0.0847457627118644	low
384007129	USA, Texas: Asian and Pacific Islander	29	1	10	0.04	0.59	0.0677966101694915	low
441400099	Kuwait	99	1	10	0.03	0.59	0.0508474576271187	low
171600270	Zimbabwe, Harare: African	70	1	11	4.77	0.535	8.91588785046729	high
180000299	Uganda, Kyadondo County	99	1	11	3.24	0.535	6.05607476635514	high
140400299	Kenya, Nairobi	99	1	11	1.94	0.535	3.62616822429907	high
415603299	China, Jianhu County	99	1	11	0.1	0.535	0.186915887850467	low
415605499	China, Hengdong County	99	1	11	0.1	0.535	0.186915887850467	low
415609399	China, Xianju County	99	1	11	0.1	0.535	0.186915887850467	low
441400099	Kuwait	99	1	11	0.1	0.535	0.186915887850467	low
384000230	USA, California, San Francisco Bay Area: Black	30	1	11	0.09	0.535	0.168224299065421	low
415605399	China, Hefei City	99	1	11	0.09	0.535	0.168224299065421	low
435602099	India, Wardha	99	1	11	0.09	0.535	0.168224299065421	low
476400599	Thailand, Lampang	99	1	11	0.09	0.535	0.168224299065421	low
404800046	Bahrain: Bahrainis	46	1	11	0.07	0.535	0.130841121495327	low
435602299	India, Tripura	99	1	11	0.07	0.535	0.130841121495327	low
435602599	India, Cachar	99	1	11	0.07	0.535	0.130841121495327	low
384006030	USA, Massachusetts: Black	30	1	11	0.06	0.535	0.11214953271028	low
415602599	China, Haimen District, Nantong City	99	1	11	0.06	0.535	0.11214953271028	low
