country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
376	3	2	3.81	0.07	54.4285714285714	91	94	5
376	4	2	1.33	0.08	16.625	91	96	5
414	8	2	0.59	0.05	11.8	26	25	2
376	5	1	0.82	0.08	10.25	94	96	5
376	5	2	0.85	0.11	7.72727272727273	94	96	5
554	5	2	2.14	0.28	7.64285714285714	29	28	3
554	5	1	4.42	0.6	7.36666666666667	29	28	3
376	3	1	2.05	0.31	6.61290322580645	91	96	5
376	6	1	1.14	0.2	5.7	91	96	5
414	11	1	0.16	0.03	5.33333333333333	26	25	2
554	7	1	1.28	0.25	5.12	36	28	2
414	10	2	0.15	0.03	5	26	25	2
376	4	1	1.33	0.28	4.75	90	91	5
376	8	2	0.52	0.12	4.33333333333333	94	96	5
414	6	1	0.3	0.07	4.28571428571429	25	26	2
376	7	1	3.02	0.72	4.19444444444444	96	94	4
554	3	1	1.28	0.36	3.55555555555556	36	28	2
554	4	1	1.19	0.34	3.5	36	28	2
376	7	2	1.11	0.32	3.46875	91	96	4
702	9	1	0.47	0.14	3.35714285714286	40	27	3
376	10	2	0.4	0.12	3.33333333333333	90	94	2
702	5	1	0.49	0.15	3.26666666666667	40	20	3
376	10	1	0.56	0.18	3.11111111111111	90	94	2
554	7	2	0.79	0.26	3.03846153846154	36	28	2
376	2	2	1.8	0.61	2.95081967213115	97	96	5
554	10	2	0.49	0.19	2.57894736842105	28	29	2
376	11	2	0.76	0.32	2.375	90	94	2
376	9	2	0.37	0.16	2.3125	90	94	2
414	12	2	0.13	0.06	2.16666666666667	25	26	2
376	8	1	0.6	0.28	2.14285714285714	97	96	5
554	12	2	0.36	0.17	2.11764705882353	28	29	2
414	6	2	0.23	0.11	2.09090909090909	25	26	2
