CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	684009999	USA, Hawaii	0.43	0.08	5.375	1.2289156626506	male_heavy
1	439200299	Japan, Miyagi Prefecture	0.77	0.18	4.27777777777778	1.2289156626506	male_heavy
1	312401299	Canada, Saskatchewan	3.03	0.93	3.25806451612903	1.2289156626506	male_heavy
1	150800399	Mozambique,  Lourenco Marques	2	3.73	0.536193029490617	1.2289156626506	female_heavy
1	238800199	Jamaica, Kingston and St Andrew	0.68	1.29	0.527131782945737	1.2289156626506	female_heavy
2	570500099	Slovenia	0.91	0.3	3.03333333333333	1.23643843257565	male_heavy
2	561600699	Poland, Warsaw Rural	1.65	0.58	2.8448275862069	1.23643843257565	male_heavy
2	312400599	Canada, New Brunswick	1.73	0.62	2.79032258064516	1.23643843257565	male_heavy
2	156600199	Nigeria,  Ibadan	0.26	0.48	0.541666666666667	1.23643843257565	female_heavy
2	534800199	Hungary,  Miskolc	0.18	0.51	0.352941176470588	1.23643843257565	female_heavy
2	561600599	Poland, Warsaw City	0.25	0.71	0.352112676056338	1.23643843257565	female_heavy
2	534800399	Hungary, County Vas	0.18	0.77	0.233766233766234	1.23643843257565	female_heavy
2	564200399	Romania,  Banat Region	0.12	0.54	0.222222222222222	1.23643843257565	female_heavy
3	527603099	Germany, Saarland	0.33	0.05	6.6	1.40816326530612	male_heavy
3	207601599	Brazil, Recife	2.94	0.51	5.76470588235294	1.40816326530612	male_heavy
3	439200499	Japan, Osaka Prefecture	0.55	0.13	4.23076923076923	1.40816326530612	male_heavy
3	575600299	Switzerland, Geneva	0.45	0.11	4.09090909090909	1.40816326530612	male_heavy
3	439200299	Japan, Miyagi Prefecture	0.28	0.07	4	1.40816326530612	male_heavy
3	534800299	Hungary, County Szabolcs-Szatmar	1.09	0.31	3.51612903225807	1.40816326530612	male_heavy
3	535200099	Iceland	1.54	0.53	2.90566037735849	1.40816326530612	male_heavy
3	156600199	Nigeria,  Ibadan	0.23	1.25	0.184	1.40816326530612	female_heavy
3	534800399	Hungary, County Vas	0.1	0.62	0.161290322580645	1.40816326530612	female_heavy
4	238800199	Jamaica, Kingston and St Andrew	1.27	0.29	4.37931034482759	1.26061120543294	male_heavy
4	312400899	Canada, Newfoundland and Labrador	0.99	0.28	3.53571428571429	1.26061120543294	male_heavy
4	168600199	Senegal, Dakar	3.09	1.18	2.61864406779661	1.26061120543294	male_heavy
4	575600399	Switzerland, Neuchâtel	0.41	0.66	0.621212121212121	1.26061120543294	female_heavy
4	570500099	Slovenia	0.26	0.44	0.590909090909091	1.26061120543294	female_heavy
4	582606799	United Kingdom, Scotland, N-E	0.62	1.32	0.46969696969697	1.26061120543294	female_heavy
5	538000599	Italy, Parma	0.4	0.09	4.44444444444444	1.24739073711676	male_heavy
5	582606699	United Kingdom, Scotland, North	1.11	0.27	4.11111111111111	1.24739073711676	male_heavy
5	218800099	Costa Rica	1.19	0.35	3.4	1.24739073711676	male_heavy
5	572400799	Spain, Zaragoza	0.44	0.13	3.38461538461538	1.24739073711676	male_heavy
5	603600799	Australia, Western Australia	1.6	0.53	3.0188679245283	1.24739073711676	male_heavy
5	572400499	Spain, Navarra	0.96	0.32	3	1.24739073711676	male_heavy
5	575600199	Switzerland, Basel	1.29	0.43	3	1.24739073711676	male_heavy
5	525000399	France, Doubs	1.2	0.4	3	1.24739073711676	male_heavy
