id_code	id_label	ethnic_code	CI5_volume	sex	peak_age_band	peak_rate	tot_cases	early_peak	bimodal
384000030	USA: Black	30	11	1	1	1.32230592057836	263	TRUE	TRUE
384000030	USA: Black	30	12	1	1	1.38948178634581	296	TRUE	TRUE
384002429	USA, SEER (18 registries): Asian and Pacific Islander	29	12	1	1	1.59947110822022	86	TRUE	TRUE
384002430	USA, SEER (18 registries): Black	30	12	2	1	1.45142445214775	79	TRUE	TRUE
384002529	USA, California: Asian and Pacific Islander	29	12	1	1	1.38308760476889	56	TRUE	TRUE
384008029	USA, NPCR: Asian and Pacific Islander	29	10	2	1	1.06290116214956	63	TRUE	TRUE
384008029	USA, NPCR: Asian and Pacific Islander	29	12	1	1	1.54343429908876	146	TRUE	TRUE
384008029	USA, NPCR: Asian and Pacific Islander	29	12	2	1	1.878684660612	127	TRUE	TRUE
384008030	USA, NPCR: Black	30	9	1	1	1.42033187115337	180	TRUE	TRUE
384008030	USA, NPCR: Black	30	11	1	1	1.31924130076241	257	TRUE	TRUE
384008030	USA, NPCR: Black	30	12	1	1	1.38851027918907	291	TRUE	TRUE
435600399	India, Mumbai	99	6	1	1	1.66501232749512	56	TRUE	TRUE
435601099	India, New Delhi	99	8	1	1	2.39777688223382	86	TRUE	TRUE
435601099	India, New Delhi	99	10	2	1	0.819353990967078	53	TRUE	TRUE
439200099	Japan	99	12	1	1	1.16190957312453	434	TRUE	TRUE
441000099	Republic of Korea	99	9	1	1	1.38774797601434	206	TRUE	TRUE
441000099	Republic of Korea	99	9	2	1	1.19937606157104	177	TRUE	TRUE
441000099	Republic of Korea	99	10	1	1	1.51747074586842	272	TRUE	TRUE
441000099	Republic of Korea	99	10	2	1	1.42100533350669	243	TRUE	TRUE
441000099	Republic of Korea	99	11	1	1	1.433147625502	306	TRUE	TRUE
441000099	Republic of Korea	99	11	2	1	1.22133828861409	271	TRUE	TRUE
441000099	Republic of Korea	99	12	1	1	1.27958699081948	331	TRUE	TRUE
441000099	Republic of Korea	99	12	2	1	1.42312705532388	281	TRUE	TRUE
441000399	Republic of Korea, Seoul	99	9	2	1	1.63139658186951	51	TRUE	TRUE
441000399	Republic of Korea, Seoul	99	10	1	1	1.35368640659962	60	TRUE	TRUE
441000399	Republic of Korea, Seoul	99	10	2	1	1.19512661512825	60	TRUE	TRUE
460800399	Philippines, Rizal	99	10	2	1	2.07416561229915	50	TRUE	TRUE
538000199	Italy, Tuscany	99	12	2	1	2.90419074724828	52	TRUE	TRUE
