id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
101200199	Algeria, Sétif	99	1	5	6	0.2	11	2.95	0.2	6	2.95	11	1375	rising	1375
439200299	Japan, Miyagi Prefecture	99	1	12	1	0.37	12	3.09	0.37	1	3.21	2	735.135135135135	inverted-U	735.135135135135
435600799	India, Barshi, Paranda, and Bhum	99	1	4	7	0.36	12	2.91	0.36	7	2.91	12	708.333333333333	rising	708.333333333333
180000299	Uganda, Kyadondo County	99	1	7	1	0.22	12	1.72	0.22	1	2.27	11	681.818181818182	inverted-U	681.818181818182
470200040	Singapore: Indian	40	1	9	3	0.92	12	3.12	0.92	3	3.12	12	239.130434782609	erratic	239.130434782609
221800199	Ecuador, Quito	99	1	7	6	1.87	12	5.94	1.87	6	5.94	12	217.647058823529	rising	217.647058823529
534800399	Hungary, County Vas	99	1	5	2	1.95	6	5.66	1.95	2	5.66	6	190.25641025641	erratic	190.25641025641
435600699	India, Poona	99	1	7	4	1.23	12	3.52	1.23	4	3.65	10	186.178861788618	inverted-U	186.178861788618
561600199	Poland, Cracow	99	1	9	2	2.89	10	8.24	2.89	2	8.76	3	185.121107266436	inverted-U	185.121107266436
441400025	Kuwait: Kuwaitis	25	1	8	5	1.13	12	2.96	1.13	5	5.19	8	161.946902654867	inverted-U	161.946902654867
384000223	USA, California, San Francisco Bay Area: Filipino	23	1	4	5	1.12	11	2.92	1.12	5	5.35	7	160.714285714286	inverted-U	160.714285714286
312400799	Canada, Prince Edward Island	99	1	8	5	2.65	12	6.45	2.65	5	7.71	10	143.396226415094	inverted-U	143.396226415094
435600399	India, Mumbai	99	1	11	2	1.52	12	3.58	1.37	3	3.73	9	135.526315789474	U	135.526315789474
570300099	Slovakia	99	1	8	4	3.73	11	8.29	3.73	4	8.29	11	122.252010723861	erratic	122.252010723861
384000321	USA, California, Los Angeles County: Japanese	21	1	7	4	3.06	10	6.71	1.05	8	6.71	10	119.281045751634	U	119.281045751634
207600299	Brazil, Goiânia	99	1	7	6	3.22	12	6.7	3.22	6	10.53	10	108.074534161491	inverted-U	108.074534161491
525000299	France, Calvados	99	1	8	5	2.51	12	5.2	2.51	5	6.79	11	107.171314741036	inverted-U	107.171314741036
476400599	Thailand, Lampang	99	1	5	8	1.21	12	2.49	1.06	9	2.92	11	105.785123966942	U	105.785123966942
542800099	Latvia	99	1	7	6	4.03	12	8.16	3.92	7	8.96	11	102.481389578164	U	102.481389578164
435600299	India, Bangalore	99	1	7	5	2.02	12	4.06	2.02	5	4.07	10	100.990099009901	inverted-U	100.990099009901
435600499	India, Chennai	99	1	8	5	1.51	12	2.99	1.51	5	3.22	10	98.0132450331126	inverted-U	98.0132450331126
415600299	China, Qidong City	99	1	6	6	2.68	12	5.15	2.68	6	5.15	12	92.1641791044776	rising	92.1641791044776
217000199	Colombia, Cali	99	1	12	1	2.93	12	5.61	2.93	1	5.77	10	91.4675767918089	inverted-U	91.4675767918089
655400028	New Zealand: Maori	28	1	9	2	3.25	12	6.07	3.25	2	9.19	4	86.7692307692308	inverted-U	86.7692307692308
511200099	Belarus	99	1	7	6	3	12	5.55	3	6	5.65	11	85	inverted-U	85
207600899	Brazil, Sao Paulo	99	1	5	3	3.29	10	6.06	3.29	3	8.04	9	84.1945288753799	inverted-U	84.1945288753799
435600999	India, Karunagappally	99	1	4	7	2.29	10	4.15	1.92	8	4.15	10	81.2227074235808	U	81.2227074235808
439200199	Japan, Hiroshima Prefecture	99	1	8	5	2.03	12	3.66	2.03	5	3.66	12	80.2955665024631	erratic	80.2955665024631
263000099	USA, Puerto Rico	99	1	11	1	2.36	12	4.24	2.36	1	4.77	8	79.6610169491526	inverted-U	79.6610169491526
575601099	Switzerland, Ticino	99	1	5	8	3.66	12	6.56	3.66	8	7.42	9	79.2349726775956	inverted-U	79.2349726775956
525001799	France, Vendée	99	1	4	9	4.23	12	7.49	4.23	9	7.49	12	77.0685579196217	rising	77.0685579196217
435600899	India, Trivandrum	99	1	6	7	11.62	12	2.85	2.44	8	11.62	7	-75.473321858864	U	75.473321858864
470200020	Singapore: Chinese	20	1	10	1	1.72	12	2.99	1.69	5	2.99	12	73.8372093023256	U	73.8372093023256
460800399	Philippines, Rizal	99	1	5	5	1.37	11	2.33	1.37	5	2.96	10	70.0729927007299	inverted-U	70.0729927007299
384000942	USA, New Mexico: American Indian	42	1	7	3	8.35	12	2.59	1.83	5	8.35	3	-68.9820359281437	U	68.9820359281437
476400199	Thailand, Chiang Mai	99	1	7	6	1.47	12	2.48	1.39	8	3	11	68.7074829931973	U	68.7074829931973
603600899	Australia, Northern Territory	99	1	5	8	4.04	12	6.57	4.04	8	6.57	12	62.6237623762376	erratic	62.6237623762376
476400499	Thailand, Songkhla	99	1	5	8	1.95	12	3.13	1.47	9	3.13	12	60.5128205128205	U	60.5128205128205
171600270	Zimbabwe, Harare: African	70	1	6	7	2.27	12	3.56	1.63	9	3.56	12	56.8281938325991	U	56.8281938325991
437600094	Israel: Arabs	94	1	11	2	10.18	12	4.47	2.65	7	10.18	2	-56.090373280943	U	56.090373280943
