id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
435600399	India, Mumbai	99	1	11	2	1.52	12	3.58	1.37	3	3.73	9	135.526315789474	U	135.526315789474
384000321	USA, California, Los Angeles County: Japanese	21	1	7	4	3.06	10	6.71	1.05	8	6.71	10	119.281045751634	U	119.281045751634
476400599	Thailand, Lampang	99	1	5	8	1.21	12	2.49	1.06	9	2.92	11	105.785123966942	U	105.785123966942
542800099	Latvia	99	1	7	6	4.03	12	8.16	3.92	7	8.96	11	102.481389578164	U	102.481389578164
435600999	India, Karunagappally	99	1	4	7	2.29	10	4.15	1.92	8	4.15	10	81.2227074235808	U	81.2227074235808
435600899	India, Trivandrum	99	1	6	7	11.62	12	2.85	2.44	8	11.62	7	-75.473321858864	U	75.473321858864
470200020	Singapore: Chinese	20	1	10	1	1.72	12	2.99	1.69	5	2.99	12	73.8372093023256	U	73.8372093023256
384000942	USA, New Mexico: American Indian	42	1	7	3	8.35	12	2.59	1.83	5	8.35	3	-68.9820359281437	U	68.9820359281437
476400199	Thailand, Chiang Mai	99	1	7	6	1.47	12	2.48	1.39	8	3	11	68.7074829931973	U	68.7074829931973
476400499	Thailand, Songkhla	99	1	5	8	1.95	12	3.13	1.47	9	3.13	12	60.5128205128205	U	60.5128205128205
171600270	Zimbabwe, Harare: African	70	1	6	7	2.27	12	3.56	1.63	9	3.56	12	56.8281938325991	U	56.8281938325991
437600094	Israel: Arabs	94	1	11	2	10.18	12	4.47	2.65	7	10.18	2	-56.090373280943	U	56.090373280943
684009920	USA, Hawaii: Chinese	20	1	11	2	2.08	12	3.15	1.71	9	6.32	8	51.4423076923077	U	51.4423076923077
437600090	Israel: Jews	90	1	11	2	13.18	12	6.52	5.74	7	13.18	2	-50.5311077389985	U	50.5311077389985
437600099	Israel	99	1	11	1	12.38	12	6.3	5.35	7	12.91	2	-49.1114701130856	U	49.1114701130856
384000320	USA, California, Los Angeles County: Chinese	20	1	9	4	4.38	12	2.32	2.02	6	5.22	5	-47.0319634703196	U	47.0319634703196
437600097	Israel: Jews born in Europe or America	97	1	6	2	15.53	8	8.27	8.17	6	15.53	2	-46.7482292337412	U	46.7482292337412
415600499	China, Tianjin	99	1	4	5	4.68	8	6.66	3.97	6	6.66	8	42.3076923076923	U	42.3076923076923
384000530	USA, Georgia, Atlanta: Black	30	1	9	4	3.03	12	4.28	2.85	8	4.28	12	41.2541254125413	U	41.2541254125413
655400029	New Zealand: Pacific peoples	29	1	4	5	9.67	12	5.69	5.19	10	9.67	5	-41.158221302999	U	41.158221302999
570500099	Slovenia	99	1	12	1	4.62	12	6.48	3.72	2	6.48	12	40.2597402597403	U	40.2597402597403
238800199	Jamaica, Kingston and St Andrew	99	1	6	1	2.5	11	1.52	1.08	10	4.75	2	-39.2	U	39.2
312400399	Canada, Manitoba	99	1	12	1	9.23	12	5.8	5.49	11	9.66	2	-37.1614301191766	U	37.1614301191766
535200099	Iceland	99	1	10	1	9.34	12	5.89	5.41	11	10.03	3	-36.9379014989293	U	36.9379014989293
575600299	Switzerland, Geneva	99	1	10	3	10.02	12	6.48	4.46	5	10.02	3	-35.3293413173653	U	35.3293413173653
527600299	Germany, Hamburg	99	1	7	3	4.52	12	6.02	3.62	5	6.16	11	33.1858407079646	U	33.1858407079646
384000710	USA, Louisiana, New Orleans: White	10	1	9	4	8.49	12	5.7	5.46	10	8.49	4	-32.8621908127209	U	32.8621908127209
384000230	USA, California, San Francisco Bay Area: Black	30	1	10	3	5.6	12	3.76	3.4	11	6.37	4	-32.8571428571429	U	32.8571428571429
384000250	USA, California, San Francisco Bay Area: Hispanic White	50	1	6	7	7.1	12	5.04	4.64	9	7.1	7	-29.0140845070423	U	29.0140845070423
603600499	Australia, South Australia	99	1	9	4	9.67	12	6.88	6.26	7	9.67	4	-28.852119958635	U	28.852119958635
384000220	USA, California, San Francisco Bay Area: Chinese	20	1	6	3	3.94	11	2.84	1.76	5	3.94	3	-27.9187817258883	U	27.9187817258883
384000322	USA, California, Los Angeles County: Korean	22	1	8	5	2.48	12	1.79	1.41	7	3.7	6	-27.8225806451613	U	27.8225806451613
575200099	Sweden	99	1	11	1	8.46	12	6.14	5.7	9	11.14	3	-27.4231678486998	U	27.4231678486998
384000510	USA, Georgia, Atlanta: White	10	1	9	4	9.39	12	6.83	6.22	10	9.39	4	-27.2630457933972	U	27.2630457933972
520800099	Denmark	99	1	12	1	8.9	12	6.51	6.28	9	9.77	6	-26.8539325842697	U	26.8539325842697
525000799	France, Tarn	99	1	7	6	4.78	12	5.91	3.49	7	6.79	10	23.6401673640167	U	23.6401673640167
504000899	Austria, Vorarlberg	99	1	5	8	6.69	12	5.22	3.81	11	6.76	10	-21.9730941704036	U	21.9730941704036
439200499	Japan, Osaka Prefecture	99	1	10	3	3.73	12	2.97	2.43	10	3.73	3	-20.3753351206434	U	20.3753351206434
312400899	Canada, Newfoundland and Labrador	99	1	12	1	6.97	12	5.61	4.89	6	7.41	11	-19.5121951219512	U	19.5121951219512
439200699	Japan, Yamagata Prefecture	99	1	5	6	3.48	11	2.83	1.79	7	3.48	6	-18.6781609195402	U	18.6781609195402
572400199	Spain, Tarragona	99	1	8	5	5.07	12	6.01	4.61	7	7.49	8	18.5404339250493	U	18.5404339250493
525000499	France, Haut-Rhin	99	1	6	7	5.82	12	6.86	4.06	10	6.86	12	17.8694158075601	U	17.8694158075601
538001799	Italy, Biella	99	1	4	8	6.65	11	5.66	3.8	9	6.65	8	-14.8872180451128	U	14.8872180451128
384000330	USA, California, Los Angeles County: Black	30	1	9	4	4.59	12	3.91	3.24	9	6.36	5	-14.8148148148148	U	14.8148148148148
384000323	USA, California, Los Angeles County: Filipino	23	1	8	5	2.47	12	2.83	1.51	6	4.06	7	14.5748987854251	U	14.5748987854251
684009921	USA, Hawaii: Japanese	21	1	12	1	2.15	12	1.84	1.8	10	4.1	6	-14.4186046511628	U	14.4186046511628
476400299	Thailand, Khon Kaen	99	1	6	6	2.09	12	1.79	1.39	10	2.69	8	-14.3540669856459	U	14.3540669856459
384000730	USA, Louisiana, New Orleans: Black	30	1	9	4	5.39	12	4.71	3.05	10	5.46	6	-12.6159554730983	U	12.6159554730983
437600096	Israel: Jews born in Africa or Asia	96	1	7	2	8.72	8	7.63	3.52	7	11.6	5	-12.5	U	12.5
384000999	USA, New Mexico	99	1	7	6	5.4	12	4.73	3.12	8	5.79	10	-12.4074074074074	U	12.4074074074074
603600199	Australian Capital Territory	99	1	6	5	6.77	11	5.97	5.06	6	8.5	8	-11.8168389955687	U	11.8168389955687
415600799	China, Jiashan County	99	1	5	8	4.75	12	5.25	4.04	9	6.34	10	10.5263157894737	U	10.5263157894737
525001699	France, Manche	99	1	5	8	6.15	12	5.53	4.25	9	7.05	11	-10.0813008130081	U	10.0813008130081
439200399	Japan, Nagasaki Prefecture	99	1	8	4	3.2	11	2.88	1.81	5	3.4	6	-10	U	10
415603099	China, Hong Kong	99	1	8	4	3.16	11	2.88	2.02	5	4.34	7	-8.86075949367089	U	8.86075949367089
534800299	Hungary, County Szabolcs-Szatmar	99	1	5	2	3.32	6	3.5	1.76	4	3.5	6	5.42168674698796	U	5.42168674698796
572401399	Spain, Cuenca	99	1	4	8	7.46	11	7.06	4.77	10	7.46	8	-5.36193029490617	U	5.36193029490617
415600399	China, Shanghai City	99	1	9	4	4.51	12	4.71	3.62	5	5.67	9	4.43458980044346	U	4.43458980044346
538000499	Italy, Varese	99	1	9	4	6.19	12	6.46	5.47	5	8.29	9	4.36187399030694	U	4.36187399030694
538000599	Italy, Parma	99	1	7	5	7.27	11	7	5.32	6	9.36	9	-3.71389270976616	U	3.71389270976616
470200027	Singapore: Malay	27	1	9	3	3.1	12	2.99	1.38	9	3.1	3	-3.54838709677419	U	3.54838709677419
684009923	USA, Hawaii: Filipino	23	1	11	2	3.45	12	3.57	2.31	6	4.45	3	3.47826086956521	U	3.47826086956521
384005099	USA, Alaska	99	1	4	9	5.92	12	6.12	4.73	10	7.6	11	3.37837837837838	U	3.37837837837838
470200040	Singapore: Indian	40	1	9	3	0.92	12	3.12	0.92	3	3.12	12	239.130434782609	erratic	239.130434782609
534800399	Hungary, County Vas	99	1	5	2	1.95	6	5.66	1.95	2	5.66	6	190.25641025641	erratic	190.25641025641
570300099	Slovakia	99	1	8	4	3.73	11	8.29	3.73	4	8.29	11	122.252010723861	erratic	122.252010723861
439200199	Japan, Hiroshima Prefecture	99	1	8	5	2.03	12	3.66	2.03	5	3.66	12	80.2955665024631	erratic	80.2955665024631
603600899	Australia, Northern Territory	99	1	5	8	4.04	12	6.57	4.04	8	6.57	12	62.6237623762376	erratic	62.6237623762376
441000999	Republic of Korea, Jeju	99	1	4	9	2.68	12	4.05	2.68	9	4.05	12	51.1194029850746	erratic	51.1194029850746
525000399	France, Doubs	99	1	9	4	4.95	12	7.12	4.95	4	7.42	11	43.8383838383838	erratic	43.8383838383838
470200099	Singapore	99	1	5	7	2.18	12	3.02	2.14	9	3.02	12	38.5321100917431	erratic	38.5321100917431
603600799	Australia, Western Australia	99	1	8	5	5.05	12	6.82	5.05	5	6.82	12	35.0495049504951	erratic	35.0495049504951
552800299	The Netherlands, Maastricht	99	1	4	6	4.76	9	6.18	4.76	6	6.33	7	29.8319327731092	erratic	29.8319327731092
415601499	China, Zhongshan City	99	1	4	9	1.89	12	2.44	1.89	9	2.62	11	29.1005291005291	erratic	29.1005291005291
312401299	Canada, Saskatchewan	99	1	12	1	4.55	12	5.85	4.55	1	6.73	8	28.5714285714286	erratic	28.5714285714286
572400499	Spain, Navarra	99	1	9	4	10.26	12	7.34	7.34	12	10.26	4	-28.4600389863548	erratic	28.4600389863548
603600599	Australia, Tasmania	99	1	8	5	6.07	12	7.78	6.07	5	8.6	11	28.171334431631	erratic	28.171334431631
384000830	USA, Michigan, Detroit: Black	30	1	10	3	4.95	12	3.56	3.56	12	4.95	3	-28.0808080808081	erratic	28.0808080808081
384000350	USA, California, Los Angeles County: Hispanic White	50	1	8	5	5.93	12	4.38	4.3	11	5.93	5	-26.1382799325464	erratic	26.1382799325464
538006699	Italy, Ragusa	99	1	6	5	6.47	10	8.02	5.62	7	8.02	10	23.9567233384853	erratic	23.9567233384853
312400299	Canada, British Columbia	99	1	10	3	8.16	12	6.29	5.89	10	8.16	3	-22.9166666666667	erratic	22.9166666666667
225009199	France, Martinique	99	1	7	5	3.51	12	2.73	2.64	6	3.75	11	-22.2222222222222	erratic	22.2222222222222
384000950	USA, New Mexico: Hispanic White	50	1	7	5	5.17	12	4.04	3.92	11	5.17	5	-21.8568665377176	erratic	21.8568665377176
