id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
215200099	Chile	99	1	1	1.06	5.55	0.190990990990991	low
439200299	Japan, Miyagi Prefecture	99	1	1	0.37	5.55	0.0666666666666667	low
180000299	Uganda, Kyadondo County	99	1	1	0.22	5.55	0.0396396396396396	low
470200040	Singapore: Indian	40	1	3	0.92	6	0.153333333333333	low
435600699	India, Poona	99	1	4	1.23	6.42	0.191588785046729	low
439200299	Japan, Miyagi Prefecture	99	1	4	1.05	6.42	0.163551401869159	low
435600599	India, Nagpur	99	1	5	1.09	5.49	0.198542805100182	low
252809999	Netherlands, Antilles	99	1	5	0.51	5.49	0.092896174863388	low
260400199	Peru, Trujillo	99	1	6	0.6	5.36	0.111940298507463	low
101200199	Algeria, Sétif	99	1	6	0.2	5.36	0.0373134328358209	low
146600199	Mali, Bamako	99	1	6	0.08	5.36	0.0149253731343284	low
101200199	Algeria, Sétif	99	1	7	0.62	5.63	0.1101243339254	low
146600199	Mali, Bamako	99	1	7	0.48	5.63	0.0852575488454707	low
180000299	Uganda, Kyadondo County	99	1	7	0.45	5.63	0.0799289520426288	low
435600799	India, Barshi, Paranda, and Bhum	99	1	7	0.36	5.63	0.063943161634103	low
384000321	USA, California, Los Angeles County: Japanese	21	1	8	1.05	5.905	0.177815410668925	low
180000299	Uganda, Kyadondo County	99	1	8	0.76	5.905	0.128704487722269	low
470400199	Viet Nam, Hanoi	99	1	8	0.69	5.905	0.116850127011008	low
127000099	The Gambia	99	1	8	0.06	5.905	0.0101608806096528	low
476400599	Thailand, Lampang	99	1	9	1.06	5.87	0.180579216354344	low
101200199	Algeria, Sétif	99	1	9	0.7	5.87	0.119250425894378	low
180000299	Uganda, Kyadondo County	99	1	9	0.64	5.87	0.109028960817717	low
238800199	Jamaica, Kingston and St Andrew	99	1	10	1.08	5.89	0.183361629881155	low
171000199	South Africa, Eastern Cape	99	1	10	0.34	5.89	0.0577249575551783	low
145400199	Malawi, Blantyre	99	1	10	0.13	5.89	0.0220713073005093	low
435602299	India, Tripura	99	1	11	0.85	5.835	0.145672664952871	low
169000099	Seychelles	99	1	11	0.68	5.835	0.116538131962297	low
435602599	India, Cachar	99	1	11	0.44	5.835	0.0754070265638389	low
384006930	USA, Rhode Island: Black	30	1	11	0.4	5.835	0.0685518423307626	low
171000199	South Africa, Eastern Cape	99	1	11	0.19	5.835	0.0325621251071123	low
435601799	India, Manipur	99	1	12	0.83	5.25	0.158095238095238	low
180000399	Uganda, Gulu	99	1	12	0.75	5.25	0.142857142857143	low
435602499	India, Meghalaya	99	1	12	0.54	5.25	0.102857142857143	low
435603099	India, West Arunachal	99	1	12	0.4	5.25	0.0761904761904762	low
171000199	South Africa, Eastern Cape	99	1	12	0.25	5.25	0.0476190476190476	low
215200099	Chile	99	2	1	0.71	4.23	0.167848699763593	low
439200299	Japan, Miyagi Prefecture	99	2	1	0.46	4.23	0.108747044917258	low
180000299	Uganda, Kyadondo County	99	2	1	0.24	4.23	0.0567375886524823	low
437600091	Israel: Jews born in Israel	91	2	2	13.94	4.45	3.13258426966292	high
437600091	Israel: Jews born in Israel	91	2	3	16.05	4.49	3.57461024498886	high
156600199	Nigeria,  Ibadan	99	2	3	0.75	4.49	0.167037861915368	low
470200040	Singapore: Indian	40	2	3	0.68	4.49	0.151447661469933	low
470200040	Singapore: Indian	40	2	4	0.91	4.575	0.198907103825137	low
439200299	Japan, Miyagi Prefecture	99	2	4	0.89	4.575	0.194535519125683	low
684009923	USA, Hawaii: Filipino	23	2	4	0.34	4.575	0.0743169398907104	low
437600096	Israel: Jews born in Africa or Asia	96	2	5	16.58	4.08	4.06372549019608	high
470200027	Singapore: Malay	27	2	5	0.68	4.08	0.166666666666667	low
384000942	USA, New Mexico: American Indian	42	2	5	0.34	4.08	0.0833333333333333	low
684009923	USA, Hawaii: Filipino	23	2	5	0.33	4.08	0.0808823529411765	low
435600599	India, Nagpur	99	2	5	0.11	4.08	0.0269607843137255	low
435600199	India, Ahmedabad	99	2	6	0.69	3.97	0.173803526448363	low
146600199	Mali, Bamako	99	2	6	0.36	3.97	0.0906801007556675	low
101200199	Algeria, Sétif	99	2	6	0.29	3.97	0.0730478589420655	low
101200199	Algeria, Sétif	99	2	7	0.6	4.03	0.148883374689826	low
180000299	Uganda, Kyadondo County	99	2	7	0.34	4.03	0.0843672456575682	low
684009920	USA, Hawaii: Chinese	20	2	7	0.31	4.03	0.0769230769230769	low
146600199	Mali, Bamako	99	2	7	0.25	4.03	0.0620347394540943	low
435600799	India, Barshi, Paranda, and Bhum	99	2	7	0.19	4.03	0.0471464019851117	low
470400199	Viet Nam, Hanoi	99	2	8	0.5	4.06	0.123152709359606	low
476400599	Thailand, Lampang	99	2	8	0.48	4.06	0.118226600985222	low
180000299	Uganda, Kyadondo County	99	2	8	0.4	4.06	0.0985221674876848	low
127000099	The Gambia	99	2	8	0.24	4.06	0.0591133004926109	low
146600199	Mali, Bamako	99	2	8	0.06	4.06	0.0147783251231527	low
180000299	Uganda, Kyadondo County	99	2	9	0.68	4.25	0.16	low
435601999	India, Mizoram	99	2	10	0.74	4.185	0.176821983273596	low
684009920	USA, Hawaii: Chinese	20	2	10	0.48	4.185	0.114695340501792	low
145400199	Malawi, Blantyre	99	2	10	0.28	4.185	0.0669056152927121	low
171000199	South Africa, Eastern Cape	99	2	10	0.19	4.185	0.045400238948626	low
435600199	India, Ahmedabad	99	2	11	0.78	4.28	0.182242990654206	low
435601199	India, Dindigul, Ambilikkai	99	2	11	0.74	4.28	0.172897196261682	low
435602099	India, Wardha	99	2	11	0.73	4.28	0.170560747663551	low
435602299	India, Tripura	99	2	11	0.68	4.28	0.158878504672897	low
603600862	Australia, Northern Territory: Indigenous	62	2	11	0.65	4.28	0.151869158878505	low
384000221	USA, California, San Francisco Bay Area: Japanese	21	2	11	0.56	4.28	0.130841121495327	low
171000199	South Africa, Eastern Cape	99	2	11	0.35	4.28	0.0817757009345794	low
435602599	India, Cachar	99	2	11	0.23	4.28	0.0537383177570094	low
684009920	USA, Hawaii: Chinese	20	2	11	0.12	4.28	0.0280373831775701	low
435603099	India, West Arunachal	99	2	12	0.79	4.07	0.194103194103194	low
140400199	Kenya, Eldoret	99	2	12	0.73	4.07	0.179361179361179	low
171600170	Zimbabwe, Bulawayo: African	70	2	12	0.66	4.07	0.162162162162162	low
435601699	India, Dibrugarh	99	2	12	0.64	4.07	0.157248157248157	low
435601799	India, Manipur	99	2	12	0.62	4.07	0.152334152334152	low
435602499	India, Meghalaya	99	2	12	0.56	4.07	0.137592137592138	low
171000199	South Africa, Eastern Cape	99	2	12	0.33	4.07	0.0810810810810811	low
684009920	USA, Hawaii: Chinese	20	2	12	0.13	4.07	0.0319410319410319	low
