country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	11	2	5.82	0.12	48.5	10	20	12
840	12	2	5.63	0.13	43.3076923076923	60	20	12
840	5	2	8.41	0.33	25.4848484848485	83	23	10
840	11	1	7.75	0.4	19.375	60	30	12
840	4	2	6.43	0.34	18.9117647058824	45	23	9
840	7	2	5.84	0.31	18.8387096774194	10	20	10
840	10	2	6.4	0.48	13.3333333333333	43	20	12
840	3	2	7.77	0.92	8.44565217391304	83	42	9
840	5	1	9.24	1.12	8.25	83	23	10
840	8	1	8.01	1.05	7.62857142857143	60	21	10
840	6	2	6.12	0.83	7.37349397590362	10	21	9
840	7	1	8.72	1.38	6.31884057971015	10	21	10
840	9	2	5.49	0.89	6.1685393258427	10	21	11
840	6	1	9.19	1.51	6.08609271523179	10	23	9
840	10	1	8.31	1.41	5.8936170212766	42	29	12
36	11	2	3.51	0.65	5.4	63	62	2
414	6	2	5.75	1.07	5.37383177570094	26	25	2
376	5	2	16.58	3.31	5.00906344410876	96	94	5
840	8	2	5.41	1.11	4.87387387387387	10	42	10
840	9	1	8.23	1.71	4.81286549707602	10	20	11
376	7	1	12.07	2.65	4.55471698113208	91	94	4
36	10	1	6.63	1.49	4.4496644295302	63	62	2
840	12	1	7.5	1.79	4.18994413407821	60	22	12
376	6	2	9.99	2.56	3.90234375	91	94	5
840	1	2	4.22	1.1	3.83636363636364	45	21	3
840	4	1	9.76	2.57	3.79766536964981	10	21	9
376	3	2	16.05	4.26	3.76760563380282	91	94	5
840	2	2	4.77	1.32	3.61363636363636	23	21	8
840	2	1	7.3	2.08	3.50961538461538	10	20	8
376	7	2	8.55	2.44	3.50409836065574	91	94	4
376	4	2	10.18	2.96	3.43918918918919	91	94	5
702	3	1	3.1	0.92	3.3695652173913	27	40	3
414	5	1	3.15	1.13	2.78761061946903	26	25	2
414	6	1	6.21	2.23	2.7847533632287	26	25	2
702	3	2	1.84	0.68	2.70588235294118	20	40	3
840	1	1	5.64	2.15	2.62325581395349	10	21	3
840	3	1	8.77	3.42	2.56432748538012	83	21	9
702	5	2	1.74	0.68	2.55882352941176	40	27	3
376	8	2	6.22	2.46	2.52845528455285	97	94	5
376	2	2	13.94	5.8	2.40344827586207	91	94	5
376	4	1	11.38	4.77	2.38574423480084	97	94	5
554	2	1	7.66	3.25	2.35692307692308	36	28	2
702	7	2	2.41	1.07	2.25233644859813	40	27	3
376	3	1	15.14	6.79	2.22974963181149	91	94	5
702	8	2	2.42	1.14	2.12280701754386	27	40	3
376	5	1	11.6	5.49	2.11293260473588	96	94	5
702	4	2	1.89	0.91	2.07692307692308	20	40	3
376	6	1	9.91	4.81	2.06029106029106	91	94	5
36	12	2	3.11	1.54	2.01948051948052	63	62	2
702	10	2	2.36	1.17	2.01709401709402	20	27	3
554	3	1	7.65	3.82	2.00261780104712	36	28	2
