CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
2	238800199	Jamaica, Kingston and St Andrew	4.75	1.53	3.10457516339869	1.3033028642622	male_heavy
3	582606499	UK,  Scotland:  Ayrshire	4.42	1.32	3.34848484848485	1.36767676767677	male_heavy
3	575600299	Switzerland, Geneva	10.02	3.34	3	1.36767676767677	male_heavy
5	435600599	India, Nagpur	1.09	0.11	9.90909090909091	1.3698296836983	male_heavy
5	538006699	Italy, Ragusa	6.47	1.77	3.65536723163842	1.3698296836983	male_heavy
5	312400499	Canada, Northwest Territories	1.83	4.11	0.445255474452555	1.3698296836983	female_heavy
5	252809999	Netherlands, Antilles	0.51	1.69	0.301775147928994	1.3698296836983	female_heavy
6	312400499	Canada, Northwest Territories	5.23	1.76	2.97159090909091	1.39808153477218	male_heavy
6	101200199	Algeria, Sétif	0.2	0.29	0.689655172413793	1.39808153477218	female_heavy
6	260400199	Peru, Trujillo	0.6	1.47	0.408163265306122	1.39808153477218	female_heavy
6	146600199	Mali, Bamako	0.08	0.36	0.222222222222222	1.39808153477218	female_heavy
7	312400999	Canada, Yukon	11.63	1.13	10.2920353982301	1.38352941176471	male_heavy
7	625009899	French Polynesia	3.07	4.63	0.663066954643629	1.38352941176471	female_heavy
8	575601099	Switzerland, Ticino	3.66	5.9	0.620338983050847	1.38662790697674	female_heavy
8	127000099	The Gambia	0.06	0.24	0.25	1.38662790697674	female_heavy
9	476400599	Thailand, Lampang	1.06	2.22	0.477477477477478	1.35938640623459	female_heavy
9	101200199	Algeria, Sétif	0.7	1.59	0.440251572327044	1.35938640623459	female_heavy
10	312400499	Canada, Northwest Territories	2.87	4.47	0.642058165548098	1.35342481729125	female_heavy
10	238800199	Jamaica, Kingston and St Andrew	1.08	1.87	0.577540106951872	1.35342481729125	female_heavy
10	145400199	Malawi, Blantyre	0.13	0.28	0.464285714285714	1.35342481729125	female_heavy
11	203200899	Argentina, Tierra del Fuego	1.45	2.59	0.55984555984556	1.34883720930233	female_heavy
11	171000199	South Africa, Eastern Cape	0.19	0.35	0.542857142857143	1.34883720930233	female_heavy
11	312401399	Canada, Nunavut	1.2	3.74	0.320855614973262	1.34883720930233	female_heavy
11	312400499	Canada, Northwest Territories	1.3	4.17	0.311750599520384	1.34883720930233	female_heavy
11	169000099	Seychelles	0.68	2.46	0.276422764227642	1.34883720930233	female_heavy
12	538003199	Italy, Nuoro	6.25	2.14	2.92056074766355	1.306	male_heavy
12	538001599	Italy, Sassari	7.96	2.97	2.68013468013468	1.306	male_heavy
12	120400199	Benin, Cotonou	2.25	0.86	2.61627906976744	1.306	male_heavy
12	415611399	China, Arongqi	3.24	5.04	0.642857142857143	1.306	female_heavy
12	415610299	China, Yueyanglou District, Yueyang City	2.1	3.33	0.630630630630631	1.306	female_heavy
12	415613599	China, Evenki Autonomous Banner	4.38	8.58	0.510489510489511	1.306	female_heavy
12	435603099	India, West Arunachal	0.4	0.79	0.506329113924051	1.306	female_heavy
12	312400999	Canada, Yukon	2.77	6.22	0.445337620578778	1.306	female_heavy
