id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
415600799	China, Jiashan County	99	1	5	8	0.59	12	17.55	0.59	8	17.55	12	2874.57627118644	rising	2874.57627118644
415600299	China, Qidong City	99	1	6	6	0.11	12	2.75	0.11	6	2.75	12	2400	rising	2400
415600199	China, Beijing City	99	1	4	8	0.65	12	12.92	0.65	8	12.92	12	1887.69230769231	rising	1887.69230769231
415600999	China, Wuhan City	99	1	4	8	0.76	12	12.73	0.76	8	12.73	12	1575	rising	1575
415601599	China, Nangang District, Harbin City	99	1	4	9	0.71	12	11.59	0.71	9	11.59	12	1532.39436619718	rising	1532.39436619718
538000399	Italy, Latina	99	1	4	6	0.65	11	10.28	0.65	6	10.28	11	1481.53846153846	rising	1481.53846153846
655400029	New Zealand: Pacific peoples	29	1	4	5	0.4	12	5	0.4	5	6.99	11	1150	inverted-U	1150
441000299	Republic of Korea, Busan	99	1	5	8	1.59	12	17.79	1.59	8	17.79	12	1018.8679245283	rising	1018.8679245283
441000499	Republic of Korea, Daegu	99	1	5	8	1.77	12	19.49	1.74	9	19.49	12	1001.12994350282	U	1001.12994350282
561600599	Poland, Warsaw City	99	1	8	2	0.11	9	1.19	0.11	2	1.44	8	981.818181818182	inverted-U	981.818181818182
441000399	Republic of Korea, Seoul	99	1	5	8	1.87	12	20.2	1.87	8	22.76	11	980.213903743315	inverted-U	980.213903743315
572400999	Spain, Albacete	99	1	5	7	0.17	11	1.83	0.17	7	1.83	11	976.470588235294	rising	976.470588235294
263000099	USA, Puerto Rico	99	1	11	1	0.88	12	9.37	0.66	2	9.37	12	964.772727272727	U	964.772727272727
655400028	New Zealand: Maori	28	1	9	2	0.43	12	4.42	0.43	2	4.46	10	927.906976744186	inverted-U	927.906976744186
525000799	France, Tarn	99	1	7	6	0.56	12	5.72	0.56	6	5.72	12	921.428571428571	rising	921.428571428571
437600091	Israel: Jews born in Israel	91	1	7	2	0.34	8	3.38	0.34	2	6.3	3	894.117647058824	inverted-U	894.117647058824
180000299	Uganda, Kyadondo County	99	1	7	1	0.07	12	0.67	0.07	1	1.73	10	857.142857142857	inverted-U	857.142857142857
384000322	USA, California, Los Angeles County: Korean	22	1	8	5	0.67	12	6.25	0.54	6	6.25	12	832.835820895522	U	832.835820895522
441001199	Republic of Korea, Incheon	99	1	4	9	1.86	12	16.43	1.86	9	16.43	12	783.333333333333	rising	783.333333333333
441000599	Republic of Korea, Daejeon	99	1	4	9	2.16	12	18.6	2.16	9	22.19	11	761.111111111111	inverted-U	761.111111111111
441000099	Republic of Korea	99	1	4	9	2.27	12	18.03	2.27	9	18.31	11	694.273127753304	inverted-U	694.273127753304
479200199	Turkey, Izmir	99	1	4	9	1.08	12	8.15	1.08	9	8.15	12	654.62962962963	rising	654.62962962963
470200020	Singapore: Chinese	20	1	10	1	0.5	12	3.72	0.5	1	3.72	12	644	erratic	644
312400199	Canada, Alberta	99	1	12	1	0.69	12	5.07	0.54	2	5.07	12	634.782608695652	U	634.782608695652
441000899	Republic of Korea, Ulsan	99	1	4	9	2.39	12	17.32	2.39	9	17.32	12	624.686192468619	rising	624.686192468619
538000599	Italy, Parma	99	1	7	5	1.27	11	8.76	1.27	5	8.76	11	589.763779527559	rising	589.763779527559
511200099	Belarus	99	1	7	6	0.65	12	4.3	0.65	6	4.3	12	561.538461538462	erratic	561.538461538462
547000099	Malta	99	1	7	3	0.87	12	5.34	0.52	7	5.34	12	513.793103448276	U	513.793103448276
572400499	Spain, Navarra	99	1	9	4	0.75	12	4.38	0.32	5	5.14	11	484	U	484
525000599	France, Isère	99	1	8	5	1.46	12	8.49	1.09	6	8.49	12	481.506849315069	U	481.506849315069
538000199	Italy, Tuscany	99	1	7	6	1.83	12	10.49	1.83	6	10.49	12	473.224043715847	rising	473.224043715847
441001099	Republic of Korea, Gwangju	99	1	4	9	3.62	12	20.53	3.62	9	24.29	11	467.127071823204	inverted-U	467.127071823204
312400599	Canada, New Brunswick	99	1	10	1	1	12	5.67	0.86	5	5.93	11	467	U	467
312401099	Canada, Ontario	99	1	9	3	1.48	12	8.17	1.47	5	8.17	12	452.027027027027	U	452.027027027027
415601499	China, Zhongshan City	99	1	4	9	0.95	12	5.24	0.95	9	5.24	12	451.578947368421	rising	451.578947368421
384000499	USA, Connecticut	99	1	10	1	1.43	12	7.8	1.03	2	7.8	12	445.454545454546	U	445.454545454546
603600299	Australia, NSW/ACT	99	1	9	4	1.09	12	5.82	1.09	4	5.82	12	433.94495412844	rising	433.94495412844
538006699	Italy, Ragusa	99	1	6	5	0.79	10	4.21	0.79	5	4.21	10	432.911392405063	rising	432.911392405063
312401199	Canada, Quebec	99	1	9	2	1.17	12	6.23	1.17	2	6.23	12	432.478632478633	rising	432.478632478633
561600799	Poland, Kielce	99	1	6	7	0.6	12	3.12	0.6	7	3.12	12	420	rising	420
