id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
684009945	USA, Hawaii: Hawaiian	45	1	1	6.83	1.13	6.04424778761062	high
684009910	USA, Hawaii: White	10	1	1	6.72	1.13	5.94690265486726	high
684009999	USA, Hawaii	99	1	1	4.27	1.13	3.7787610619469	high
217000199	Colombia, Cali	99	1	1	4.08	1.13	3.61061946902655	high
180000299	Uganda, Kyadondo County	99	1	1	0.07	1.13	0.0619469026548673	low
684009945	USA, Hawaii: Hawaiian	45	1	2	6.21	1.02	6.08823529411765	high
684009923	USA, Hawaii: Filipino	23	1	2	5.86	1.02	5.74509803921569	high
684009910	USA, Hawaii: White	10	1	2	5.71	1.02	5.59803921568627	high
217000199	Colombia, Cali	99	1	2	4.26	1.02	4.17647058823529	high
684009920	USA, Hawaii: Chinese	20	1	2	4.03	1.02	3.95098039215686	high
384010010	Usa, California, Alameda County: White	10	1	2	3.3	1.02	3.23529411764706	high
564200399	Romania,  Banat Region	99	1	2	0.12	1.02	0.117647058823529	low
561600599	Poland, Warsaw City	99	1	2	0.11	1.02	0.107843137254902	low
535200099	Iceland	99	1	3	6.32	1.29	4.89922480620155	high
437600091	Israel: Jews born in Israel	91	1	3	6.3	1.29	4.88372093023256	high
684009923	USA, Hawaii: Filipino	23	1	3	6.29	1.29	4.87596899224806	high
437600090	Israel: Jews	90	1	3	5.04	1.29	3.90697674418605	high
437600097	Israel: Jews born in Europe or America	97	1	3	4.88	1.29	3.78294573643411	high
437600099	Israel	99	1	3	4.84	1.29	3.75193798449612	high
684009920	USA, Hawaii: Chinese	20	1	3	4.69	1.29	3.63565891472868	high
684009945	USA, Hawaii: Hawaiian	45	1	3	4.34	1.29	3.36434108527132	high
684009921	USA, Hawaii: Japanese	21	1	3	4.18	1.29	3.24031007751938	high
534800299	Hungary, County Szabolcs-Szatmar	99	1	3	0.23	1.29	0.178294573643411	low
684009920	USA, Hawaii: Chinese	20	1	4	10.15	1.61	6.30434782608696	high
684009923	USA, Hawaii: Filipino	23	1	4	8.34	1.61	5.18012422360248	high
684009945	USA, Hawaii: Hawaiian	45	1	4	7.84	1.61	4.8695652173913	high
684009921	USA, Hawaii: Japanese	21	1	4	6.61	1.61	4.1055900621118	high
561600699	Poland, Warsaw Rural	99	1	4	0.15	1.61	0.093167701863354	low
684009920	USA, Hawaii: Chinese	20	1	5	8.75	1.37	6.38686131386861	high
684009923	USA, Hawaii: Filipino	23	1	5	6.09	1.37	4.44525547445255	high
684009945	USA, Hawaii: Hawaiian	45	1	5	5.85	1.37	4.27007299270073	high
535200099	Iceland	99	1	5	5.59	1.37	4.08029197080292	high
684009921	USA, Hawaii: Japanese	21	1	5	5.29	1.37	3.86131386861314	high
384000223	USA, California, San Francisco Bay Area: Filipino	23	1	5	5.16	1.37	3.76642335766423	high
441400026	Kuwait: Non-Kuwaitis	26	1	5	4.2	1.37	3.06569343065693	high
684009920	USA, Hawaii: Chinese	20	1	6	8.08	1.31	6.16793893129771	high
684009923	USA, Hawaii: Filipino	23	1	6	6.57	1.31	5.01526717557252	high
535200099	Iceland	99	1	6	6.19	1.31	4.72519083969466	high
684009945	USA, Hawaii: Hawaiian	45	1	6	5.36	1.31	4.09160305343511	high
384000323	USA, California, Los Angeles County: Filipino	23	1	6	4.58	1.31	3.49618320610687	high
684009921	USA, Hawaii: Japanese	21	1	6	4.26	1.31	3.25190839694656	high
415600299	China, Qidong City	99	1	6	0.11	1.31	0.083969465648855	low
127000099	The Gambia	99	1	6	0.1	1.31	0.0763358778625954	low
535200099	Iceland	99	1	7	6.06	1.48	4.09459459459459	high
437600091	Israel: Jews born in Israel	91	1	7	5.75	1.48	3.88513513513514	high
684009923	USA, Hawaii: Filipino	23	1	7	5.08	1.48	3.43243243243243	high
441400026	Kuwait: Non-Kuwaitis	26	1	7	4.79	1.48	3.23648648648649	high
572400999	Spain, Albacete	99	1	7	0.17	1.48	0.114864864864865	low
101200199	Algeria, Sétif	99	1	7	0.16	1.48	0.108108108108108	low
146600199	Mali, Bamako	99	1	7	0.14	1.48	0.0945945945945946	low
415600299	China, Qidong City	99	1	7	0.14	1.48	0.0945945945945946	low
684009923	USA, Hawaii: Filipino	23	1	8	5.04	1.65	3.05454545454545	high
384000323	USA, California, Los Angeles County: Filipino	23	1	8	4.97	1.65	3.01212121212121	high
435600199	India, Ahmedabad	99	1	8	0.28	1.65	0.16969696969697	low
415600299	China, Qidong City	99	1	8	0.21	1.65	0.127272727272727	low
146600199	Mali, Bamako	99	1	8	0.11	1.65	0.0666666666666667	low
435600599	India, Nagpur	99	1	9	0.39	2.24	0.174107142857143	low
441001099	Republic of Korea, Gwangju	99	1	10	13.17	2.84	4.63732394366197	high
538000399	Italy, Latina	99	1	10	9.79	2.84	3.44718309859155	high
538001299	Italy, Ferrara	99	1	10	9.56	2.84	3.36619718309859	high
684009923	USA, Hawaii: Filipino	23	1	10	9.29	2.84	3.27112676056338	high
538001099	Italy, Modena	99	1	10	9.2	2.84	3.23943661971831	high
435600699	India, Poona	99	1	10	0.51	2.84	0.179577464788732	low
435601199	India, Dindigul, Ambilikkai	99	1	10	0.5	2.84	0.176056338028169	low
145400199	Malawi, Blantyre	99	1	10	0.46	2.84	0.161971830985916	low
435600799	India, Barshi, Paranda, and Bhum	99	1	10	0.43	2.84	0.151408450704225	low
415600299	China, Qidong City	99	1	10	0.4	2.84	0.140845070422535	low
415603999	China, Yangcheng County	99	1	10	0.32	2.84	0.112676056338028	low
203200899	Argentina, Tierra del Fuego	99	1	10	0.28	2.84	0.0985915492957747	low
171000199	South Africa, Eastern Cape	99	1	10	0.26	2.84	0.0915492957746479	low
415601899	China, Yanting County	99	1	10	0.12	2.84	0.0422535211267606	low
441001099	Republic of Korea, Gwangju	99	1	11	24.29	3.42	7.10233918128655	high
441000399	Republic of Korea, Seoul	99	1	11	22.76	3.42	6.65497076023392	high
441000599	Republic of Korea, Daejeon	99	1	11	22.19	3.42	6.48830409356725	high
441000499	Republic of Korea, Daegu	99	1	11	19.41	3.42	5.67543859649123	high
441000099	Republic of Korea	99	1	11	18.31	3.42	5.35380116959064	high
207600599	Brazil, Florianopolis	99	1	11	16.65	3.42	4.86842105263158	high
441000899	Republic of Korea, Ulsan	99	1	11	16.49	3.42	4.82163742690058	high
441000999	Republic of Korea, Jeju	99	1	11	14.7	3.42	4.29824561403509	high
441001199	Republic of Korea, Incheon	99	1	11	14.67	3.42	4.28947368421053	high
441000299	Republic of Korea, Busan	99	1	11	13.15	3.42	3.84502923976608	high
538001099	Italy, Modena	99	1	11	10.63	3.42	3.10818713450292	high
538003799	Italy, Catania, Messina, and Enna	99	1	11	10.39	3.42	3.03801169590643	high
538003199	Italy, Nuoro	99	1	11	10.34	3.42	3.0233918128655	high
538000399	Italy, Latina	99	1	11	10.28	3.42	3.00584795321637	high
415609699	China, Xiping County	99	1	11	0.65	3.42	0.190058479532164	low
140400299	Kenya, Nairobi	99	1	11	0.62	3.42	0.181286549707602	low
