id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
221800199	Ecuador, Quito	99	1	7	6	0.05	12	0.41	0.03	7	0.41	12	720	U	720
439200299	Japan, Miyagi Prefecture	99	1	12	1	0.14	12	0.83	0.08	3	1.22	8	492.857142857143	U	492.857142857143
470200027	Singapore: Malay	27	1	9	3	0.14	12	0.58	0.08	4	0.75	9	314.285714285714	U	314.285714285714
557800099	Norway	99	1	12	1	0.29	12	1.09	0.27	2	1.09	12	275.862068965517	U	275.862068965517
263000099	USA, Puerto Rico	99	1	11	1	0.18	12	0.57	0.1	4	0.57	12	216.666666666667	U	216.666666666667
527600299	Germany, Hamburg	99	1	7	3	0.27	12	0.76	0.13	5	0.87	11	181.481481481481	U	181.481481481481
525000799	France, Tarn	99	1	7	6	0.19	12	0.51	0.06	7	0.73	11	168.421052631579	U	168.421052631579
476400199	Thailand, Chiang Mai	99	1	7	6	0.15	12	0.4	0.09	7	0.4	12	166.666666666667	U	166.666666666667
561600699	Poland, Warsaw Rural	99	1	4	2	0.21	6	0.54	0.14	3	0.54	6	157.142857142857	U	157.142857142857
439200199	Japan, Hiroshima Prefecture	99	1	8	5	0.3	12	0.77	0.1	6	0.95	8	156.666666666667	U	156.666666666667
527603099	Germany, Saarland	99	1	10	3	0.33	12	0.83	0.2	4	0.91	9	151.515151515152	U	151.515151515152
561600599	Poland, Warsaw City	99	1	8	2	0.34	9	0.85	0.31	5	1.09	8	150	U	150
525000299	France, Calvados	99	1	8	5	0.28	12	0.66	0.23	7	0.73	11	135.714285714286	U	135.714285714286
437600097	Israel: Jews born in Europe or America	97	1	6	2	0.48	8	1.1	0.17	5	1.1	8	129.166666666667	U	129.166666666667
435600299	India, Bangalore	99	1	7	5	0.16	12	0.33	0.03	7	0.33	12	106.25	U	106.25
575600399	Switzerland, Neuchâtel	99	1	8	4	0.37	11	0.71	0	10	0.73	8	91.8918918918919	U	91.8918918918919
525000599	France, Isère	99	1	8	5	0.29	12	0.55	0.28	6	0.68	11	89.6551724137931	U	89.6551724137931
570500099	Slovenia	99	1	12	1	0.28	12	0.52	0.17	2	0.52	12	85.7142857142857	U	85.7142857142857
238800199	Jamaica, Kingston and St Andrew	99	1	6	1	0.2	11	0.37	0.17	10	1.1	3	85	U	85
384005130	USA, Alabama: Black	30	1	4	9	0.4	12	0.74	0.35	10	0.74	12	85	U	85
437600096	Israel: Jews born in Africa or Asia	96	1	7	2	0.7	8	0.13	0.07	4	0.7	2	-81.4285714285714	U	81.4285714285714
684009910	USA, Hawaii: White	10	1	12	1	0.21	12	0.38	0.03	11	1.55	4	80.952380952381	U	80.952380952381
435600899	India, Trivandrum	99	1	6	7	0.94	12	0.18	0.13	10	0.94	7	-80.8510638297872	U	80.8510638297872
180000299	Uganda, Kyadondo County	99	1	7	1	0.52	12	0.1	0	9	0.52	1	-80.7692307692308	U	80.7692307692308
575200099	Sweden	99	1	11	1	1.6	12	0.33	0.32	7	3.83	4	-79.375	U	79.375
441400026	Kuwait: Non-Kuwaitis	26	1	8	5	0.72	12	0.17	0.13	10	0.72	5	-76.3888888888889	U	76.3888888888889
603600299	Australia, NSW/ACT	99	1	9	4	0.44	12	0.77	0.3	6	0.77	12	75	U	75
384000320	USA, California, Los Angeles County: Chinese	20	1	9	4	2.23	12	0.66	0	5	2.23	4	-70.4035874439462	U	70.4035874439462
552800199	The Netherlands, Eindhoven	99	1	6	5	1.15	10	0.37	0.36	7	1.15	5	-67.8260869565217	U	67.8260869565217
470200040	Singapore: Indian	40	1	9	3	0.2	12	0.07	0	7	0.97	5	-65	U	65
384000323	USA, California, Los Angeles County: Filipino	23	1	8	5	1.14	12	0.43	0.23	7	1.14	5	-62.280701754386	U	62.280701754386
435600999	India, Karunagappally	99	1	4	7	0.31	10	0.12	0.11	9	0.31	7	-61.2903225806452	U	61.2903225806452
582600599	UK, England, South Thames	99	1	5	4	1.2	8	0.48	0.4	6	1.2	4	-60	U	60
538002999	Italy, Syracuse	99	1	4	9	0.46	12	0.73	0.14	11	0.73	12	58.6956521739131	U	58.6956521739131
384000410	USA, Connecticut: White	10	1	8	5	0.38	12	0.6	0.36	6	0.75	8	57.8947368421053	U	57.8947368421053
575600199	Switzerland, Basel	99	1	6	5	0.28	12	0.44	0.07	10	0.85	7	57.1428571428571	U	57.1428571428571
439200399	Japan, Nagasaki Prefecture	99	1	8	4	0.79	11	0.34	0.16	6	1.01	8	-56.9620253164557	U	56.9620253164557
218800099	Costa Rica	99	1	8	5	0.23	12	0.36	0.16	6	0.36	12	56.5217391304348	U	56.5217391304348
575601099	Switzerland, Ticino	99	1	5	8	1.26	12	0.56	0	10	1.26	8	-55.5555555555556	U	55.5555555555556
441000499	Republic of Korea, Daegu	99	1	5	8	0.54	12	0.84	0.49	10	0.84	12	55.5555555555555	U	55.5555555555555
441400025	Kuwait: Kuwaitis	25	1	8	5	0.53	12	0.24	0	6	0.53	5	-54.7169811320755	U	54.7169811320755
384010030	Usa, California, Alameda County: Black	30	1	5	2	1.26	6	0.59	0.3	3	1.26	2	-53.1746031746032	U	53.1746031746032
575601199	Switzerland, Graubünden and Glarus	99	1	5	8	0.65	12	0.99	0	10	0.99	12	52.3076923076923	U	52.3076923076923
655400036	New Zealand: Non-Maori	36	1	6	2	0.45	7	0.68	0.39	4	0.68	7	51.1111111111111	U	51.1111111111111
384000510	USA, Georgia, Atlanta: White	10	1	9	4	0.47	12	0.7	0.34	7	0.7	12	48.936170212766	U	48.936170212766
384001299	USA, Utah	99	1	10	3	0.91	12	0.47	0.35	7	0.91	3	-48.3516483516484	U	48.3516483516484
384000710	USA, Louisiana, New Orleans: White	10	1	9	4	0.84	12	0.45	0.15	5	0.84	4	-46.4285714285714	U	46.4285714285714
384006330	USA, Missouri: Black	30	1	4	9	0.67	12	0.37	0.25	11	0.67	9	-44.7761194029851	U	44.7761194029851
439200699	Japan, Yamagata Prefecture	99	1	5	6	0.36	11	0.52	0.03	8	0.52	11	44.4444444444445	U	44.4444444444445
582600299	UK, England, West Midlands	99	1	11	1	0.72	11	0.4	0.33	8	1.12	7	-44.4444444444444	U	44.4444444444444
572401099	Spain, Girona	99	1	5	8	0.75	12	1.08	0.38	10	1.08	12	44	U	44
384000730	USA, Louisiana, New Orleans: Black	30	1	9	4	0.46	12	0.26	0.1	5	0.67	11	-43.4782608695652	U	43.4782608695652
