id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
575200099	Sweden	99	1	1	1.6	0.49	3.26530612244898	high
470200020	Singapore: Chinese	20	1	1	0.09	0.49	0.183673469387755	low
684009999	USA, Hawaii	99	1	1	0.09	0.49	0.183673469387755	low
575200099	Sweden	99	1	2	2	0.6	3.33333333333333	high
437600091	Israel: Jews born in Israel	91	1	2	1.92	0.6	3.2	high
561601499	Poland, Katowice District	99	1	2	0.09	0.6	0.15	low
561600199	Poland, Cracow	99	1	2	0.04	0.6	0.0666666666666667	low
435600399	India, Mumbai	99	1	2	0.02	0.6	0.0333333333333333	low
575200099	Sweden	99	1	3	2.69	0.52	5.17307692307692	high
684009945	USA, Hawaii: Hawaiian	45	1	3	2.07	0.52	3.98076923076923	high
439200299	Japan, Miyagi Prefecture	99	1	3	0.08	0.52	0.153846153846154	low
435600399	India, Mumbai	99	1	3	0.06	0.52	0.115384615384615	low
575200099	Sweden	99	1	4	3.83	0.465	8.23655913978495	high
384000320	USA, California, Los Angeles County: Chinese	20	1	4	2.23	0.465	4.79569892473118	high
684009945	USA, Hawaii: Hawaiian	45	1	4	1.7	0.465	3.65591397849462	high
684009910	USA, Hawaii: White	10	1	4	1.55	0.465	3.33333333333333	high
470200027	Singapore: Malay	27	1	4	0.08	0.465	0.172043010752688	low
168600199	Senegal, Dakar	99	1	4	0.07	0.465	0.150537634408602	low
437600096	Israel: Jews born in Africa or Asia	96	1	4	0.07	0.465	0.150537634408602	low
435600399	India, Mumbai	99	1	4	0.04	0.465	0.0860215053763441	low
575200099	Sweden	99	1	5	2.86	0.37	7.72972972972973	high
655400028	New Zealand: Maori	28	1	5	1.58	0.37	4.27027027027027	high
384000223	USA, California, San Francisco Bay Area: Filipino	23	1	5	1.47	0.37	3.97297297297297	high
535200099	Iceland	99	1	5	1.15	0.37	3.10810810810811	high
552800199	The Netherlands, Eindhoven	99	1	5	1.15	0.37	3.10810810810811	high
384000323	USA, California, Los Angeles County: Filipino	23	1	5	1.14	0.37	3.08108108108108	high
217000199	Colombia, Cali	99	1	5	0.07	0.37	0.189189189189189	low
415600499	China, Tianjin	99	1	5	0.06	0.37	0.162162162162162	low
575600599	Switzerland, Vaud	99	1	5	0.06	0.37	0.162162162162162	low
575200099	Sweden	99	1	6	3.32	0.405	8.19753086419753	high
538006799	Italy, Trieste	99	1	6	2.58	0.405	6.37037037037037	high
684009910	USA, Hawaii: White	10	1	6	1.42	0.405	3.50617283950617	high
460800399	Philippines, Rizal	99	1	6	0.08	0.405	0.197530864197531	low
572400299	Spain, Granada	99	1	6	0.08	0.405	0.197530864197531	low
415600299	China, Qidong City	99	1	6	0.07	0.405	0.17283950617284	low
511200099	Belarus	99	1	6	0.07	0.405	0.17283950617284	low
217000199	Colombia, Cali	99	1	6	0.06	0.405	0.148148148148148	low
221800199	Ecuador, Quito	99	1	6	0.05	0.405	0.123456790123457	low
538006799	Italy, Trieste	99	1	7	2.26	0.46	4.91304347826087	high
655400028	New Zealand: Maori	28	1	7	1.61	0.46	3.5	high
476400199	Thailand, Chiang Mai	99	1	7	0.09	0.46	0.195652173913043	low
180000299	Uganda, Kyadondo County	99	1	7	0.08	0.46	0.173913043478261	low
312400899	Canada, Newfoundland and Labrador	99	1	7	0.07	0.46	0.152173913043478	low
146600199	Mali, Bamako	99	1	7	0.06	0.46	0.130434782608696	low
525000799	France, Tarn	99	1	7	0.06	0.46	0.130434782608696	low
221800199	Ecuador, Quito	99	1	7	0.03	0.46	0.0652173913043478	low
435600299	India, Bangalore	99	1	7	0.03	0.46	0.0652173913043478	low
470400199	Viet Nam, Hanoi	99	1	8	0.08	0.48	0.166666666666667	low
435600299	India, Bangalore	99	1	8	0.07	0.48	0.145833333333333	low
180000299	Uganda, Kyadondo County	99	1	8	0.05	0.48	0.104166666666667	low
439200699	Japan, Yamagata Prefecture	99	1	8	0.03	0.48	0.0625	low
684009920	USA, Hawaii: Chinese	20	1	9	2.56	0.49	5.22448979591837	high
384005410	USA, District of Columbia: White	10	1	9	1.59	0.49	3.24489795918367	high
625009899	French Polynesia	99	1	9	1.54	0.49	3.14285714285714	high
415600399	China, Shanghai City	99	1	9	1.48	0.49	3.02040816326531	high
441000999	Republic of Korea, Jeju	99	1	9	0.08	0.49	0.163265306122449	low
538006699	Italy, Ragusa	99	1	9	0.07	0.49	0.142857142857143	low
101200199	Algeria, Sétif	99	1	9	0.05	0.49	0.102040816326531	low
221800199	Ecuador, Quito	99	1	9	0.05	0.49	0.102040816326531	low
415602399	China, Nanhu District, Jiaxing City	99	1	10	3.26	0.51	6.3921568627451	high
572401399	Spain, Cuenca	99	1	10	2.08	0.51	4.07843137254902	high
538000599	Italy, Parma	99	1	10	1.76	0.51	3.45098039215686	high
415600399	China, Shanghai City	99	1	10	1.68	0.51	3.29411764705882	high
538001699	Italy, Naples South	99	1	10	1.61	0.51	3.15686274509804	high
215200199	Chile, Valdivia	99	1	10	0.1	0.51	0.196078431372549	low
