country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
376	7	2	0.75	0.03	25	91	96	4
414	9	2	1.45	0.08	18.125	26	25	2
376	6	2	0.71	0.06	11.8333333333333	91	96	5
376	4	1	0.77	0.07	11	90	96	5
702	12	1	0.67	0.07	9.57142857142857	20	40	3
702	5	1	0.97	0.11	8.81818181818182	40	27	3
376	8	1	1.1	0.13	8.46153846153846	97	96	5
702	4	1	0.54	0.08	6.75	40	27	3
376	8	2	0.67	0.12	5.58333333333333	91	94	5
702	8	1	0.5	0.1	5	20	27	3
414	8	2	0.34	0.07	4.85714285714286	25	26	2
376	3	1	0.84	0.18	4.66666666666667	90	94	5
414	6	2	0.73	0.16	4.5625	26	25	2
414	10	2	0.48	0.11	4.36363636363636	25	26	2
376	5	1	0.58	0.14	4.14285714285714	91	96	5
376	2	2	1.03	0.26	3.96153846153846	91	97	5
376	6	1	0.75	0.19	3.94736842105263	91	96	5
376	3	2	1.19	0.31	3.83870967741935	91	94	5
554	5	1	1.58	0.43	3.67441860465116	28	29	3
376	5	2	0.46	0.13	3.53846153846154	94	91	5
840	1	2	0.62	0.19	3.26315789473684	45	21	3
554	4	1	0.39	0.12	3.25	36	28	2
414	12	2	0.26	0.08	3.25	25	26	2
554	2	2	1.74	0.54	3.22222222222222	28	36	2
554	11	2	0.96	0.31	3.09677419354839	28	29	2
376	7	1	0.98	0.34	2.88235294117647	91	96	4
554	6	2	1.4	0.52	2.69230769230769	28	36	2
414	5	2	0.77	0.29	2.6551724137931	25	26	2
554	2	1	1.14	0.45	2.53333333333333	28	36	2
702	3	1	0.34	0.14	2.42857142857143	20	27	3
554	7	1	1.61	0.68	2.36764705882353	28	36	2
702	6	1	0.52	0.23	2.26086956521739	20	40	3
554	12	2	1.29	0.61	2.11475409836066	29	28	2
