CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	570500099	Slovenia	0.28	0.05	5.6	1.15986733001658	male_heavy
1	180000299	Uganda, Kyadondo County	0.52	1.09	0.477064220183486	1.15986733001658	female_heavy
1	312401299	Canada, Saskatchewan	0.15	0.37	0.405405405405405	1.15986733001658	female_heavy
1	684009999	USA, Hawaii	0.09	0.39	0.230769230769231	1.15986733001658	female_heavy
2	561601499	Poland, Katowice District	0.09	0.03	3	1.13333333333333	male_heavy
2	439200299	Japan, Miyagi Prefecture	0.24	0.1	2.4	1.13333333333333	male_heavy
2	238800199	Jamaica, Kingston and St Andrew	0.42	0.84	0.5	1.13333333333333	female_heavy
2	561600699	Poland, Warsaw Rural	0.21	0.56	0.375	1.13333333333333	female_heavy
3	534800399	Hungary, County Vas	0.67	0.11	6.09090909090909	1.33942307692308	male_heavy
3	238800199	Jamaica, Kingston and St Andrew	1.1	0.19	5.78947368421053	1.33942307692308	male_heavy
3	207600899	Brazil, Sao Paulo	0.55	0.14	3.92857142857143	1.33942307692308	male_heavy
3	439202299	Japan,  Okayama Prefecture	0.36	0.1	3.6	1.33942307692308	male_heavy
3	312400199	Canada, Alberta	0.35	0.11	3.18181818181818	1.33942307692308	male_heavy
3	561600599	Poland, Warsaw City	0.89	0.28	3.17857142857143	1.33942307692308	male_heavy
3	572400799	Spain, Zaragoza	0.12	0.18	0.666666666666667	1.33942307692308	female_heavy
3	547000099	Malta	0.4	0.63	0.634920634920635	1.33942307692308	female_heavy
3	561600199	Poland, Cracow	0.38	0.61	0.622950819672131	1.33942307692308	female_heavy
3	439200299	Japan, Miyagi Prefecture	0.08	0.13	0.615384615384615	1.33942307692308	female_heavy
3	435600399	India, Mumbai	0.06	0.1	0.6	1.33942307692308	female_heavy
3	535200099	Iceland	0.57	1.07	0.532710280373832	1.33942307692308	female_heavy
3	561600699	Poland, Warsaw Rural	0.14	0.28	0.5	1.33942307692308	female_heavy
4	439202199	Japan, Fukuoka Prefecture	0.31	0.05	6.2	1.20308924485126	male_heavy
4	439200299	Japan, Miyagi Prefecture	0.46	0.11	4.18181818181818	1.20308924485126	male_heavy
4	384001299	USA, Utah	0.48	0.15	3.2	1.20308924485126	male_heavy
4	439200399	Japan, Nagasaki Prefecture	0.79	0.26	3.03846153846154	1.20308924485126	male_heavy
4	534800299	Hungary, County Szabolcs-Szatmar	0.49	0.19	2.57894736842105	1.20308924485126	male_heavy
4	207600899	Brazil, Sao Paulo	0.31	0.54	0.574074074074074	1.20308924485126	female_heavy
4	217000199	Colombia, Cali	0.27	0.55	0.490909090909091	1.20308924485126	female_heavy
4	435600399	India, Mumbai	0.04	0.13	0.307692307692308	1.20308924485126	female_heavy
4	575600399	Switzerland, Neuchâtel	0.37	1.4	0.264285714285714	1.20308924485126	female_heavy
5	525000599	France, Isère	0.29	0.06	4.83333333333333	1.14219443323921	male_heavy
5	561600599	Poland, Warsaw City	0.31	0.07	4.42857142857143	1.14219443323921	male_heavy
5	263000099	USA, Puerto Rico	0.3	0.07	4.28571428571429	1.14219443323921	male_heavy
5	218800099	Costa Rica	0.23	0.07	3.28571428571429	1.14219443323921	male_heavy
5	312400199	Canada, Alberta	0.57	0.2	2.85	1.14219443323921	male_heavy
5	564200199	Romania, County Cluj	0.34	0.12	2.83333333333333	1.14219443323921	male_heavy
5	582606799	United Kingdom, Scotland, N-E	0.44	0.16	2.75	1.14219443323921	male_heavy
5	535200099	Iceland	1.15	0.44	2.61363636363636	1.14219443323921	male_heavy
5	561600399	Poland, Nowy Sacz	0.69	0.27	2.55555555555556	1.14219443323921	male_heavy
5	603600799	Australia, Western Australia	0.61	0.25	2.44	1.14219443323921	male_heavy
5	525000399	France, Doubs	0.24	0.1	2.4	1.14219443323921	male_heavy
5	570500099	Slovenia	0.23	0.1	2.3	1.14219443323921	male_heavy
5	572400499	Spain, Navarra	0.2	0.36	0.555555555555556	1.14219443323921	female_heavy
5	575600599	Switzerland, Vaud	0.06	0.11	0.545454545454545	1.14219443323921	female_heavy
5	575600699	Switzerland, Zurich	0.31	0.57	0.543859649122807	1.14219443323921	female_heavy
5	435600599	India, Nagpur	0.08	0.15	0.533333333333333	1.14219443323921	female_heavy
5	460800399	Philippines, Rizal	0.08	0.15	0.533333333333333	1.14219443323921	female_heavy
5	575200099	Sweden	2.86	5.6	0.510714285714286	1.14219443323921	female_heavy
5	582606699	United Kingdom, Scotland, North	0.29	0.59	0.491525423728814	1.14219443323921	female_heavy
5	312400599	Canada, New Brunswick	0.21	0.45	0.466666666666667	1.14219443323921	female_heavy
5	207600199	Brazil, Fortaleza	0.11	0.25	0.44	1.14219443323921	female_heavy
5	575600199	Switzerland, Basel	0.28	0.65	0.430769230769231	1.14219443323921	female_heavy
5	312400899	Canada, Newfoundland and Labrador	0.2	0.5	0.4	1.14219443323921	female_heavy
5	534800399	Hungary, County Vas	0.19	0.53	0.358490566037736	1.14219443323921	female_heavy
5	575600399	Switzerland, Neuchâtel	0.25	0.87	0.28735632183908	1.14219443323921	female_heavy
5	603600599	Australia, Tasmania	0.09	0.38	0.236842105263158	1.14219443323921	female_heavy
5	217000199	Colombia, Cali	0.07	0.34	0.205882352941177	1.14219443323921	female_heavy
6	538006699	Italy, Ragusa	0.86	0.11	7.81818181818182	1.27272727272727	male_heavy
6	552800299	The Netherlands, Maastricht	0.55	0.1	5.5	1.27272727272727	male_heavy
6	538006799	Italy, Trieste	2.58	0.53	4.86792452830189	1.27272727272727	male_heavy
6	572400499	Spain, Navarra	0.2	0.05	4	1.27272727272727	male_heavy
6	435600199	India, Ahmedabad	0.25	0.07	3.57142857142857	1.27272727272727	male_heavy
6	435600499	India, Chennai	0.1	0.03	3.33333333333333	1.27272727272727	male_heavy
6	439200599	Japan, Saga Prefecture	0.69	0.21	3.28571428571429	1.27272727272727	male_heavy
6	575600599	Switzerland, Vaud	0.59	0.19	3.10526315789474	1.27272727272727	male_heavy
6	527603099	Germany, Saarland	0.68	0.23	2.95652173913044	1.27272727272727	male_heavy
6	538000599	Italy, Parma	0.39	0.14	2.78571428571429	1.27272727272727	male_heavy
6	561600199	Poland, Cracow	0.3	0.11	2.72727272727273	1.27272727272727	male_heavy
6	572400199	Spain, Tarragona	0.87	0.32	2.71875	1.27272727272727	male_heavy
6	582606699	United Kingdom, Scotland, North	1.05	0.39	2.69230769230769	1.27272727272727	male_heavy
6	384000699	USA, Iowa	0.64	0.24	2.66666666666667	1.27272727272727	male_heavy
6	525000199	France, Bas-Rhin	0.64	0.24	2.66666666666667	1.27272727272727	male_heavy
6	538000399	Italy, Latina	0.39	0.15	2.6	1.27272727272727	male_heavy
6	537200199	Ireland, Southern	0.92	0.36	2.55555555555556	1.27272727272727	male_heavy
6	525000799	France, Tarn	0.19	0.31	0.612903225806452	1.27272727272727	female_heavy
6	525000399	France, Doubs	0.22	0.38	0.578947368421053	1.27272727272727	female_heavy
6	575200099	Sweden	3.32	6.56	0.50609756097561	1.27272727272727	female_heavy
6	525000299	France, Calvados	0.24	0.53	0.452830188679245	1.27272727272727	female_heavy
6	572400399	Spain, Murcia	0.15	0.43	0.348837209302326	1.27272727272727	female_heavy
6	575600399	Switzerland, Neuchâtel	0.28	0.87	0.32183908045977	1.27272727272727	female_heavy
6	439200399	Japan, Nagasaki Prefecture	0.16	0.63	0.253968253968254	1.27272727272727	female_heavy
6	534800399	Hungary, County Vas	0.16	0.68	0.235294117647059	1.27272727272727	female_heavy
6	572400299	Spain, Granada	0.08	0.42	0.190476190476191	1.27272727272727	female_heavy
6	439200199	Japan, Hiroshima Prefecture	0.1	0.71	0.140845070422535	1.27272727272727	female_heavy
7	538001199	Italy, Macerata Province	1.2	0.23	5.21739130434783	1.12962962962963	male_heavy
7	572400599	Spain, Asturias	1.02	0.27	3.77777777777778	1.12962962962963	male_heavy
7	575600599	Switzerland, Vaud	0.55	0.15	3.66666666666667	1.12962962962963	male_heavy
7	207600799	Brazil, Belem	0.17	0.05	3.4	1.12962962962963	male_heavy
7	439200599	Japan, Saga Prefecture	0.29	0.09	3.22222222222222	1.12962962962963	male_heavy
7	439200399	Japan, Nagasaki Prefecture	0.61	0.21	2.9047619047619	1.12962962962963	male_heavy
7	523300099	Estonia	0.38	0.14	2.71428571428571	1.12962962962963	male_heavy
7	312400599	Canada, New Brunswick	0.93	0.35	2.65714285714286	1.12962962962963	male_heavy
7	525000699	France, Somme	0.45	0.17	2.64705882352941	1.12962962962963	male_heavy
7	312400699	Canada, Nova Scotia	0.37	0.14	2.64285714285714	1.12962962962963	male_heavy
7	470400199	Viet Nam, Hanoi	0.14	0.06	2.33333333333333	1.12962962962963	male_heavy
7	384010199	USA, California, Central Valley	0.62	0.27	2.2962962962963	1.12962962962963	male_heavy
7	525000299	France, Calvados	0.23	0.42	0.547619047619048	1.12962962962963	female_heavy
7	575600699	Switzerland, Zurich	0.35	0.67	0.522388059701493	1.12962962962963	female_heavy
7	572400199	Spain, Tarragona	0.51	1.08	0.472222222222222	1.12962962962963	female_heavy
7	384000799	USA, Louisiana, New Orleans	0.28	0.63	0.444444444444444	1.12962962962963	female_heavy
7	125009099	France, La Réunion	0.17	0.42	0.404761904761905	1.12962962962963	female_heavy
7	525000599	France, Isère	0.29	0.74	0.391891891891892	1.12962962962963	female_heavy
7	535200099	Iceland	0.34	0.89	0.382022471910112	1.12962962962963	female_heavy
7	575600399	Switzerland, Neuchâtel	0.2	0.55	0.363636363636364	1.12962962962963	female_heavy
7	180000299	Uganda, Kyadondo County	0.08	0.24	0.333333333333333	1.12962962962963	female_heavy
7	312400899	Canada, Newfoundland and Labrador	0.07	0.21	0.333333333333333	1.12962962962963	female_heavy
7	221800199	Ecuador, Quito	0.03	0.1	0.3	1.12962962962963	female_heavy
7	525000799	France, Tarn	0.06	0.23	0.260869565217391	1.12962962962963	female_heavy
7	146600199	Mali, Bamako	0.06	0.34	0.176470588235294	1.12962962962963	female_heavy
8	538006699	Italy, Ragusa	0.33	0.03	11	1.23485444531865	male_heavy
8	384010299	USA, Louisiana, Central Region	0.55	0.07	7.85714285714286	1.23485444531865	male_heavy
8	415600299	China, Qidong City	0.21	0.03	7	1.23485444531865	male_heavy
8	575601199	Switzerland, Graubünden and Glarus	0.65	0.12	5.41666666666667	1.23485444531865	male_heavy
8	575601099	Switzerland, Ticino	1.26	0.25	5.04	1.23485444531865	male_heavy
8	572400799	Spain, Zaragoza	0.81	0.17	4.76470588235294	1.23485444531865	male_heavy
8	525000699	France, Somme	0.59	0.13	4.53846153846154	1.23485444531865	male_heavy
8	458600199	Pakistan, South Karachi	0.13	0.03	4.33333333333333	1.23485444531865	male_heavy
8	684009999	USA, Hawaii	0.47	0.11	4.27272727272727	1.23485444531865	male_heavy
8	435600699	India, Poona	0.28	0.08	3.5	1.23485444531865	male_heavy
8	547000099	Malta	1.12	0.32	3.5	1.23485444531865	male_heavy
8	552800199	The Netherlands, Eindhoven	0.39	0.12	3.25	1.23485444531865	male_heavy
8	575600899	Switzerland, Valais	0.38	0.13	2.92307692307692	1.23485444531865	male_heavy
8	525001699	France, Manche	0.86	0.3	2.86666666666667	1.23485444531865	male_heavy
8	460800299	Philippines, Manila	0.25	0.09	2.77777777777778	1.23485444531865	male_heavy
8	451200099	Oman: Omani	0.23	0.39	0.58974358974359	1.23485444531865	female_heavy
8	575600299	Switzerland, Geneva	0.44	0.76	0.578947368421053	1.23485444531865	female_heavy
8	538000799	Italy, Romagna	0.37	0.64	0.578125	1.23485444531865	female_heavy
8	552800299	The Netherlands, Maastricht	0.24	0.42	0.571428571428571	1.23485444531865	female_heavy
8	538001599	Italy, Sassari	1.1	1.96	0.561224489795919	1.23485444531865	female_heavy
8	435600299	India, Bangalore	0.07	0.14	0.5	1.23485444531865	female_heavy
8	572401199	Spain, Canary Islands	0.19	0.38	0.5	1.23485444531865	female_heavy
8	575600599	Switzerland, Vaud	0.22	0.44	0.5	1.23485444531865	female_heavy
8	504000799	Austria, Tyrol	0.48	1.04	0.461538461538462	1.23485444531865	female_heavy
8	203200199	Argentina, Bahia Blanca	0.21	0.5	0.42	1.23485444531865	female_heavy
8	225009199	France, Martinique	0.1	0.36	0.277777777777778	1.23485444531865	female_heavy
8	439200699	Japan, Yamagata Prefecture	0.03	0.16	0.1875	1.23485444531865	female_heavy
8	180000299	Uganda, Kyadondo County	0.05	0.28	0.178571428571429	1.23485444531865	female_heavy
9	572401099	Spain, Girona	0.67	0.01	67	1.21428571428571	male_heavy
9	525000799	France, Tarn	0.23	0.02	11.5	1.21428571428571	male_heavy
