id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
439200699	Japan, Yamagata Prefecture	99	1	5	6	0.06	11	0.73	0.06	6	0.73	11	1116.66666666667	rising	1116.66666666667
525000399	France, Doubs	99	1	9	4	0.76	12	3.2	0.76	4	3.29	11	321.052631578948	inverted-U	321.052631578948
538000399	Italy, Latina	99	1	4	6	1.39	11	5.18	1.39	6	5.18	11	272.661870503597	rising	272.661870503597
312400499	Canada, Northwest Territories	99	1	7	5	0.78	11	2.05	0.21	7	2.66	6	162.820512820513	U	162.820512820513
415601599	China, Nangang District, Harbin City	99	1	4	9	0.08	12	0.21	0.08	9	0.21	12	162.5	rising	162.5
441000499	Republic of Korea, Daegu	99	1	5	8	0.24	12	0.6	0.24	8	0.63	11	150	inverted-U	150
441400025	Kuwait: Kuwaitis	25	1	8	5	1.46	12	3.59	1.46	5	4.15	11	145.890410958904	inverted-U	145.890410958904
684009923	USA, Hawaii: Filipino	23	1	11	2	0.32	12	0.77	0.32	2	3.47	3	140.625	inverted-U	140.625
384010030	Usa, California, Alameda County: Black	30	1	5	2	0.99	6	2.24	0.99	2	4.3	4	126.262626262626	inverted-U	126.262626262626
441000299	Republic of Korea, Busan	99	1	5	8	0.29	12	0.59	0.29	8	0.6	11	103.448275862069	inverted-U	103.448275862069
415600299	China, Qidong City	99	1	6	6	0.09	12	0.18	0	11	0.18	12	100	U	100
535200099	Iceland	99	1	10	1	1.57	12	3.12	1.57	1	4.86	3	98.7261146496815	inverted-U	98.7261146496815
575601099	Switzerland, Ticino	99	1	5	8	2.38	12	4.65	1.82	11	4.65	12	95.3781512605042	U	95.3781512605042
384000321	USA, California, Los Angeles County: Japanese	21	1	7	4	1.1	10	0.07	0.07	10	1.1	4	-93.6363636363636	erratic	93.6363636363636
439200199	Japan, Hiroshima Prefecture	99	1	8	5	0.35	12	0.67	0.27	7	0.99	10	91.4285714285714	U	91.4285714285714
207600299	Brazil, Goiânia	99	1	7	6	1.04	12	1.99	1.04	6	2.84	8	91.3461538461539	inverted-U	91.3461538461539
439201099	Japan, Aichi Prefecture	99	1	4	9	0.44	12	0.84	0.44	9	0.84	12	90.9090909090909	rising	90.9090909090909
525000499	France, Haut-Rhin	99	1	6	7	2.16	12	4.12	2	9	4.12	12	90.7407407407407	U	90.7407407407407
238800199	Jamaica, Kingston and St Andrew	99	1	6	1	3.72	11	0.54	0.22	10	4.32	3	-85.4838709677419	U	85.4838709677419
684009920	USA, Hawaii: Chinese	20	1	11	2	3.57	12	0.52	0	8	3.57	2	-85.4341736694678	U	85.4341736694678
504000899	Austria, Vorarlberg	99	1	5	8	1.51	12	2.79	1.51	8	2.79	12	84.7682119205298	erratic	84.7682119205298
575601199	Switzerland, Graubünden and Glarus	99	1	5	8	2.22	12	4.09	2.22	8	4.09	12	84.2342342342342	rising	84.2342342342342
415600499	China, Tianjin	99	1	4	5	0.24	8	0.44	0.24	5	0.44	8	83.3333333333333	erratic	83.3333333333333
572400399	Spain, Murcia	99	1	7	6	1.86	12	3.38	1.81	7	3.38	12	81.7204301075269	U	81.7204301075269
441000899	Republic of Korea, Ulsan	99	1	4	9	0.31	12	0.56	0.31	9	0.58	11	80.6451612903226	inverted-U	80.6451612903226
415600199	China, Beijing City	99	1	4	8	0.3	12	0.54	0.3	8	0.54	12	80	rising	80
404800046	Bahrain: Bahrainis	46	1	4	9	1.75	12	3.13	1.75	9	3.13	12	78.8571428571429	rising	78.8571428571429
441000399	Republic of Korea, Seoul	99	1	5	8	0.38	12	0.67	0.38	8	0.67	12	76.3157894736842	rising	76.3157894736842
603600599	Australia, Tasmania	99	1	8	5	1.97	12	3.45	1.54	7	3.77	11	75.1269035532995	U	75.1269035532995
547000099	Malta	99	1	7	3	1.94	12	3.37	1.79	7	3.47	10	73.7113402061856	U	73.7113402061856
439200399	Japan, Nagasaki Prefecture	99	1	8	4	2.07	11	0.6	0.27	7	2.07	4	-71.0144927536232	U	71.0144927536232
476400299	Thailand, Khon Kaen	99	1	6	6	1.17	12	0.35	0.35	11	1.17	6	-70.0854700854701	erratic	70.0854700854701
684009945	USA, Hawaii: Hawaiian	45	1	12	1	4.54	12	1.51	0.74	8	4.54	1	-66.7400881057269	U	66.7400881057269
572400699	Spain, Basque Country	99	1	6	6	2.55	12	4.22	2.55	6	4.22	12	65.4901960784314	erratic	65.4901960784314
684009921	USA, Hawaii: Japanese	21	1	12	1	2.65	12	0.92	0.37	6	4.13	2	-65.2830188679245	U	65.2830188679245
441001099	Republic of Korea, Gwangju	99	1	4	9	0.42	12	0.69	0.36	10	0.69	12	64.2857142857143	U	64.2857142857143
441000099	Republic of Korea	99	1	4	9	0.36	12	0.59	0.36	9	0.59	12	63.8888888888889	rising	63.8888888888889
575600899	Switzerland, Valais	99	1	6	7	1.64	12	2.68	1.64	7	4.2	8	63.4146341463415	inverted-U	63.4146341463415
435600699	India, Poona	99	1	7	4	1.95	12	0.74	0.54	11	2.11	5	-62.0512820512821	U	62.0512820512821
384000942	USA, New Mexico: American Indian	42	1	7	3	3.08	12	1.17	0	8	3.08	3	-62.012987012987	U	62.012987012987
