id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
439200299	Japan, Miyagi Prefecture	99	1	2	0.44	3.005	0.146422628951747	low
684009923	USA, Hawaii: Filipino	23	1	2	0.32	3.005	0.10648918469218	low
684009920	USA, Hawaii: Chinese	20	1	4	0.62	3.17	0.195583596214511	low
439200299	Japan, Miyagi Prefecture	99	1	4	0.59	3.17	0.186119873817035	low
439200299	Japan, Miyagi Prefecture	99	1	5	0.45	2.565	0.175438596491228	low
439200199	Japan, Hiroshima Prefecture	99	1	5	0.35	2.565	0.1364522417154	low
384000942	USA, New Mexico: American Indian	42	1	5	0.31	2.565	0.120857699805068	low
415600499	China, Tianjin	99	1	5	0.24	2.565	0.0935672514619883	low
470200040	Singapore: Indian	40	1	5	0.18	2.565	0.0701754385964912	low
439200499	Japan, Osaka Prefecture	99	1	6	0.49	2.485	0.197183098591549	low
439200199	Japan, Hiroshima Prefecture	99	1	6	0.47	2.485	0.189134808853119	low
439200599	Japan, Saga Prefecture	99	1	6	0.46	2.485	0.185110663983903	low
439200299	Japan, Miyagi Prefecture	99	1	6	0.44	2.485	0.177062374245473	low
415600499	China, Tianjin	99	1	6	0.43	2.485	0.173038229376258	low
439200399	Japan, Nagasaki Prefecture	99	1	6	0.43	2.485	0.173038229376258	low
415600399	China, Shanghai City	99	1	6	0.41	2.485	0.164989939637827	low
684009921	USA, Hawaii: Japanese	21	1	6	0.37	2.485	0.148893360160966	low
684009920	USA, Hawaii: Chinese	20	1	6	0.34	2.485	0.13682092555332	low
384000323	USA, California, Los Angeles County: Filipino	23	1	6	0.2	2.485	0.0804828973843058	low
127000099	The Gambia	99	1	6	0.16	2.485	0.0643863179074447	low
415600299	China, Qidong City	99	1	6	0.09	2.485	0.0362173038229376	low
439200699	Japan, Yamagata Prefecture	99	1	6	0.06	2.485	0.0241448692152917	low
312400999	Canada, Yukon	99	1	7	7.95	2.355	3.37579617834395	high
384000320	USA, California, Los Angeles County: Chinese	20	1	7	0.47	2.355	0.199575371549894	low
470200020	Singapore: Chinese	20	1	7	0.46	2.355	0.195329087048832	low
439200299	Japan, Miyagi Prefecture	99	1	7	0.45	2.355	0.191082802547771	low
415600399	China, Shanghai City	99	1	7	0.43	2.355	0.182590233545648	low
435600799	India, Barshi, Paranda, and Bhum	99	1	7	0.42	2.355	0.178343949044586	low
476400299	Thailand, Khon Kaen	99	1	7	0.41	2.355	0.174097664543524	low
441000199	Korea, Kangwha County	99	1	7	0.4	2.355	0.169851380042463	low
384000321	USA, California, Los Angeles County: Japanese	21	1	7	0.35	2.355	0.148619957537155	low
415600499	China, Tianjin	99	1	7	0.31	2.355	0.131634819532909	low
384000942	USA, New Mexico: American Indian	42	1	7	0.27	2.355	0.114649681528662	low
439200199	Japan, Hiroshima Prefecture	99	1	7	0.27	2.355	0.114649681528662	low
439200399	Japan, Nagasaki Prefecture	99	1	7	0.27	2.355	0.114649681528662	low
312400499	Canada, Northwest Territories	99	1	7	0.21	2.355	0.089171974522293	low
384000322	USA, California, Los Angeles County: Korean	22	1	7	0.21	2.355	0.089171974522293	low
439200699	Japan, Yamagata Prefecture	99	1	7	0.14	2.355	0.059447983014862	low
439200599	Japan, Saga Prefecture	99	1	7	0.13	2.355	0.0552016985138004	low
415600299	China, Qidong City	99	1	7	0.06	2.355	0.0254777070063694	low
415600499	China, Tianjin	99	1	8	0.44	2.3	0.191304347826087	low
415603099	China, Hong Kong	99	1	8	0.44	2.3	0.191304347826087	low
415600999	China, Wuhan City	99	1	8	0.42	2.3	0.182608695652174	low
435600999	India, Karunagappally	99	1	8	0.41	2.3	0.178260869565217	low
439200199	Japan, Hiroshima Prefecture	99	1	8	0.41	2.3	0.178260869565217	low
460800399	Philippines, Rizal	99	1	8	0.41	2.3	0.178260869565217	low
415800099	China, Taiwan	99	1	8	0.39	2.3	0.169565217391304	low
441000399	Republic of Korea, Seoul	99	1	8	0.38	2.3	0.165217391304348	low
439200499	Japan, Osaka Prefecture	99	1	8	0.37	2.3	0.160869565217391	low
415600399	China, Shanghai City	99	1	8	0.35	2.3	0.152173913043478	low
384010230	USA, Louisiana, Central Region: Black	30	1	8	0.34	2.3	0.147826086956522	low
470400299	Viet Nam, Ho Chi Minh City	99	1	8	0.33	2.3	0.143478260869565	low
439200399	Japan, Nagasaki Prefecture	99	1	8	0.32	2.3	0.139130434782609	low
439200599	Japan, Saga Prefecture	99	1	8	0.31	2.3	0.134782608695652	low
415600199	China, Beijing City	99	1	8	0.3	2.3	0.130434782608696	low
441000299	Republic of Korea, Busan	99	1	8	0.29	2.3	0.126086956521739	low
476400399	Thailand, Bangkok	99	1	8	0.29	2.3	0.126086956521739	low
384000321	USA, California, Los Angeles County: Japanese	21	1	8	0.27	2.3	0.117391304347826	low
415600799	China, Jiashan County	99	1	8	0.25	2.3	0.108695652173913	low
441000499	Republic of Korea, Daegu	99	1	8	0.24	2.3	0.104347826086957	low
439200699	Japan, Yamagata Prefecture	99	1	8	0.14	2.3	0.0608695652173913	low
415600299	China, Qidong City	99	1	8	0.03	2.3	0.0130434782608696	low
439200199	Japan, Hiroshima Prefecture	99	1	9	0.48	2.44	0.19672131147541	low
415600399	China, Shanghai City	99	1	9	0.46	2.44	0.188524590163934	low
441000399	Republic of Korea, Seoul	99	1	9	0.45	2.44	0.184426229508197	low
415601499	China, Zhongshan City	99	1	9	0.44	2.44	0.180327868852459	low
439201099	Japan, Aichi Prefecture	99	1	9	0.44	2.44	0.180327868852459	low
441001099	Republic of Korea, Gwangju	99	1	9	0.42	2.44	0.172131147540984	low
441000599	Republic of Korea, Daejeon	99	1	9	0.4	2.44	0.163934426229508	low
441001199	Republic of Korea, Incheon	99	1	9	0.39	2.44	0.159836065573771	low
439200399	Japan, Nagasaki Prefecture	99	1	9	0.36	2.44	0.147540983606557	low
439200499	Japan, Osaka Prefecture	99	1	9	0.36	2.44	0.147540983606557	low
441000099	Republic of Korea	99	1	9	0.36	2.44	0.147540983606557	low
435600999	India, Karunagappally	99	1	9	0.33	2.44	0.135245901639344	low
441000499	Republic of Korea, Daegu	99	1	9	0.32	2.44	0.131147540983607	low
441000899	Republic of Korea, Ulsan	99	1	9	0.31	2.44	0.127049180327869	low
441000299	Republic of Korea, Busan	99	1	9	0.3	2.44	0.122950819672131	low
441000999	Republic of Korea, Jeju	99	1	9	0.27	2.44	0.110655737704918	low
415600799	China, Jiashan County	99	1	9	0.24	2.44	0.0983606557377049	low
439200699	Japan, Yamagata Prefecture	99	1	9	0.21	2.44	0.0860655737704918	low
384000942	USA, New Mexico: American Indian	42	1	9	0.2	2.44	0.0819672131147541	low
476400599	Thailand, Lampang	99	1	9	0.13	2.44	0.0532786885245902	low
415601599	China, Nangang District, Harbin City	99	1	9	0.08	2.44	0.0327868852459016	low
441000399	Republic of Korea, Seoul	99	1	10	0.5	2.51	0.199203187250996	low
441000499	Republic of Korea, Daegu	99	1	10	0.5	2.51	0.199203187250996	low
221800299	Ecuador, Cuenca	99	1	10	0.49	2.51	0.195219123505976	low
460800399	Philippines, Rizal	99	1	10	0.49	2.51	0.195219123505976	low
384005329	USA, Colorado: Asian and Pacific Islander	29	1	10	0.48	2.51	0.191235059760956	low
439200899	Japan, Niigata Prefecture	99	1	10	0.46	2.51	0.183266932270916	low
476400899	Thailand, Chonburi	99	1	10	0.46	2.51	0.183266932270916	low
441000099	Republic of Korea	99	1	10	0.45	2.51	0.179282868525896	low
439200499	Japan, Osaka Prefecture	99	1	10	0.43	2.51	0.171314741035857	low
439200299	Japan, Miyagi Prefecture	99	1	10	0.42	2.51	0.167330677290837	low
441000299	Republic of Korea, Busan	99	1	10	0.42	2.51	0.167330677290837	low
441000899	Republic of Korea, Ulsan	99	1	10	0.41	2.51	0.163346613545817	low
384000322	USA, California, Los Angeles County: Korean	22	1	10	0.39	2.51	0.155378486055777	low
415600199	China, Beijing City	99	1	10	0.38	2.51	0.151394422310757	low
415601499	China, Zhongshan City	99	1	10	0.36	2.51	0.143426294820717	low
441000599	Republic of Korea, Daejeon	99	1	10	0.36	2.51	0.143426294820717	low
441001099	Republic of Korea, Gwangju	99	1	10	0.36	2.51	0.143426294820717	low
441001199	Republic of Korea, Incheon	99	1	10	0.36	2.51	0.143426294820717	low
415600999	China, Wuhan City	99	1	10	0.28	2.51	0.111553784860558	low
476400399	Thailand, Bangkok	99	1	10	0.28	2.51	0.111553784860558	low
476400599	Thailand, Lampang	99	1	10	0.28	2.51	0.111553784860558	low
435601899	India, Sikkim State	99	1	10	0.25	2.51	0.099601593625498	low
415600399	China, Shanghai City	99	1	10	0.24	2.51	0.0956175298804781	low
238800199	Jamaica, Kingston and St Andrew	99	1	10	0.22	2.51	0.0876494023904383	low
384005629	USA, Georgia: Asian and Pacific Islander	29	1	10	0.21	2.51	0.0836653386454183	low
435601999	India, Mizoram	99	1	10	0.16	2.51	0.0637450199203187	low
415600299	China, Qidong City	99	1	10	0.15	2.51	0.0597609561752988	low
415602099	China, Haining City	99	1	10	0.15	2.51	0.0597609561752988	low
415601599	China, Nangang District, Harbin City	99	1	10	0.11	2.51	0.0438247011952191	low
171000199	South Africa, Eastern Cape	99	1	10	0.07	2.51	0.0278884462151395	low
384000321	USA, California, Los Angeles County: Japanese	21	1	10	0.07	2.51	0.0278884462151395	low
441000599	Republic of Korea, Daejeon	99	1	11	0.5	2.58	0.193798449612403	low
441001099	Republic of Korea, Gwangju	99	1	11	0.5	2.58	0.193798449612403	low
415602199	China, Hangzhou City	99	1	11	0.49	2.58	0.189922480620155	low
460800299	Philippines, Manila	99	1	11	0.49	2.58	0.189922480620155	low
415600199	China, Beijing City	99	1	11	0.48	2.58	0.186046511627907	low
415601299	China, Anshan City	99	1	11	0.47	2.58	0.182170542635659	low
415607199	China, Liuzhou City	99	1	11	0.47	2.58	0.182170542635659	low
435602299	India, Tripura	99	1	11	0.46	2.58	0.178294573643411	low
169000099	Seychelles	99	1	11	0.44	2.58	0.170542635658915	low
415606899	China, Lianyungang City	99	1	11	0.44	2.58	0.170542635658915	low
415600399	China, Shanghai City	99	1	11	0.43	2.58	0.166666666666667	low
476400599	Thailand, Lampang	99	1	11	0.43	2.58	0.166666666666667	low
435601899	India, Sikkim State	99	1	11	0.42	2.58	0.162790697674419	low
415600799	China, Jiashan County	99	1	11	0.41	2.58	0.158914728682171	low
415600899	China, Linzhou City	99	1	11	0.41	2.58	0.158914728682171	low
415600999	China, Wuhan City	99	1	11	0.41	2.58	0.158914728682171	low
435601599	India, Kamrup Urban District	99	1	11	0.4	2.58	0.155038759689923	low
415608399	China, Shenyang	99	1	11	0.39	2.58	0.151162790697674	low
476400399	Thailand, Bangkok	99	1	11	0.37	2.58	0.143410852713178	low
415602499	China, Guangzhou City	99	1	11	0.35	2.58	0.135658914728682	low
441000999	Republic of Korea, Jeju	99	1	11	0.35	2.58	0.135658914728682	low
476400299	Thailand, Khon Kaen	99	1	11	0.35	2.58	0.135658914728682	low
415602599	China, Haimen District, Nantong City	99	1	11	0.34	2.58	0.131782945736434	low
415603199	China, Benxi	99	1	11	0.34	2.58	0.131782945736434	low
470400299	Viet Nam, Ho Chi Minh City	99	1	11	0.34	2.58	0.131782945736434	low
415602399	China, Nanhu District, Jiaxing City	99	1	11	0.33	2.58	0.127906976744186	low
435601199	India, Dindigul, Ambilikkai	99	1	11	0.33	2.58	0.127906976744186	low
384005242	USA, Arizona: American Indian	42	1	11	0.32	2.58	0.124031007751938	low
415607599	China, Ma'anshan City	99	1	11	0.31	2.58	0.12015503875969	low
415601499	China, Zhongshan City	99	1	11	0.3	2.58	0.116279069767442	low
415605399	China, Hefei City	99	1	11	0.28	2.58	0.108527131782946	low
435602599	India, Cachar	99	1	11	0.27	2.58	0.104651162790698	low
684009920	USA, Hawaii: Chinese	20	1	11	0.27	2.58	0.104651162790698	low
384000320	USA, California, Los Angeles County: Chinese	20	1	11	0.26	2.58	0.10077519379845	low
171000199	South Africa, Eastern Cape	99	1	11	0.23	2.58	0.0891472868217054	low
384000322	USA, California, Los Angeles County: Korean	22	1	11	0.23	2.58	0.0891472868217054	low
415606099	China, Jiangmen City	99	1	11	0.23	2.58	0.0891472868217054	low
415603299	China, Jianhu County	99	1	11	0.21	2.58	0.0813953488372093	low
415608899	China, Tongling City	99	1	11	0.2	2.58	0.0775193798449612	low
415605199	China, Guanyun County	99	1	11	0.19	2.58	0.0736434108527132	low
415609999	China, Yanshi City	99	1	11	0.17	2.58	0.0658914728682171	low
415601599	China, Nangang District, Harbin City	99	1	11	0.15	2.58	0.0581395348837209	low
415609699	China, Xiping County	99	1	11	0.15	2.58	0.0581395348837209	low
415601899	China, Yanting County	99	1	11	0.14	2.58	0.0542635658914729	low
415605499	China, Hengdong County	99	1	11	0.14	2.58	0.0542635658914729	low
415609299	China, Wuxi City	99	1	11	0.14	2.58	0.0542635658914729	low
415605799	China, Huaiyin District, Huai'an City	99	1	11	0.11	2.58	0.0426356589147287	low
476400799	Thailand, Lopburi Province	99	1	11	0.1	2.58	0.0387596899224806	low
415610599	China, Zhuhai City	99	1	11	0.09	2.58	0.0348837209302326	low
435601999	India, Mizoram	99	1	11	0.06	2.58	0.0232558139534884	low
120400199	Benin, Cotonou	99	1	12	0.41	2.065	0.198547215496368	low
415602199	China, Hangzhou City	99	1	12	0.41	2.065	0.198547215496368	low
415607399	China, Luoyang City	99	1	12	0.41	2.065	0.198547215496368	low
415619199	China, Lucheng District, Wenzhou City	99	1	12	0.41	2.065	0.198547215496368	low
415621299	China, Rugao City	99	1	12	0.41	2.065	0.198547215496368	low
415601499	China, Zhongshan City	99	1	12	0.4	2.065	0.193704600484262	low
415605299	China, Guilin City	99	1	12	0.4	2.065	0.193704600484262	low
415624299	China, Xiangfu District, Kaifeng City	99	1	12	0.4	2.065	0.193704600484262	low
384005242	USA, Arizona: American Indian	42	1	12	0.39	2.065	0.188861985472155	low
415617299	China, Jiulongpo District, Chongqing City	99	1	12	0.39	2.065	0.188861985472155	low
435602299	India, Tripura	99	1	12	0.39	2.065	0.188861985472155	low
415603599	China, Linqu County	99	1	12	0.38	2.065	0.184019370460048	low
415605399	China, Hefei City	99	1	12	0.38	2.065	0.184019370460048	low
415610599	China, Zhuhai City	99	1	12	0.38	2.065	0.184019370460048	low
415613999	China, Feixi County	99	1	12	0.38	2.065	0.184019370460048	low
415622999	China, Suzhou City	99	1	12	0.38	2.065	0.184019370460048	low
415602499	China, Guangzhou City	99	1	12	0.37	2.065	0.179176755447942	low
415627599	China, Zhengding County	99	1	12	0.37	2.065	0.179176755447942	low
415613299	China, Dongguan City	99	1	12	0.36	2.065	0.174334140435835	low
415616899	China, Jinan City	99	1	12	0.36	2.065	0.174334140435835	low
415626199	China, Yongkang City	99	1	12	0.36	2.065	0.174334140435835	low
415601699	China, Shexian County	99	1	12	0.35	2.065	0.169491525423729	low
415604899	China, Ganzhou District, Zhangye City	99	1	12	0.35	2.065	0.169491525423729	low
415609699	China, Xiping County	99	1	12	0.35	2.065	0.169491525423729	low
415613499	China, Duanzhou District, Zhaoqing City	99	1	12	0.35	2.065	0.169491525423729	low
415615199	China, Hailar District, Hulun Buir City	99	1	12	0.35	2.065	0.169491525423729	low
415618799	China, Liyang City	99	1	12	0.35	2.065	0.169491525423729	low
415620799	China, Qingzhou City	99	1	12	0.35	2.065	0.169491525423729	low
476400299	Thailand, Khon Kaen	99	1	12	0.35	2.065	0.169491525423729	low
415601299	China, Anshan City	99	1	12	0.34	2.065	0.164648910411622	low
476400799	Thailand, Lopburi Province	99	1	12	0.34	2.065	0.164648910411622	low
415616499	China, Yinzhou District, Ningbo City	99	1	12	0.33	2.065	0.159806295399516	low
441000999	Republic of Korea, Jeju	99	1	12	0.33	2.065	0.159806295399516	low
415604199	China, Dancheng County	99	1	12	0.32	2.065	0.154963680387409	low
415609399	China, Xianju County	99	1	12	0.32	2.065	0.154963680387409	low
415619599	China, Luquan City	99	1	12	0.32	2.065	0.154963680387409	low
415625999	China, Yong'an City	99	1	12	0.32	2.065	0.154963680387409	low
415624399	China, Xin'an County	99	1	12	0.31	2.065	0.150121065375303	low
415600899	China, Linzhou City	99	1	12	0.3	2.065	0.145278450363196	low
415614299	China, Fuqing City	99	1	12	0.3	2.065	0.145278450363196	low
415609299	China, Wuxi City	99	1	12	0.29	2.065	0.14043583535109	low
415610299	China, Yueyanglou District, Yueyang City	99	1	12	0.29	2.065	0.14043583535109	low
415617199	China, Jintan District, Changzhou City	99	1	12	0.29	2.065	0.14043583535109	low
415620299	China, Nanxiong City	99	1	12	0.29	2.065	0.14043583535109	low
435601799	India, Manipur	99	1	12	0.29	2.065	0.14043583535109	low
435603799	India, Sangrur District	99	1	12	0.29	2.065	0.14043583535109	low
415608199	China, Shangyu District, Shaoxing City	99	1	12	0.28	2.065	0.135593220338983	low
415610499	China, Zhuanghe City	99	1	12	0.28	2.065	0.135593220338983	low
415623799	China, Wuhu City	99	1	12	0.28	2.065	0.135593220338983	low
415623999	China, Wuzhou City	99	1	12	0.28	2.065	0.135593220338983	low
415616099	China, Hongta District, Yuxi City	99	1	12	0.27	2.065	0.130750605326877	low
435600799	India, Barshi, Paranda, and Bhum	99	1	12	0.27	2.065	0.130750605326877	low
435601699	India, Dibrugarh	99	1	12	0.27	2.065	0.130750605326877	low
