country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	10	1	4.67	0.07	66.7142857142857	30	21	12
840	9	2	3.35	0.09	37.2222222222222	10	20	11
840	7	2	3.64	0.15	24.2666666666667	10	20	10
840	6	1	4.41	0.2	22.05	10	23	9
840	7	1	4.33	0.21	20.6190476190476	60	22	10
840	11	1	4.44	0.23	19.304347826087	30	22	12
840	9	1	3.65	0.2	18.25	10	42	11
840	2	1	4.46	0.32	13.9375	45	23	8
840	2	2	3.7	0.36	10.2777777777778	23	30	8
376	7	2	5.86	1.06	5.52830188679245	91	96	4
840	3	1	5.47	1.07	5.11214953271028	10	20	9
702	5	1	0.8	0.18	4.44444444444444	20	40	3
376	7	1	6.32	1.78	3.55056179775281	91	96	4
376	5	2	2.24	0.64	3.5	91	94	5
414	11	2	2.57	0.79	3.25316455696203	25	26	2
702	8	1	1.68	0.53	3.16981132075472	40	20	3
702	9	2	1.25	0.41	3.04878048780488	27	20	3
702	7	1	1.39	0.46	3.02173913043478	27	20	3
36	10	2	1.66	0.55	3.01818181818182	63	62	2
376	2	2	3.36	1.31	2.56488549618321	91	94	5
376	6	2	2.72	1.1	2.47272727272727	91	94	5
554	5	2	2.73	1.11	2.45945945945946	29	28	3
554	6	2	1.83	0.75	2.44	36	28	2
414	10	1	3.09	1.31	2.3587786259542	25	26	2
414	5	1	3.39	1.46	2.32191780821918	26	25	2
414	12	1	3.59	1.57	2.28662420382166	25	26	2
702	4	1	1.77	0.78	2.26923076923077	40	27	3
554	7	2	1.31	0.58	2.25862068965517	36	28	2
702	3	1	2.18	0.98	2.22448979591837	40	20	3
702	12	2	1.93	0.87	2.2183908045977	27	40	3
702	8	2	0.77	0.36	2.13888888888889	40	20	3
376	8	2	3.54	1.66	2.13253012048193	97	94	5
702	6	2	0.4	0.19	2.10526315789474	27	40	3
702	6	1	1.17	0.56	2.08928571428571	27	20	3
414	11	1	4.15	1.99	2.08542713567839	25	26	2
554	4	1	3.75	1.8	2.08333333333333	36	28	2
414	7	1	4.03	1.95	2.06666666666667	25	26	2
376	5	1	3.84	1.86	2.06451612903226	91	94	5
36	12	2	2.15	1.05	2.04761904761905	63	62	2
702	10	2	1.35	0.66	2.04545454545455	40	20	3
554	11	1	2.31	1.14	2.02631578947368	29	28	2
