CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	238800199	Jamaica, Kingston and St Andrew	3.72	0.41	9.07317073170732	1.72095135380598	male_heavy
1	439200299	Japan, Miyagi Prefecture	1.35	0.16	8.4375	1.72095135380598	male_heavy
1	156600199	Nigeria,  Ibadan	2.93	0.79	3.70886075949367	1.72095135380598	male_heavy
2	312400899	Canada, Newfoundland and Labrador	2.23	0.45	4.95555555555556	1.7378640776699	male_heavy
2	238800199	Jamaica, Kingston and St Andrew	3.03	0.74	4.09459459459459	1.7378640776699	male_heavy
3	439200499	Japan, Osaka Prefecture	1.14	0.26	4.38461538461538	1.66836734693878	male_heavy
3	534800299	Hungary, County Szabolcs-Szatmar	2.24	0.64	3.5	1.66836734693878	male_heavy
4	168600199	Senegal, Dakar	3.4	0.78	4.35897435897436	1.59016393442623	male_heavy
4	575600399	Switzerland, Neuchâtel	5.04	1.46	3.45205479452055	1.59016393442623	male_heavy
4	525000399	France, Doubs	0.76	3.98	0.190954773869347	1.59016393442623	female_heavy
5	435600599	India, Nagpur	1.1	0.17	6.47058823529412	1.60377358490566	male_heavy
5	435600499	India, Chennai	2.3	0.47	4.8936170212766	1.60377358490566	male_heavy
5	537200199	Ireland, Southern	3.11	0.77	4.03896103896104	1.60377358490566	male_heavy
5	435600299	India, Bangalore	1.56	0.47	3.31914893617021	1.60377358490566	male_heavy
5	252809999	Netherlands, Antilles	2.07	0.64	3.234375	1.60377358490566	male_heavy
5	207601599	Brazil, Recife	1.03	1.92	0.536458333333333	1.60377358490566	female_heavy
5	312400499	Canada, Northwest Territories	0.78	1.65	0.472727272727273	1.60377358490566	female_heavy
6	260400199	Peru, Trujillo	1.77	0.21	8.42857142857143	1.51296647691335	male_heavy
6	439200199	Japan, Hiroshima Prefecture	0.47	0.11	4.27272727272727	1.51296647691335	male_heavy
6	476400299	Thailand, Khon Kaen	1.17	0.32	3.65625	1.51296647691335	male_heavy
6	535200099	Iceland	1.99	0.58	3.43103448275862	1.51296647691335	male_heavy
6	572400499	Spain, Navarra	3.58	1.1	3.25454545454545	1.51296647691335	male_heavy
6	312400499	Canada, Northwest Territories	2.66	0.84	3.16666666666667	1.51296647691335	male_heavy
6	207600299	Brazil, Goiânia	1.04	1.57	0.662420382165605	1.51296647691335	female_heavy
6	582606699	United Kingdom, Scotland, North	2.69	4.39	0.612756264236902	1.51296647691335	female_heavy
6	219200099	Cuba	1.5	2.81	0.533807829181495	1.51296647691335	female_heavy
7	260400199	Peru, Trujillo	0.86	0.1	8.6	1.3625730994152	male_heavy
7	180000299	Uganda, Kyadondo County	0.9	0.21	4.28571428571429	1.3625730994152	male_heavy
7	575600799	Switzerland, Graubunden	3.91	1.1	3.55454545454545	1.3625730994152	male_heavy
7	439200699	Japan, Yamagata Prefecture	0.14	0.04	3.5	1.3625730994152	male_heavy
7	415600299	China, Qidong City	0.06	0.02	3	1.3625730994152	male_heavy
7	525000799	France, Tarn	2.1	0.71	2.95774647887324	1.3625730994152	male_heavy
7	476400199	Thailand, Chiang Mai	1.18	0.41	2.87804878048781	1.3625730994152	male_heavy
7	572400199	Spain, Tarragona	2.93	1.06	2.76415094339623	1.3625730994152	male_heavy
7	575600899	Switzerland, Valais	1.64	2.58	0.635658914728682	1.3625730994152	female_heavy
8	476400499	Thailand, Songkhla	0.77	0.12	6.41666666666667	1.36338742393509	male_heavy
8	127000099	The Gambia	0.47	0.09	5.22222222222222	1.36338742393509	male_heavy
8	439200599	Japan, Saga Prefecture	0.31	0.07	4.42857142857143	1.36338742393509	male_heavy
8	458600199	Pakistan, South Karachi	2.82	0.75	3.76	1.36338742393509	male_heavy
8	435600899	India, Trivandrum	0.78	0.22	3.54545454545455	1.36338742393509	male_heavy
8	125009099	France, La Réunion	0.96	0.28	3.42857142857143	1.36338742393509	male_heavy
8	441000499	Republic of Korea, Daegu	0.24	0.07	3.42857142857143	1.36338742393509	male_heavy
8	415600499	China, Tianjin	0.44	0.14	3.14285714285714	1.36338742393509	male_heavy
8	572400999	Spain, Albacete	2.51	0.86	2.91860465116279	1.36338742393509	male_heavy
8	435600499	India, Chennai	1.27	0.46	2.76086956521739	1.36338742393509	male_heavy
8	504000899	Austria, Vorarlberg	1.51	2.26	0.668141592920354	1.36338742393509	female_heavy
8	312400499	Canada, Northwest Territories	0.49	0.77	0.636363636363636	1.36338742393509	female_heavy
8	538000599	Italy, Parma	1.43	2.9	0.493103448275862	1.36338742393509	female_heavy
9	435600999	India, Karunagappally	0.33	0.08	4.125	1.2703003875969	male_heavy
9	435600599	India, Nagpur	0.9	0.28	3.21428571428571	1.2703003875969	male_heavy
9	575601199	Switzerland, Graubünden and Glarus	3.3	1.11	2.97297297297297	1.2703003875969	male_heavy
9	441001199	Republic of Korea, Incheon	0.39	0.14	2.78571428571429	1.2703003875969	male_heavy
9	439200999	Japan, Fukui Prefecture	0.5	0.18	2.77777777777778	1.2703003875969	male_heavy
9	547000099	Malta	3.41	1.27	2.68503937007874	1.2703003875969	male_heavy
9	215200199	Chile, Valdivia	2.15	0.83	2.59036144578313	1.2703003875969	male_heavy
9	538000599	Italy, Parma	2.47	4.2	0.588095238095238	1.2703003875969	female_heavy
9	538002899	Italy, Sondrio	1.59	2.92	0.544520547945206	1.2703003875969	female_heavy
9	415600799	China, Jiashan County	0.24	0.83	0.289156626506024	1.2703003875969	female_heavy
10	435600999	India, Karunagappally	0.79	0.14	5.64285714285714	1.25347819439667	male_heavy
10	435601999	India, Mizoram	0.16	0.03	5.33333333333333	1.25347819439667	male_heavy
10	441001099	Republic of Korea, Gwangju	0.36	0.08	4.5	1.25347819439667	male_heavy
10	445800299	Malaysia, Penang	1.16	0.35	3.31428571428571	1.25347819439667	male_heavy
10	221800199	Ecuador, Quito	1.48	0.46	3.21739130434783	1.25347819439667	male_heavy
10	441000599	Republic of Korea, Daejeon	0.36	0.12	3	1.25347819439667	male_heavy
10	479200799	Turkey, Edirne	1.57	0.61	2.57377049180328	1.25347819439667	male_heavy
10	435600299	India, Bangalore	1.24	0.49	2.53061224489796	1.25347819439667	male_heavy
10	203200899	Argentina, Tierra del Fuego	1.33	2.13	0.624413145539906	1.25347819439667	female_heavy
10	415602099	China, Haining City	0.15	0.25	0.6	1.25347819439667	female_heavy
10	538003099	Italy, Trapani	2.26	3.8	0.594736842105263	1.25347819439667	female_heavy
10	238800199	Jamaica, Kingston and St Andrew	0.22	0.45	0.488888888888889	1.25347819439667	female_heavy
10	415601599	China, Nangang District, Harbin City	0.11	0.3	0.366666666666667	1.25347819439667	female_heavy
11	625009399	France, New Caledonia	1.67	0.32	5.21875	1.26540002356545	male_heavy
11	415607599	China, Ma'anshan City	0.31	0.06	5.16666666666667	1.26540002356545	male_heavy
11	171000199	South Africa, Eastern Cape	0.23	0.05	4.6	1.26540002356545	male_heavy
11	435602299	India, Tripura	0.46	0.11	4.18181818181818	1.26540002356545	male_heavy
11	415608899	China, Tongling City	0.2	0.05	4	1.26540002356545	male_heavy
11	415607199	China, Liuzhou City	0.47	0.12	3.91666666666667	1.26540002356545	male_heavy
11	415602399	China, Nanhu District, Jiaxing City	0.33	0.09	3.66666666666667	1.26540002356545	male_heavy
11	415609399	China, Xianju County	0.55	0.16	3.4375	1.26540002356545	male_heavy
11	603600899	Australia, Northern Territory	2.76	0.81	3.40740740740741	1.26540002356545	male_heavy
11	470400299	Viet Nam, Ho Chi Minh City	0.34	0.12	2.83333333333333	1.26540002356545	male_heavy
11	603600199	Australian Capital Territory	1.39	2.47	0.562753036437247	1.26540002356545	female_heavy
