id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
520800099	Denmark	99	1	12	1	4.4	12	15.11	4.17	2	15.11	12	243.409090909091	U	243.409090909091
312400899	Canada, Newfoundland and Labrador	99	1	12	1	4.62	12	15.39	3.73	3	15.39	12	233.116883116883	U	233.116883116883
582601599	UK, England, London	99	1	6	1	4.14	11	12.83	4.03	3	12.83	11	209.903381642512	U	209.903381642512
570500099	Slovenia	99	1	12	1	3.58	12	10.17	2.85	2	10.17	12	184.078212290503	U	184.078212290503
582600799	UK, England, East Midlands	99	1	9	2	4.76	11	13.48	4.71	3	13.48	11	183.193277310924	U	183.193277310924
470200040	Singapore: Indian	40	1	9	3	2.74	12	7.34	2.62	8	7.34	12	167.883211678832	U	167.883211678832
439200299	Japan, Miyagi Prefecture	99	1	12	1	3.65	12	9.7	2.88	3	9.7	12	165.753424657534	U	165.753424657534
312401199	Canada, Quebec	99	1	9	2	6.12	12	15.14	5.97	3	15.14	12	147.385620915033	U	147.385620915033
527600299	Germany, Hamburg	99	1	7	3	4.46	12	10.87	3.53	5	12.16	11	143.72197309417	U	143.72197309417
535200099	Iceland	99	1	10	1	4.2	12	9.92	4.09	5	11.54	10	136.190476190476	U	136.190476190476
582600499	UK, England, Oxford Region	99	1	9	2	5.65	10	12.17	5.57	3	12.17	10	115.398230088496	U	115.398230088496
582600399	UK, England, North West	99	1	8	4	5.2	11	11.14	5.03	5	11.14	11	114.230769230769	U	114.230769230769
384000499	USA, Connecticut	99	1	10	1	6.91	12	14.76	0	2	16.86	10	113.603473227207	U	113.603473227207
572400499	Spain, Navarra	99	1	9	4	5.57	12	11.72	5.5	5	11.72	12	110.412926391382	U	110.412926391382
575600399	Switzerland, Neuchâtel	99	1	8	4	5.97	11	11.97	4.75	5	14.13	8	100.502512562814	U	100.502512562814
437600090	Israel: Jews	90	1	11	2	9.76	12	18.81	9.37	6	18.81	12	92.7254098360656	U	92.7254098360656
525000799	France, Tarn	99	1	7	6	6.85	12	12.66	5.89	7	12.66	12	84.8175182481752	U	84.8175182481752
655400099	New Zealand	99	1	10	1	7.41	12	13.52	7.23	5	13.52	12	82.4561403508772	U	82.4561403508772
221800199	Ecuador, Quito	99	1	7	6	8.25	12	14.97	8.04	7	14.97	12	81.4545454545455	U	81.4545454545455
435600899	India, Trivandrum	99	1	6	7	27.19	12	5.1	2.65	8	27.19	7	-81.2431040823832	U	81.2431040823832
384000730	USA, Louisiana, New Orleans: Black	30	1	9	4	7.18	12	12.94	4.34	5	15.13	10	80.2228412256267	U	80.2228412256267
435600299	India, Bangalore	99	1	7	5	3.34	12	5.95	2.85	6	5.95	12	78.1437125748503	U	78.1437125748503
437600096	Israel: Jews born in Africa or Asia	96	1	7	2	7.76	8	13.29	7.42	6	13.29	8	71.2628865979381	U	71.2628865979381
415600299	China, Qidong City	99	1	6	6	3.2	12	5.36	3.13	8	5.36	12	67.5	U	67.5
525000399	France, Doubs	99	1	9	4	8.04	12	13.19	5.75	5	13.19	12	64.0547263681592	U	64.0547263681592
603600599	Australia, Tasmania	99	1	8	5	8.92	12	13.97	8.8	6	16.01	11	56.6143497757848	U	56.6143497757848
476400199	Thailand, Chiang Mai	99	1	7	6	4.53	12	6.97	3.77	7	7.35	11	53.8631346578366	U	53.8631346578366
415600799	China, Jiashan County	99	1	5	8	3.49	12	5.34	3.39	9	5.34	12	53.0085959885387	U	53.0085959885387
437600097	Israel: Jews born in Europe or America	97	1	6	2	9.56	8	14.59	9.33	6	14.59	8	52.6150627615063	U	52.6150627615063
312400499	Canada, Northwest Territories	99	1	7	5	8.63	11	13	8.29	8	16.51	10	50.6373117033604	U	50.6373117033604
603600499	Australia, South Australia	99	1	9	4	12.26	12	18.09	10.79	5	18.09	12	47.5530179445351	U	47.5530179445351
384000323	USA, California, Los Angeles County: Filipino	23	1	8	5	7.25	12	10.44	6.14	6	14.66	9	44	U	44
180000299	Uganda, Kyadondo County	99	1	7	1	4.2	12	6.04	2.31	7	9.59	10	43.8095238095238	U	43.8095238095238
217000199	Colombia, Cali	99	1	12	1	7.33	12	10.54	4.51	3	11.71	10	43.7926330150068	U	43.7926330150068
312401299	Canada, Saskatchewan	99	1	12	1	8.69	12	12.48	8.34	2	14.18	10	43.6133486766398	U	43.6133486766398
439200399	Japan, Nagasaki Prefecture	99	1	8	4	14.44	11	8.6	7.29	6	14.44	4	-40.4432132963989	U	40.4432132963989
437600099	Israel	99	1	11	1	12.75	12	17.62	9.99	2	17.62	12	38.1960784313726	U	38.1960784313726
207600299	Brazil, Goiânia	99	1	7	6	5.25	12	7.16	5.09	7	11.4	10	36.3809523809524	U	36.3809523809524
684009921	USA, Hawaii: Japanese	21	1	12	1	6.71	12	9.14	6.62	5	12.49	11	36.2146050670641	U	36.2146050670641
207600899	Brazil, Sao Paulo	99	1	5	3	7.69	10	10.35	7.07	5	11.37	9	34.5903771131339	U	34.5903771131339
504000799	Austria, Tyrol	99	1	6	7	6.8	12	9.07	5.53	8	11.14	9	33.3823529411765	U	33.3823529411765
384000330	USA, California, Los Angeles County: Black	30	1	9	4	7.57	12	10.05	6.39	5	12.77	9	32.7608982826949	U	32.7608982826949
384000320	USA, California, Los Angeles County: Chinese	20	1	9	4	5.52	12	7.09	4.3	6	9.27	10	28.4420289855073	U	28.4420289855073
684009945	USA, Hawaii: Hawaiian	45	1	12	1	12.98	12	9.36	8.88	6	13.54	11	-27.8890600924499	U	27.8890600924499
