id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
561600699	Poland, Warsaw Rural	99	1	2	1.05	5.63	0.186500888099467	low
101200199	Algeria, Sétif	99	1	6	1.36	7.73	0.175937904269082	low
146600199	Mali, Bamako	99	1	6	1.35	7.73	0.174644243208279	low
435600799	India, Barshi, Paranda, and Bhum	99	1	7	0.96	9.14	0.105032822757112	low
127000099	The Gambia	99	1	8	1.71	9.575	0.178590078328982	low
415601599	China, Nangang District, Harbin City	99	1	10	2.22	11.69	0.189905902480753	low
415600699	China, Cixian County	99	1	10	2.11	11.69	0.180496150556031	low
435600799	India, Barshi, Paranda, and Bhum	99	1	10	1.72	11.69	0.147134302822926	low
435601199	India, Dindigul, Ambilikkai	99	1	10	1.45	11.69	0.124037639007699	low
171000199	South Africa, Eastern Cape	99	1	10	0.61	11.69	0.0521813515825492	low
435601899	India, Sikkim State	99	1	10	0.49	11.69	0.0419161676646707	low
435600799	India, Barshi, Paranda, and Bhum	99	1	11	2.12	11.145	0.190219829519964	low
415601599	China, Nangang District, Harbin City	99	1	11	1.95	11.145	0.174966352624495	low
435600199	India, Ahmedabad	99	1	11	1.9	11.145	0.170480035890534	low
415600899	China, Linzhou City	99	1	11	1.78	11.145	0.159712875729026	low
435602099	India, Wardha	99	1	11	1.72	11.145	0.154329295648273	low
171000199	South Africa, Eastern Cape	99	1	11	1.59	11.145	0.142664872139973	low
435601899	India, Sikkim State	99	1	11	1.53	11.145	0.137281292059219	low
435601199	India, Dindigul, Ambilikkai	99	1	11	1.2	11.145	0.107671601615074	low
415606799	China, Lianshui County	99	1	12	1.81	9.42	0.192144373673036	low
415624399	China, Xin'an County	99	1	12	1.7	9.42	0.180467091295117	low
415611399	China, Arongqi	99	1	12	1.69	9.42	0.179405520169851	low
415625199	China, Xuyi County	99	1	12	1.65	9.42	0.17515923566879	low
564300999	Russian Federation, Kaliningrad	99	1	12	1.64	9.42	0.174097664543524	low
415604899	China, Ganzhou District, Zhangye City	99	1	12	1.56	9.42	0.165605095541401	low
435601199	India, Dindigul, Ambilikkai	99	1	12	1.55	9.42	0.164543524416136	low
435601699	India, Dibrugarh	99	1	12	1.54	9.42	0.16348195329087	low
171000199	South Africa, Eastern Cape	99	1	12	1.52	9.42	0.16135881104034	low
415605799	China, Huaiyin District, Huai'an City	99	1	12	1.49	9.42	0.158174097664544	low
415601999	China, Yangzhong City	99	1	12	1.37	9.42	0.145435244161359	low
564300799	Russian Federation, Pskov	99	1	12	1.33	9.42	0.141188959660297	low
415626499	China, Yucheng County	99	1	12	1.31	9.42	0.139065817409766	low
415623699	China, Wanzai County	99	1	12	1.25	9.42	0.132696390658174	low
435602499	India, Meghalaya	99	1	12	1.23	9.42	0.130573248407643	low
564301199	Russian Federation, Murmansk	99	1	12	1.11	9.42	0.117834394904459	low
564300699	Russian Federation, Arkhangelsk	99	1	12	1.03	9.42	0.109341825902335	low
415622799	China, Song County	99	1	12	1.02	9.42	0.10828025477707	low
415613199	China, Donggang County	99	1	12	0.98	9.42	0.104033970276008	low
415613799	China, Fangcheng County	99	1	12	0.94	9.42	0.0997876857749469	low
564301299	Russian Federation, Vologda Region	99	1	12	0.73	9.42	0.0774946921443737	low
603600862	Australia, Northern Territory: Indigenous	62	1	12	0.47	9.42	0.0498938428874735	low
415619699	China, Meihekou City	99	1	12	0.04	9.42	0.00424628450106157	low
171600170	Zimbabwe, Bulawayo: African	70	2	2	0.51	3.7	0.137837837837838	low
561601499	Poland, Katowice District	99	2	2	0.4	3.7	0.108108108108108	low
561601499	Poland, Katowice District	99	2	3	0.86	4.365	0.197021764032073	low
561601499	Poland, Katowice District	99	2	4	0.91	4.94	0.184210526315789	low
435600499	India, Chennai	99	2	5	0.88	4.65	0.189247311827957	low
561600399	Poland, Nowy Sacz	99	2	5	0.73	4.65	0.156989247311828	low
435600599	India, Nagpur	99	2	5	0.66	4.65	0.141935483870968	low
564200199	Romania, County Cluj	99	2	6	1.06	5.405	0.196114708603145	low
101200199	Algeria, Sétif	99	2	6	0.83	5.405	0.153561517113784	low
146600199	Mali, Bamako	99	2	6	0.42	5.405	0.0777058279370953	low
437600091	Israel: Jews born in Israel	91	2	7	21.04	6.335	3.32123125493291	high
435600899	India, Trivandrum	99	2	7	19.14	6.335	3.02131018153118	high
435600999	India, Karunagappally	99	2	7	1.11	6.335	0.175217048145225	low
146600199	Mali, Bamako	99	2	7	0.94	6.335	0.148382004735596	low
435600799	India, Barshi, Paranda, and Bhum	99	2	7	0.6	6.335	0.0947119179163378	low
435600199	India, Ahmedabad	99	2	8	1.23	6.735	0.182628062360802	low
127000099	The Gambia	99	2	8	0.39	6.735	0.0579064587973274	low
415601599	China, Nangang District, Harbin City	99	2	10	1.57	8.33	0.188475390156062	low
415601899	China, Yanting County	99	2	10	1.53	8.33	0.183673469387755	low
415600699	China, Cixian County	99	2	10	1.41	8.33	0.169267707082833	low
435601899	India, Sikkim State	99	2	10	1.11	8.33	0.133253301320528	low
435600799	India, Barshi, Paranda, and Bhum	99	2	10	0.85	8.33	0.102040816326531	low
171000199	South Africa, Eastern Cape	99	2	10	0.64	8.33	0.0768307322929172	low
435601199	India, Dindigul, Ambilikkai	99	2	10	0.58	8.33	0.0696278511404562	low
435602599	India, Cachar	99	2	11	1.47	7.665	0.191780821917808	low
435602099	India, Wardha	99	2	11	1.32	7.665	0.172211350293542	low
415601599	China, Nangang District, Harbin City	99	2	11	1.25	7.665	0.163078930202218	low
415600899	China, Linzhou City	99	2	11	1.18	7.665	0.153946510110894	low
435602299	India, Tripura	99	2	11	1.16	7.665	0.151337247227658	low
435601899	India, Sikkim State	99	2	11	1.12	7.665	0.146118721461187	low
415605799	China, Huaiyin District, Huai'an City	99	2	11	1.1	7.665	0.143509458577952	low
171000199	South Africa, Eastern Cape	99	2	11	1.07	7.665	0.139595564253099	low
435600799	India, Barshi, Paranda, and Bhum	99	2	11	0.97	7.665	0.126549249836921	low
435600199	India, Ahmedabad	99	2	11	0.91	7.665	0.118721461187215	low
435601199	India, Dindigul, Ambilikkai	99	2	11	0.84	7.665	0.10958904109589	low
415624399	China, Xin'an County	99	2	12	1.25	6.495	0.192455735180908	low
415600699	China, Cixian County	99	2	12	1.24	6.495	0.190916089299461	low
415604499	China, Dehui City	99	2	12	1.23	6.495	0.189376443418014	low
435603799	India, Sangrur District	99	2	12	1.23	6.495	0.189376443418014	low
435604099	India, Tamil Nadu	99	2	12	1.23	6.495	0.189376443418014	low
171000199	South Africa, Eastern Cape	99	2	12	1.22	6.495	0.187836797536567	low
435602099	India, Wardha	99	2	12	1.22	6.495	0.187836797536567	low
415622799	China, Song County	99	2	12	1.21	6.495	0.186297151655119	low
564300999	Russian Federation, Kaliningrad	99	2	12	1.21	6.495	0.186297151655119	low
435601699	India, Dibrugarh	99	2	12	1.2	6.495	0.184757505773672	low
435602299	India, Tripura	99	2	12	1.1	6.495	0.169361046959199	low
435601199	India, Dindigul, Ambilikkai	99	2	12	1.09	6.495	0.167821401077752	low
415614899	China, Guanghan City	99	2	12	1.08	6.495	0.166281755196305	low
415600599	China, Feicheng City	99	2	12	1.07	6.495	0.164742109314858	low
415609099	China, Wu'an City	99	2	12	1.06	6.495	0.16320246343341	low
564300799	Russian Federation, Pskov	99	2	12	1.04	6.495	0.160123171670516	low
415611399	China, Arongqi	99	2	12	0.99	6.495	0.152424942263279	low
564301199	Russian Federation, Murmansk	99	2	12	0.98	6.495	0.150885296381832	low
435602499	India, Meghalaya	99	2	12	0.97	6.495	0.149345650500385	low
415601999	China, Yangzhong City	99	2	12	0.95	6.495	0.14626635873749	low
415619499	China, Luohe City	99	2	12	0.95	6.495	0.14626635873749	low
415604199	China, Dancheng County	99	2	12	0.93	6.495	0.143187066974596	low
435600799	India, Barshi, Paranda, and Bhum	99	2	12	0.92	6.495	0.141647421093149	low
415626499	China, Yucheng County	99	2	12	0.85	6.495	0.130869899923018	low
415623699	China, Wanzai County	99	2	12	0.84	6.495	0.12933025404157	low
415613799	China, Fangcheng County	99	2	12	0.83	6.495	0.127790608160123	low
564300699	Russian Federation, Arkhangelsk	99	2	12	0.81	6.495	0.124711316397229	low
415613199	China, Donggang County	99	2	12	0.79	6.495	0.121632024634334	low
415604899	China, Ganzhou District, Zhangye City	99	2	12	0.75	6.495	0.115473441108545	low
564301299	Russian Federation, Vologda Region	99	2	12	0.66	6.495	0.10161662817552	low
415626799	China, Yunyang District, Shiyan City	99	2	12	0.52	6.495	0.0800615858352579	low
415625199	China, Xuyi County	99	2	12	0.38	6.495	0.0585065434949962	low
415619699	China, Meihekou City	99	2	12	0.19	6.495	0.0292532717474981	low
