country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
36	12	1	10.79	0.47	22.9574468085106	63	62	2
840	6	2	9.58	1.17	8.18803418803419	10	22	9
840	3	1	13.26	2.02	6.56435643564356	10	20	9
840	7	1	22.66	3.8	5.96315789473684	60	42	10
36	12	2	8.43	1.56	5.40384615384615	63	62	2
840	8	1	22.73	4.72	4.8156779661017	60	42	10
840	10	2	13.99	3.04	4.60197368421053	42	29	12
840	10	1	18.85	4.12	4.5752427184466	60	29	12
840	5	1	11.27	2.51	4.49003984063745	10	22	10
840	11	1	18.78	4.41	4.25850340136054	10	42	12
840	6	1	17.41	4.3	4.04883720930233	10	20	9
840	2	2	6.89	1.75	3.93714285714286	30	23	8
840	12	1	17.95	4.84	3.70867768595041	10	42	12
702	9	1	11.92	3.35	3.55820895522388	27	40	3
414	5	1	10.1	2.84	3.55633802816901	26	25	2
840	12	2	12.68	3.59	3.53203342618384	10	22	12
840	2	1	14.51	4.16	3.48798076923077	20	30	8
840	5	2	8.7	2.53	3.43873517786561	10	21	10
840	8	2	11.48	3.35	3.42686567164179	10	22	10
376	7	2	21.04	6.24	3.37179487179487	91	94	4
840	9	2	12.68	3.82	3.31937172774869	10	22	11
840	11	2	11.96	3.64	3.28571428571429	10	42	12
376	7	1	23.61	7.35	3.21224489795918	91	94	4
840	4	2	9.85	3.14	3.13694267515924	83	30	9
702	8	1	8.06	2.62	3.0763358778626	27	40	3
414	12	1	8.69	2.87	3.02787456445993	25	26	2
702	3	2	5.99	1.99	3.01005025125628	40	20	3
414	6	2	9.01	3.5	2.57428571428571	26	25	2
840	4	1	13.01	5.06	2.57114624505929	10	30	9
840	7	2	10.51	4.1	2.56341463414634	50	22	10
414	11	1	11.18	4.4	2.54090909090909	25	26	2
840	9	1	18.87	7.46	2.52949061662198	60	22	11
376	4	2	9.18	3.76	2.44148936170213	91	94	5
376	6	2	8.16	3.45	2.36521739130435	97	94	5
376	3	1	12.08	5.16	2.34108527131783	91	94	5
702	12	1	15.85	7.34	2.15940054495913	27	40	3
376	3	2	9.68	4.57	2.11816192560175	90	94	5
376	8	2	12.12	5.86	2.06825938566553	97	94	5
840	1	1	12.98	6.33	2.05055292259084	45	10	3
414	9	1	10.38	5.15	2.01553398058252	25	26	2
