CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	439200299	Japan, Miyagi Prefecture	3.65	1.02	3.57843137254902	1.51923076923077	male_heavy
2	561601499	Poland, Katowice District	1.61	0.4	4.025	1.56363636363636	male_heavy
4	168600199	Senegal, Dakar	3.92	1.26	3.11111111111111	1.4967845659164	male_heavy
5	312400499	Canada, Northwest Territories	8.63	2.27	3.80176211453745	1.52813852813853	male_heavy
5	572400799	Spain, Zaragoza	5.28	1.42	3.71830985915493	1.52813852813853	male_heavy
5	561600399	Poland, Nowy Sacz	2.71	0.73	3.71232876712329	1.52813852813853	male_heavy
6	146600199	Mali, Bamako	1.35	0.42	3.21428571428571	1.49149742951999	male_heavy
6	476400299	Thailand, Khon Kaen	2.49	3.55	0.701408450704225	1.49149742951999	female_heavy
7	435600999	India, Karunagappally	5.15	1.11	4.63963963963964	1.47131147540984	male_heavy
8	127000099	The Gambia	1.71	0.39	4.38461538461538	1.44715447154472	male_heavy
8	435600999	India, Karunagappally	4.38	1.47	2.97959183673469	1.44715447154472	male_heavy
8	575600399	Switzerland, Neuchâtel	14.13	4.76	2.96848739495798	1.44715447154472	male_heavy
8	572401399	Spain, Cuenca	7.44	2.55	2.91764705882353	1.44715447154472	male_heavy
9	312400499	Canada, Northwest Territories	12.75	3.88	3.2860824742268	1.43097513653349	male_heavy
10	415601899	China, Yanting County	6.14	1.53	4.01307189542484	1.41930379746835	male_heavy
10	312400499	Canada, Northwest Territories	16.51	4.58	3.60480349344978	1.41930379746835	male_heavy
10	435601899	India, Sikkim State	0.49	1.11	0.441441441441441	1.41930379746835	female_heavy
12	415625199	China, Xuyi County	1.65	0.38	4.34210526315789	1.45205479452055	male_heavy
12	415626799	China, Yunyang District, Shiyan City	2.21	0.52	4.25	1.45205479452055	male_heavy
12	415627599	China, Zhengding County	3.08	4.38	0.703196347031964	1.45205479452055	female_heavy
12	415619699	China, Meihekou City	0.04	0.19	0.210526315789474	1.45205479452055	female_heavy
